region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xinyifang,整租·浪琴翠园 3室1厅 南,整租,浪琴翠园,拱墅区-信义坊-浪琴翠园,115.74,3室1厅,南,,4600,39.7,,,https://hz.lianjia.com/zufang/HZ2159983680980779008.html,2026-05-03 22:55:00,30.29644,120.1401
xinyifang,整租·塘河北村 1室1厅 东,整租,塘河北村,拱墅区-信义坊-塘河北村,47.23,1室1厅,东,,2100,44.5,,,https://hz.lianjia.com/zufang/HZ2160718467907452928.html,2026-05-03 22:54:05,30.296655,120.137049
xinyifang,整租·塘河北村 2室2厅 南/北,整租,塘河北村,拱墅区-信义坊-塘河北村,81.51,2室2厅,南/北,,2900,35.6,,,https://hz.lianjia.com/zufang/HZ2157057586556305408.html,2026-05-03 22:55:00,30.296655,120.137049
xinyifang,合租·湖墅新村 3居室 南卧,合租,湖墅新村 3居室 南卧,拱墅区-信义坊-湖墅新村,15.00,,,,1590,106.0,,,https://hz.lianjia.com/zufang/HZ2062289520648257536.html,2026-05-03 22:54:05,30.296655,120.137049
xinyifang,整租·塘河北村 2室1厅 南,整租,塘河北村,拱墅区-信义坊-塘河北村,63.58,2室1厅,南,,2200,34.6,,,https://hz.lianjia.com/zufang/HZ2154580081912053760.html,2026-05-03 22:55:00,30.296655,120.137049
xinyifang,独栋·联寓E家 云河大厦店 云河大厦 一室一厅独卫 安静采光好直租无中介费 1室1厅,独栋,联寓E家 云河大厦店 云河大厦 一室一厅独卫 安静采光好直租无中介费,,28.00,1室1厅,,,2200,78.6,,,https://hz.lianjia.com/apartment/38824.html,2026-05-03 22:54:05,30.18997,120.30808
xinyifang,整租·浪琴翠园 3室1厅 东,整租,浪琴翠园,拱墅区-信义坊-浪琴翠园,115.86,3室1厅,东,,4550,39.3,,,https://hz.lianjia.com/zufang/HZ2161061161288597504.html,2026-05-03 22:55:00,30.29644,120.1401
xinyifang,整租·塘河新村 2室1厅 南/北,整租,塘河新村,拱墅区-信义坊-塘河新村,66.97,2室1厅,南/北,,1200,17.9,,,https://hz.lianjia.com/zufang/HZ2138944252296560640.html,2026-05-03 22:54:05,30.296655,120.137049
xinyifang,整租·美都广场 1室1厅 南,整租,美都广场,拱墅区-信义坊-美都广场,33.75,1室1厅,南,,2050,60.7,,,https://hz.lianjia.com/zufang/HZ2157071319143809024.html,2026-05-03 22:55:00,30.29644,120.1401
xinyifang,合租·浪琴翠园 3居室 南卧,合租,浪琴翠园 3居室 南卧,拱墅区-信义坊-浪琴翠园,12.40,,,,1430,115.3,,,https://hz.lianjia.com/zufang/HZ2137563923807731712.html,2026-05-03 22:54:05,30.296674,120.142237
