region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xixi,整租·香洲里 4室1厅 南,整租,香洲里,余杭区-西溪-香洲里,83.56,4室1厅,南,,3500,41.9,,,https://hz.lianjia.com/zufang/HZ2113567671256612864.html,2026-05-04 00:01:23,30.208812,119.989229
xixi,整租·西溪君庐 5室2厅 南,整租,西溪君庐,余杭区-西溪-西溪君庐,178.00,5室2厅,南,,5500,30.9,,,https://hz.lianjia.com/zufang/HZ2159638581545533440.html,2026-05-03 23:57:13,30.242597,119.973481
xixi,整租·坤和和家园 4室2厅 南/北,整租,坤和和家园,西湖区-西溪-坤和和家园,138.30,4室2厅,南/北,,6800,49.2,,,https://hz.lianjia.com/zufang/HZ2149473388857393152.html,2026-05-04 00:01:23,30.288491,120.140846
xixi,独栋·冠寓 西溪店 五一特价两室两卫整租！情侣闺蜜租好房 西湖区3号线地铁口300米 2室1厅,独栋,冠寓 西溪店 五一特价两室两卫整租！情侣闺蜜租好房 西湖区3号线地铁口300米,,64.00,2室1厅,,,2999,46.9,,,https://hz.lianjia.com/apartment/24620.html,2026-05-03 23:57:17,30.267885,120.099315
xixi,整租·世茂西溪宸悦 1室1厅 北,整租,世茂西溪宸悦,西湖区-西溪-世茂西溪宸悦,38.00,1室1厅,北,,2000,52.6,,,https://hz.lianjia.com/zufang/HZ2042555488423378944.html,2026-05-04 00:01:23,30.295638,120.06694
xixi,独栋·能建·龙湖冠寓 中杭府店 免费地铁接驳车-西溪板块首选跃层 可短租 民水民电 品牌公寓直租 1室1厅,独栋,能建·龙湖冠寓 中杭府店 免费地铁接驳车-西溪板块首选跃层 可短租 民水民电 品牌公寓直租,,109.00,1室1厅,,,3255,29.9,,,https://hz.lianjia.com/apartment/73585.html,2026-05-03 23:57:17,30.132301,120.08101
xixi,整租·龙湖西溪天街 1室1厅 东,整租,龙湖西溪天街,西湖区-西溪-龙湖西溪天街,39.00,1室1厅,东,,1850,47.4,,,https://hz.lianjia.com/zufang/HZ2047571222144745472.html,2026-05-03 23:57:13,30.295649,120.063681
xixi,整租·西溪晴雪 4室2厅 南,整租,西溪晴雪,西湖区-西溪-西溪晴雪,188.00,4室2厅,南,,7500,39.9,,,https://hz.lianjia.com/zufang/HZ2142523689655074816.html,2026-05-03 23:57:13,30.245327,120.049473
xixi,整租·融创河滨之城雨澜轩 3室2厅 南,整租,融创河滨之城雨澜轩,西湖区-西溪-融创河滨之城雨澜轩,89.00,3室2厅,南,,4700,52.8,,,https://hz.lianjia.com/zufang/HZ2151527728803741696.html,2026-05-04 00:01:23,30.288491,120.140846
xixi,独栋·冠寓 西溪蓝保店 焕新好房95特价房持续推出！ 3号地铁直达武林 整租朝阳 1室1厅,独栋,冠寓 西溪蓝保店 焕新好房95特价房持续推出！ 3号地铁直达武林 整租朝阳,,19.00,1室1厅,,,1326,69.8,,,https://hz.lianjia.com/apartment/1459.html,2026-05-03 23:57:17,30.060616,119.452812
xixi,整租·西溪华府 3室2厅 南,整租,西溪华府,西湖区-西溪-西溪华府,86.69,3室2厅,南,,4000,46.1,,,https://hz.lianjia.com/zufang/HZ2006215467085070336.html,2026-05-03 23:57:13,30.245327,120.049473
xixi,整租·留庄 5室2厅 南,整租,留庄,西湖区-西溪-留庄,360.00,5室2厅,南,,14000,38.9,,,https://hz.lianjia.com/zufang/HZ2157787138127560704.html,2026-05-03 23:58:24,30.228344,120.041179
xixi,独栋·苇草公寓 苇草青年社店 朝南阳光一居室、1.5米大床、独立卫浴、价格超划算 1室1厅,独栋,苇草公寓 苇草青年社店 朝南阳光一居室、1.5米大床、独立卫浴、价格超划算,,20.00,1室1厅,,,1550,77.5,,,https://hz.lianjia.com/apartment/105011.html,2026-05-03 23:57:13,30.25586,120.16125
xixi,整租·龙湖西溪天街 2室0厅 西北,整租,龙湖西溪天街,西湖区-西溪-龙湖西溪天街,35.70,2室0厅,西北,,2100,58.8,,,https://hz.lianjia.com/zufang/HZ2137481450188963840.html,2026-05-03 23:57:32,30.295649,120.063681
xixi,整租·龙湖西溪天街 1室1厅 南,整租,龙湖西溪天街,西湖区-西溪-龙湖西溪天街,49.00,1室1厅,南,,2500,51.0,,,https://hz.lianjia.com/zufang/HZ2154966678335651840.html,2026-05-04 00:01:11,30.295649,120.063681
xixi,整租·坤和和家园 6室2厅 南,整租,坤和和家园,西湖区-西溪-坤和和家园,400.00,6室2厅,南,,27000,67.5,,,https://hz.lianjia.com/zufang/HZ2147530620375400448.html,2026-05-03 23:58:42,30.288491,120.140846
xixi,整租·滨江西溪之星 4室2厅 南/北,整租,滨江西溪之星,余杭区-西溪-滨江西溪之星,128.00,4室2厅,南/北,,5600,43.8,,,https://hz.lianjia.com/zufang/HZ2159989549650935808.html,2026-05-04 00:00:28,30.208812,119.989229
xixi,整租·坤和求是里 3室2厅 南,整租,坤和求是里,西湖区-西溪-坤和求是里,134.00,3室2厅,南,,7000,52.2,,,https://hz.lianjia.com/zufang/HZ2148784242908200960.html,2026-05-03 23:57:13,30.288491,120.140846
xixi,整租·大华西溪风情 4室2厅 南,整租,大华西溪风情,余杭区-西溪-大华西溪风情,217.74,4室2厅,南,,8500,39.0,,,https://hz.lianjia.com/zufang/HZ2138887949721272320.html,2026-05-03 23:58:12,30.252089,120.049028
xixi,整租·大华西溪风情 5室2厅 东南,整租,大华西溪风情,余杭区-西溪-大华西溪风情,233.23,5室2厅,东南,,13500,57.9,,,https://hz.lianjia.com/zufang/HZ2151680610370846720.html,2026-05-04 00:00:22,30.252089,120.049028
xixi,整租·大华西溪风情 5室2厅 东南,整租,大华西溪风情,余杭区-西溪-大华西溪风情,282.99,5室2厅,东南,,18000,63.6,,,https://hz.lianjia.com/zufang/HZ2128109040356556800.html,2026-05-03 23:57:34,30.252089,120.049028
