region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yunhexincheng,整租·潮和阅江台轩 3室2厅 南,整租,潮和阅江台轩,拱墅区-运河新城-潮和阅江台轩,98.00,3室2厅,南,,3800,38.8,,,https://hz.lianjia.com/zufang/HZ2151295063282417664.html,2026-05-03 21:51:52,30.3209,120.13819
yunhexincheng,整租·潮和阅江台轩 3室1厅 南,整租,潮和阅江台轩,拱墅区-运河新城-潮和阅江台轩,98.00,3室1厅,南,,4500,45.9,,,https://hz.lianjia.com/zufang/HZ2161048857058738176.html,2026-05-03 21:51:02,30.3209,120.13819
yunhexincheng,整租·星创晶悦府 3室2厅 南,整租,星创晶悦府,拱墅区-运河新城-星创晶悦府,105.07,3室2厅,南,,5150,49.0,,,https://hz.lianjia.com/zufang/HZ1920339749621465088.html,2026-05-03 21:51:52,30.3209,120.13819
yunhexincheng,独栋·朗诗寓 瓜山东苑-3店 【免押金】朝南一室独居采光好可短租 开间,独栋,朗诗寓 瓜山东苑-3店 【免押金】朝南一室独居采光好可短租 开间,,25.00,,,,1550,62.0,,,https://hz.lianjia.com/apartment/42869.html,2026-05-03 21:51:02,30.342363,120.145812
yunhexincheng,整租·保利和著文华轩 3室2厅 南,整租,保利和著文华轩,拱墅区-运河新城-保利和著文华轩,102.38,3室2厅,南,,4000,39.1,,,https://hz.lianjia.com/zufang/HZ2149429031961886720.html,2026-05-03 21:51:52,30.3209,120.13819
yunhexincheng,合租·平安雅苑 4居室 北卧,合租,平安雅苑 4居室 北卧,拱墅-运河新城-平安雅苑,11.00,,,,850,77.3,,,https://hz.lianjia.com/zufang/HZ1825752211599130624.html,2026-05-03 21:51:02,30.30867,120.13269
yunhexincheng,整租·水韵康桥康盛苑 3室1厅 南,整租,水韵康桥康盛苑,拱墅区-运河新城-水韵康桥康盛苑,89.00,3室1厅,南,,2600,29.2,,,https://hz.lianjia.com/zufang/HZ2094308387616456704.html,2026-05-03 21:51:52,30.3209,120.13819
yunhexincheng,整租·大家运河之星 3室2厅 南,整租,大家运河之星,拱墅区-运河新城-大家运河之星,87.94,3室2厅,南,,3200,36.4,,,https://hz.lianjia.com/zufang/HZ2156945217301774336.html,2026-05-03 21:51:02,30.3209,120.13819
yunhexincheng,整租·万科智谷 2室1厅 东,整租,万科智谷,拱墅区-运河新城-万科智谷,42.06,2室1厅,东,,2400,57.1,,,https://hz.lianjia.com/zufang/HZ2152684654623195136.html,2026-05-03 21:51:52,30.3209,120.13819
yunhexincheng,整租·大家运河之星 3室2厅 南,整租,大家运河之星,拱墅区-运河新城-大家运河之星,89.34,3室2厅,南,,3300,36.9,,,https://hz.lianjia.com/zufang/HZ2150963192770068480.html,2026-05-03 21:51:52,30.3209,120.13819
yunhexincheng,独栋·碧家国际社区 杭州康桥店 尚合府精装公寓 全新出租 整租一居室 独门独卫 家电齐全 1室1厅,独栋,碧家国际社区 杭州康桥店 尚合府精装公寓 全新出租 整租一居室 独门独卫 家电齐全,,60.00,1室1厅,,,2100-2250,,,,https://hz.lianjia.com/apartment/45922.html,2026-05-03 21:51:02,30.245,120.0293
yunhexincheng,整租·碧桂园金科尚合府 4室2厅 南,整租,碧桂园金科尚合府,拱墅区-运河新城-碧桂园金科尚合府,126.00,4室2厅,南,,4500,35.7,,,https://hz.lianjia.com/zufang/HZ2146176159681871872.html,2026-05-03 21:51:27,30.3209,120.13819
yunhexincheng,合租·金桐雅园 2居室 南卧,合租,金桐雅园 2居室 南卧,拱墅-运河新城-金桐雅园,30.00,,,,1750,58.3,,,https://hz.lianjia.com/zufang/HZ1831238198710239232.html,2026-05-03 21:51:02,30.29678,120.14221
yunhexincheng,整租·宸瀚里 4室2厅 南,整租,宸瀚里,临平区-运河新城-宸瀚里,125.00,4室2厅,南,,4200,33.6,,,https://hz.lianjia.com/zufang/HZ2110217947585708032.html,2026-05-03 21:51:02,30.47692,120.17761
