region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhonganqiao,整租·白泽弄 2室1厅 南/北,整租,白泽弄,拱墅区-众安桥-白泽弄,52.66,2室1厅,南/北,,3700,70.3,,,https://hz.lianjia.com/zufang/HZ2010644755423166464.html,2026-05-03 22:55:04,30.26058,120.166052
zhonganqiao,整租·仙林福座 1室1厅 东,整租,仙林福座,拱墅区-众安桥-仙林福座,45.63,1室1厅,东,,3000,65.7,,,https://hz.lianjia.com/zufang/HZ2154427303076036608.html,2026-05-03 22:55:04,30.26058,120.166052
zhonganqiao,整租·大和弄 2室1厅 南,整租,大和弄,拱墅区-众安桥-大和弄,50.00,2室1厅,南,,2800,56.0,,,https://hz.lianjia.com/zufang/HZ2150891480661622784.html,2026-05-03 22:55:04,30.26058,120.166052
zhonganqiao,合租·国都公寓 5居室 南卧,合租,国都公寓 5居室 南卧,下城-众安桥-国都公寓,15.00,,,,1700,113.3,,,https://hz.lianjia.com/zufang/HZ2728799167949848576.html,2026-05-03 22:55:04,40.754877,118.160697
zhonganqiao,整租·白泽弄 1室0厅 南,整租,白泽弄,拱墅区-众安桥-白泽弄,31.17,1室0厅,南,,2500,80.2,,,https://hz.lianjia.com/zufang/HZ1887478693748539392.html,2026-05-03 22:55:04,30.26058,120.166052
zhonganqiao,合租·豆腐巷 4居室 南卧,合租,豆腐巷 4居室 南卧,拱墅区-众安桥-豆腐巷,14.00,,,,1890,135.0,,,https://hz.lianjia.com/zufang/HZ2121665684982202368.html,2026-05-03 22:55:04,30.264116,120.163682
zhonganqiao,整租·二圣庙前 1室1厅 南,整租,二圣庙前,拱墅区-众安桥-二圣庙前,31.70,1室1厅,南,,1900,59.9,,,https://hz.lianjia.com/zufang/HZ2115770598851346432.html,2026-05-03 22:55:04,30.26058,120.166052
zhonganqiao,整租·国都公寓 1室1厅 南,整租,国都公寓,拱墅区-众安桥-国都公寓,50.00,1室1厅,南,,2950,59.0,,,https://hz.lianjia.com/zufang/HZ2158541761113227264.html,2026-05-03 22:55:04,30.26058,120.166052
zhonganqiao,整租·竹竿巷 1室1厅 南,整租,竹竿巷,拱墅区-众安桥-竹竿巷,33.38,1室1厅,南,,3200,95.9,,,https://hz.lianjia.com/zufang/HZ2160665597715677184.html,2026-05-03 22:55:04,30.26058,120.166052
zhonganqiao,合租·永丰巷 3居室 东卧,合租,永丰巷 3居室 东卧,拱墅区-众安桥-永丰巷,7.80,,,,1560,200.0,,,https://hz.lianjia.com/zufang/HZ2144428439589879808.html,2026-05-03 22:55:04,30.261307,120.163444
