region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
anting,整租·新虹桥时代公馆 1室1厅 西南,整租,新虹桥时代公馆,嘉定-安亭-新虹桥时代公馆,58.00,1室1厅,西南,,1500,25.9,,,https://sh.lianjia.com/zufang/SH2149865518264221696.html,2026-04-23 17:08:42,,
anting,整租·新虹桥时代公馆 1室1厅 北,整租,新虹桥时代公馆,嘉定-安亭-新虹桥时代公馆,58.21,1室1厅,北,,1300,22.3,,,https://sh.lianjia.com/zufang/SH2148641111319511040.html,2026-04-23 17:07:25,,
anting,整租·新虹桥时代公馆 1室1厅 西南,整租,新虹桥时代公馆,嘉定-安亭-新虹桥时代公馆,58.00,1室1厅,西南,,1500,25.9,,,https://sh.lianjia.com/zufang/SH2149861511101677568.html,2026-04-23 17:08:42,,
anting,独栋·方隅服务公寓 上海安亭方隅服务公寓 【上汽员工专享】全景落地窗阳光房，宠物友好，车企专属长租折扣，押一付一 1室1厅,独栋,方隅服务公寓 上海安亭方隅服务公寓 【上汽员工专享】全景落地窗阳光房，宠物友好，车企专属长租折扣，押一付一,,43.00,1室1厅,,,4100,95.3,,,https://sh.lianjia.com/apartment/80336.html,2026-04-23 17:07:32,,
anting,整租·新虹桥时代公馆 1室1厅 西南,整租,新虹桥时代公馆,嘉定-安亭-新虹桥时代公馆,58.00,1室1厅,西南,,1500,25.9,,,https://sh.lianjia.com/zufang/SH2149867658911154176.html,2026-04-23 17:08:42,,
anting,独栋·安亭5-2公寓 安诚路店 落地大窗视线好、能源免费、押一付一、可办居住证、上汽专属 开间,独栋,安亭5-2公寓 安诚路店 落地大窗视线好、能源免费、押一付一、可办居住证、上汽专属 开间,,54.42,,,,1990,36.6,,,https://sh.lianjia.com/apartment/85460.html,2026-04-23 17:07:32,,
anting,整租·玉兰四村 3室2厅 南,整租,玉兰四村,嘉定-安亭-玉兰四村,127.08,3室2厅,南,,3000,23.6,,,https://sh.lianjia.com/zufang/SH2146228098843017216.html,2026-04-23 17:07:25,,
anting,整租·路劲上海派+嘉悦澜庭 2室1厅 南,整租,路劲上海派+嘉悦澜庭,嘉定-安亭-路劲上海派,65.00,2室1厅,南,,3300,50.8,,,https://sh.lianjia.com/zufang/SH2152672599052648448.html,2026-04-23 17:07:35,,
anting,整租·新城尚上城（商住） 1室1厅 南,整租,新城尚上城（商住）,嘉定-安亭-新城尚上城,59.00,1室1厅,南,,2500,42.4,,,https://sh.lianjia.com/zufang/SH2107035792386818048.html,2026-04-23 17:07:25,,
anting,独栋·隽寓 安亭店 公寓直租 出差实习好房 独立卫生间 民用水电 月付 3个月起租 开间,独栋,隽寓 安亭店 公寓直租 出差实习好房 独立卫生间 民用水电 月付 3个月起租 开间,,25.00,,,,1739,69.6,,,https://sh.lianjia.com/apartment/41735.html,2026-04-23 17:07:25,,
anting,整租·万科西郊都会 4室2厅 南,整租,万科西郊都会,嘉定-安亭-万科西郊都会,120.51,4室2厅,南,,5500,45.6,,,https://sh.lianjia.com/zufang/SH1889545702401376256.html,2026-04-23 17:08:42,,
