region,title,rent_type,community,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
changning,整租·东郊紫园 5室2厅 复式 南,整租,东郊紫园,377.00,5室2厅,,,40000,106.1,,,https://sh.lianjia.com/zufang/SH2153059674553843712.html,2026-04-22 19:16:41,31.178775,121.624074
changning,整租·汤臣豪园一期 4室2厅 复式 南,整租,汤臣豪园一期,257.23,4室2厅,,,26000,101.1,,,https://sh.lianjia.com/zufang/SH2154797458205442048.html,2026-04-22 19:16:41,31.209999,121.585405
changning,整租·汤臣豪园一期 4室2厅 南,整租,汤臣豪园一期,188.63,4室2厅,南,,25000,132.5,,,https://sh.lianjia.com/zufang/SH2140457501286465536.html,2026-04-22 19:16:41,31.209999,121.585405
changning,整租·万科翡翠公园五期 3室3厅 东南,整租,万科翡翠公园五期,148.89,3室3厅,东南,,21000,141.0,,,https://sh.lianjia.com/zufang/SH2155588429230899200.html,2026-04-22 19:16:41,31.180249,121.61266
changning,整租·汤臣豪园(二期) 4室2厅 复式 南,整租,汤臣豪园(二期),226.99,4室2厅,,,22000,96.9,,,https://sh.lianjia.com/zufang/SH2096606769806573568.html,2026-04-22 19:16:41,31.208639,121.582621
changning,整租·东郊紫园 5室3厅 复式 南,整租,东郊紫园,456.00,5室3厅,,,58800,128.9,,,https://sh.lianjia.com/zufang/SH1991443717344460800.html,2026-04-22 19:16:41,31.178775,121.624074
changning,整租·万科翡翠公园四期 4室2厅 南/北,整租,万科翡翠公园四期,179.82,4室2厅,南/北,,25000,139.0,,,https://sh.lianjia.com/zufang/SH2150263552722599936.html,2026-04-22 19:16:41,31.179139,121.610609
changning,整租·万科翡翠公园三期 4室2厅 南,整租,万科翡翠公园三期,211.30,4室2厅,南,,20000,94.7,,,https://sh.lianjia.com/zufang/SH2146820704148914176.html,2026-04-22 19:16:41,31.180094,121.610047
changning,整租·新泾八村 2室1厅 南,整租,新泾八村,56.25,2室1厅,南,,6000,106.7,,,https://sh.lianjia.com/zufang/SH2140330410255581184.html,2026-04-22 19:07:19,31.217107,121.363666
changning,整租·景苑小区 3室1厅 南/北,整租,景苑小区,87.53,3室1厅,南/北,,7500,85.7,,,https://sh.lianjia.com/zufang/SH2139735144448131072.html,2026-04-22 18:04:04,31.202084,121.392405
