region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
gongfu,整租·富隆苑 2室1厅 南,整租,富隆苑,宝山-共富-富隆苑,90.05,2室1厅,南,,4000,44.4,,,https://sh.lianjia.com/zufang/SH2149860546223013888.html,2026-04-23 15:56:01,31.344395,121.424504
gongfu,整租·共富一村 2室2厅 南,整租,共富一村,宝山-共富-共富一村,76.68,2室2厅,南,,4600,60.0,,,https://sh.lianjia.com/zufang/SH2149440052025884672.html,2026-04-23 15:56:01,31.35052,121.431441
gongfu,整租·共富一村 2室1厅 南,整租,共富一村,宝山-共富-共富一村,66.80,2室1厅,南,,4000,59.9,,,https://sh.lianjia.com/zufang/SH2149808592285335552.html,2026-04-23 15:56:01,31.35052,121.431441
gongfu,独栋·窝趣轻社区 宝山共富轻社区 首月半价 loft一居室整租 无中介费 宠物友好 1室1厅,独栋,窝趣轻社区 宝山共富轻社区 首月半价 loft一居室整租 无中介费 宠物友好,,25.00,1室1厅,,,1850-2300,,,,https://sh.lianjia.com/apartment/16448.html,2026-04-23 15:56:01,31.230525,121.473667
gongfu,整租·共富四村 2室2厅 南,整租,共富四村,宝山-共富-共富四村,86.92,2室2厅,南,,3990,45.9,,,https://sh.lianjia.com/zufang/SH2110616072922071040.html,2026-04-23 15:56:01,31.349281,121.424061
gongfu,整租·央玺 3室1厅 南,整租,央玺,宝山-共富-央玺,119.55,3室1厅,南,,8790,73.5,,,https://sh.lianjia.com/zufang/SH2048028712401633280.html,2026-04-23 15:56:01,31.344011,121.421815
gongfu,整租·共富四村 3室1厅 南/北,整租,共富四村,宝山-共富-共富四村,80.46,3室1厅,南/北,,4400,54.7,,,https://sh.lianjia.com/zufang/SH1918269010185551872.html,2026-04-23 15:56:01,31.349281,121.424061
gongfu,整租·融创玉兰公馆 3室2厅 南,整租,融创玉兰公馆,宝山-共富-融创玉兰公馆,153.77,3室2厅,南,,9000,58.5,,,https://sh.lianjia.com/zufang/SH2143990503815774208.html,2026-04-23 15:56:01,31.343056,121.418377
gongfu,整租·共富一村 3室1厅 东/西,整租,共富一村,宝山-共富-共富一村,95.94,3室1厅,东/西,,4200,43.8,,,https://sh.lianjia.com/zufang/SH2073453871589490688.html,2026-04-23 15:56:01,31.35052,121.431441
gongfu,整租·共富一村 2室1厅 东,整租,共富一村,宝山-共富-共富一村,78.20,2室1厅,东,,4560,58.3,,,https://sh.lianjia.com/zufang/SH1962489329888526336.html,2026-04-23 15:56:01,31.35052,121.431441
gongfu,整租·共富三村 1室1厅 南,整租,共富三村,宝山-共富-共富三村,47.68,1室1厅,南,,3400,71.3,,,https://sh.lianjia.com/zufang/SH1722919798599319552.html,2026-04-23 15:56:01,31.348403,121.425156
gongfu,整租·共富三村 1室1厅 南,整租,共富三村,宝山-共富-共富三村,49.70,1室1厅,南,,4090,82.3,,,https://sh.lianjia.com/zufang/SH1892635617062289408.html,2026-04-23 15:56:01,31.348403,121.425156
gongfu,整租·共富一村 2室1厅 南/北,整租,共富一村,宝山-共富-共富一村,71.63,2室1厅,南/北,,3885,54.2,,,https://sh.lianjia.com/zufang/SH2013555399055114240.html,2026-04-23 15:56:01,31.35052,121.431441
gongfu,整租·共富一村 3室1厅 南,整租,共富一村,宝山-共富-共富一村,88.52,3室1厅,南,,4700,53.1,,,https://sh.lianjia.com/zufang/SH2017574733570113536.html,2026-04-23 15:56:01,31.35052,121.431441
