region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
guangxin,整租·管弄一二街坊 1室0厅 南,整租,管弄一二街坊,普陀-光新-管弄一二街坊,29.58,1室0厅,南,,3770,127.5,,,https://sh.lianjia.com/zufang/SH2140786119854260224.html,2026-04-23 15:26:51,31.254876,121.425829
guangxin,整租·苏河望 3室2厅 南,整租,苏河望,普陀-光新-苏河望,105.00,3室2厅,南,,15000,142.9,,,https://sh.lianjia.com/zufang/SH2138923339643617280.html,2026-04-23 15:26:51,31.235653,121.415745
guangxin,整租·苏河望 3室2厅 南,整租,苏河望,普陀-光新-苏河望,99.93,3室2厅,南,,11550,115.6,,,https://sh.lianjia.com/zufang/SH2083913869075415040.html,2026-04-23 15:27:09,31.235653,121.415745
guangxin,独栋·星荟公寓 普陀店 【限时促销】豪华单间·押一付一·可养宠物·带健身房 1室1厅,独栋,星荟公寓 普陀店 【限时促销】豪华单间·押一付一·可养宠物·带健身房,,51.00,1室1厅,,,7500,147.1,,,https://sh.lianjia.com/apartment/60446.html,2026-04-23 15:26:51,31.255152,121.431196
guangxin,整租·香溢天地官邸 3室2厅 南/北,整租,香溢天地官邸,普陀-光新-香溢天地官邸,154.45,3室2厅,南/北,,19000,123.0,,,https://sh.lianjia.com/zufang/SH2149473614187986944.html,2026-04-23 15:26:51,31.185171,121.440682
guangxin,整租·管弄五六街坊 2室1厅 南,整租,管弄五六街坊,普陀-光新-管弄五六街坊,48.00,2室1厅,南,,4500,93.8,,,https://sh.lianjia.com/zufang/SH2148048456210448384.html,2026-04-23 15:26:51,31.258231,121.42403
guangxin,整租·香溢花城二期 2室2厅 南/北,整租,香溢花城二期,普陀-光新-香溢花城二期,85.49,2室2厅,南/北,,8800,102.9,,,https://sh.lianjia.com/zufang/SH2102418795199987712.html,2026-04-23 15:26:51,31.255482,121.436011
guangxin,整租·石光小区 2室1厅 南,整租,石光小区,普陀-光新-石光小区,50.72,2室1厅,南,,5300,104.5,,,https://sh.lianjia.com/zufang/SH2149767943620132864.html,2026-04-23 15:26:51,31.214057,121.403185
guangxin,整租·石泉一村 1室0厅 南,整租,石泉一村,普陀-光新-石泉一村,35.23,1室0厅,南,,3800,107.9,,,https://sh.lianjia.com/zufang/SH2156735787071176704.html,2026-04-23 15:26:51,31.252166,121.427381
guangxin,整租·石岚三村 1室1厅 南,整租,石岚三村,普陀-光新-石岚三村,36.53,1室1厅,南,,4620,126.5,,,https://sh.lianjia.com/zufang/SH2138918214841663488.html,2026-04-23 15:26:51,31.251611,121.422321
guangxin,整租·中山北路2185弄 1室1厅 南,整租,中山北路2185弄,普陀-光新-中山北路,42.05,1室1厅,南,,3699,88.0,,,https://sh.lianjia.com/zufang/SH2091540594554830848.html,2026-04-23 15:26:51,31.223855,121.407096
guangxin,整租·一品国际 1室1厅 南,整租,一品国际,普陀-光新-一品国际,38.00,1室1厅,南,,4515,118.8,,,https://sh.lianjia.com/zufang/SH1938957278942068736.html,2026-04-23 15:26:51,31.252673,121.433311
guangxin,整租·香溢花城三期 4室2厅 南,整租,香溢花城三期,普陀-光新-香溢花城三期,184.48,4室2厅,南,,22600,122.5,,,https://sh.lianjia.com/zufang/SH2106688619715493888.html,2026-04-23 15:26:51,31.254629,121.432825
