region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huajing,整租·紫阳花苑 2室1厅 南,整租,紫阳花苑,徐汇-华泾-紫阳花苑,59.00,2室1厅,南,,3800,64.4,,,https://sh.lianjia.com/zufang/SH2088934814949310464.html,2026-04-23 14:59:15,,
huajing,整租·名人花苑 3室2厅 南,整租,名人花苑,徐汇-华泾-名人花苑,127.59,3室2厅,南,,9000,70.5,,,https://sh.lianjia.com/zufang/SH2155523519927025664.html,2026-04-23 14:58:52,,
huajing,整租·东湾小区 2室1厅 南/北,整租,东湾小区,徐汇-华泾-东湾小区,57.00,2室1厅,南/北,,4500,78.9,,,https://sh.lianjia.com/zufang/SH2019032949411807232.html,2026-04-23 14:59:15,,
huajing,独栋·冠寓 上海华泾天街国际公寓 限时直降好房，品牌停车方便，近商场公园，学生企业享折扣 1室1厅,独栋,冠寓 上海华泾天街国际公寓 限时直降好房，品牌停车方便，近商场公园，学生企业享折扣,,52.00,1室1厅,,,5558,106.9,,,https://sh.lianjia.com/apartment/18560.html,2026-04-23 14:58:58,,
huajing,整租·华发小区 2室1厅 南,整租,华发小区,徐汇-华泾-华发小区,58.00,2室1厅,南,,4290,74.0,,,https://sh.lianjia.com/zufang/SH1875433393538203648.html,2026-04-23 14:59:15,,
huajing,独栋·徐房悦庭 华欣家园店 三室一厅南北通透民水民电通燃气拎包入住 3室1厅,独栋,徐房悦庭 华欣家园店 三室一厅南北通透民水民电通燃气拎包入住,,88.00,3室1厅,,,6800,77.3,,,https://sh.lianjia.com/apartment/104905.html,2026-04-23 14:58:52,,
huajing,整租·盛华景苑 1室1厅 南,整租,盛华景苑,徐汇-华泾-盛华景苑,68.27,1室1厅,南,,3800,55.7,,,https://sh.lianjia.com/zufang/SH2151246576113156096.html,2026-04-23 14:59:15,,
huajing,整租·盛华景苑 3室2厅 南/北,整租,盛华景苑,徐汇-华泾-盛华景苑,126.00,3室2厅,南/北,,8000,63.5,,,https://sh.lianjia.com/zufang/SH2154207478902947840.html,2026-04-23 14:58:52,,
huajing,整租·紫阳花苑 1室1厅 南,整租,紫阳花苑,徐汇-华泾-紫阳花苑,43.90,1室1厅,南,,3800,86.6,,,https://sh.lianjia.com/zufang/SH2153111512430936064.html,2026-04-23 14:59:15,,
huajing,整租·馨宁公寓 2室1厅 南,整租,馨宁公寓,徐汇-华泾-馨宁公寓,62.40,2室1厅,南,,5040,80.8,,,https://sh.lianjia.com/zufang/SH2099856297024290816.html,2026-04-23 14:59:15,,
huajing,整租·华欣家园 2室1厅 南/北,整租,华欣家园,徐汇-华泾-华欣家园,88.00,2室1厅,南/北,,5000,56.8,,,https://sh.lianjia.com/zufang/SH2031680861115514880.html,2026-04-23 14:59:15,,
huajing,整租·东湾小区 2室1厅 南,整租,东湾小区,徐汇-华泾-东湾小区,56.95,2室1厅,南,,4800,84.3,,,https://sh.lianjia.com/zufang/SH2145928660190756864.html,2026-04-23 14:59:15,,
huajing,整租·馨宁公寓 2室1厅 东南/南,整租,馨宁公寓,徐汇-华泾-馨宁公寓,62.40,2室1厅,东南/南,,5400,86.5,,,https://sh.lianjia.com/zufang/SH1916447210409558016.html,2026-04-23 14:59:15,,
huajing,整租·华欣家园 3室1厅 南,整租,华欣家园,徐汇-华泾-华欣家园,96.74,3室1厅,南,,6000,62.0,,,https://sh.lianjia.com/zufang/SH2139446554145062912.html,2026-04-23 14:58:52,,
