region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jiangqiao,整租·MAX未来 2室1厅 北,整租,MAX未来,嘉定-江桥,82.29,2室1厅,北,,3600,43.7,,,https://sh.lianjia.com/zufang/SH2154880812716130304.html,2026-04-23 17:13:21,31.241962,121.320632
jiangqiao,整租·嘉城桃花岛(公寓) 3室2厅 南/北,整租,嘉城桃花岛(公寓),嘉定-江桥-嘉城桃花岛(公寓),131.71,3室2厅,南/北,,7500,56.9,,,https://sh.lianjia.com/zufang/SH2153491533603536896.html,2026-04-23 17:13:21,31.265163,121.345159
jiangqiao,整租·绿地新江桥城一期 2室2厅 南,整租,绿地新江桥城一期,嘉定-江桥-绿地新江桥城一期,77.00,2室2厅,南,,5600,72.7,,,https://sh.lianjia.com/zufang/SH2156726063860809728.html,2026-04-23 17:14:39,31.236168,121.310934
jiangqiao,独栋·茉傲公寓 江桥店 温馨一室 开间,独栋,茉傲公寓 江桥店 温馨一室 开间,,15.00,,,,1380,92.0,,,https://sh.lianjia.com/apartment/104991.html,2026-04-23 17:13:21,31.21719,121.417003
jiangqiao,整租·金鹤新城双佳翠庭 3室1厅 南/北,整租,金鹤新城双佳翠庭,嘉定-江桥-金鹤新城双佳翠庭,75.97,3室1厅,南/北,,4681,61.6,,,https://sh.lianjia.com/zufang/SH2125960244243726336.html,2026-04-23 17:14:48,31.247456,121.313321
jiangqiao,独栋·欧享家青年社区 金耀路店 13号线金运路江桥万达 一室户精装loft可养猫 1室1厅,独栋,欧享家青年社区 金耀路店 13号线金运路江桥万达 一室户精装loft可养猫,,33.00,1室1厅,,,2500,75.8,,,https://sh.lianjia.com/apartment/62848.html,2026-04-23 17:13:23,31.239487,121.324527
jiangqiao,整租·中星海上名豪苑(四期) 2室2厅 南,整租,中星海上名豪苑(四期),嘉定-江桥-中星海上名豪苑(四期),90.00,2室2厅,南,,5900,65.6,,,https://sh.lianjia.com/zufang/SH2062474059681103872.html,2026-04-23 17:14:48,31.268789,121.330035
jiangqiao,整租·匡巷一村（一期） 1室1厅 南,整租,匡巷一村（一期）,嘉定-江桥-匡巷一村,63.00,1室1厅,南,,4500,71.4,,,https://sh.lianjia.com/zufang/SH2153717828002250752.html,2026-04-23 17:13:21,31.375566,121.265276
jiangqiao,整租·MAX未来 2室1厅 北,整租,MAX未来,嘉定-江桥,43.34,2室1厅,北,,3990,92.1,,,https://sh.lianjia.com/zufang/SH2154610756358766592.html,2026-04-23 17:13:21,31.241962,121.320632
jiangqiao,独栋·萌寓 临洮路地铁站店 3个月起租！大落地窗大一室户！距离地铁300米 直租无中介费 押一付一 1室1厅,独栋,萌寓 临洮路地铁站店 3个月起租！大落地窗大一室户！距离地铁300米 直租无中介费 押一付一,,30.00,1室1厅,,,3135,104.5,,,https://sh.lianjia.com/apartment/92270.html,2026-04-23 17:13:26,31.267227,121.330597
jiangqiao,整租·澜茵华庭 2室2厅 南/北,整租,澜茵华庭,嘉定-江桥-澜茵华庭,73.64,2室2厅,南/北,,5000,67.9,,,https://sh.lianjia.com/zufang/SH2154869079427514368.html,2026-04-23 17:13:21,31.239584,121.31706
jiangqiao,独栋·半时达·新天地公寓 嘉怡路地铁站店 精致雅致 蜗居小复式 地铁上盖0距离 1室1厅,独栋,半时达·新天地公寓 嘉怡路地铁站店 精致雅致 蜗居小复式 地铁上盖0距离,,20.00,1室1厅,,,1712,85.6,,,https://sh.lianjia.com/apartment/94329.html,2026-04-23 17:13:21,,
jiangqiao,整租·嘉莲华商住酒店式公寓(商业类) 1室1厅 东南,整租,嘉莲华商住酒店式公寓(商业类),嘉定-江桥-嘉莲华商住酒店式公寓(商业类),59.06,1室1厅,东南,,3200,54.2,,,https://sh.lianjia.com/zufang/SH2072272509834625024.html,2026-04-23 17:14:48,31.241962,121.320632
jiangqiao,整租·金鹤新城城杰苑 2室1厅 南/北,整租,金鹤新城城杰苑,嘉定-江桥-金鹤新城城杰苑,72.36,2室1厅,南/北,,4550,62.9,,,https://sh.lianjia.com/zufang/SH2153050236702949376.html,2026-04-23 17:13:21,31.245797,121.308291
jiangqiao,独栋·家瓴公寓 嘉定 可办理居住在，可养宠物，近14号线临洮路站独门独户精装一室一厅 1室1厅,独栋,家瓴公寓 嘉定 可办理居住在，可养宠物，近14号线临洮路站独门独户精装一室一厅,,55.00,1室1厅,,,3900,70.9,,,https://sh.lianjia.com/apartment/58259.html,2026-04-23 17:13:21,31.324685,121.536418
jiangqiao,整租·嘉城新航域 2室2厅 南/北,整租,嘉城新航域,嘉定-江桥-嘉城新航域,100.18,2室2厅,南/北,,5406,54.0,,,https://sh.lianjia.com/zufang/SH1765733690639384576.html,2026-04-23 17:14:39,31.266091,121.348417
jiangqiao,整租·大宅风范城 2室2厅 南/北,整租,大宅风范城,嘉定-江桥-大宅风范城,81.40,2室2厅,南/北,,5800,71.3,,,https://sh.lianjia.com/zufang/SH2154578281125380096.html,2026-04-23 17:13:21,31.244092,121.325838
jiangqiao,整租·盐湖新居 2室2厅 南/北,整租,盐湖新居,嘉定-江桥-盐湖新居,89.00,2室2厅,南/北,,4900,55.1,,,https://sh.lianjia.com/zufang/SH2028377927128711168.html,2026-04-23 17:13:21,31.263098,121.322509
