region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
lianyang,整租·天安花园 2室2厅 南,整租,天安花园,浦东-联洋-天安花园,95.80,2室2厅,南,,10500,109.6,,,https://sh.lianjia.com/zufang/SH1925117044714373120.html,2026-04-23 10:23:03,31.227569,121.553973
lianyang,整租·广洋新景苑(公寓) 3室2厅 南,整租,广洋新景苑(公寓),浦东-联洋-广洋新景苑(公寓),149.00,3室2厅,南,,12680,85.1,,,https://sh.lianjia.com/zufang/SH2109309461251227648.html,2026-04-23 10:23:03,31.22449,121.567294
lianyang,整租·民生路1433号 1室1厅 南,整租,民生路1433号,浦东-联洋-民生路,40.57,1室1厅,南,,8800,216.9,,,https://sh.lianjia.com/zufang/SH2154250782424170496.html,2026-04-23 10:23:03,31.22971,121.549422
lianyang,独栋·COZI可遇 陆家嘴店 陆家嘴融中心通勤便利精装修一室一厅方便停车押一付一 1室1厅,独栋,COZI可遇 陆家嘴店 陆家嘴融中心通勤便利精装修一室一厅方便停车押一付一,,52.00,1室1厅,,,6800,130.8,,,https://sh.lianjia.com/apartment/103603.html,2026-04-23 10:23:03,,
lianyang,整租·民生路1433号 1室0厅 南,整租,民生路1433号,浦东-联洋-民生路,40.57,1室0厅,南,,8200,202.1,,,https://sh.lianjia.com/zufang/SH2144786637970735104.html,2026-04-23 10:23:03,31.22971,121.549422
lianyang,整租·吉云公寓 2室1厅 南,整租,吉云公寓,浦东-联洋-吉云公寓,77.62,2室1厅,南,,5000,64.4,,,https://sh.lianjia.com/zufang/SH2118650604753518592.html,2026-04-23 10:23:03,31.228297,121.568723
lianyang,整租·联洋年华 2室2厅 南,整租,联洋年华,浦东-联洋-联洋年华,120.40,2室2厅,南,,12500,103.8,,,https://sh.lianjia.com/zufang/SH2157456154425294848.html,2026-04-23 10:23:03,31.223991,121.553097
lianyang,整租·吉云公寓 2室1厅 南,整租,吉云公寓,浦东-联洋-吉云公寓,73.05,2室1厅,南,,5800,79.4,,,https://sh.lianjia.com/zufang/SH2127100203453382656.html,2026-04-23 10:23:03,31.228297,121.568723
lianyang,整租·御景园 2室2厅 南,整租,御景园,浦东-联洋-御景园,112.85,2室2厅,南,,12000,106.3,,,https://sh.lianjia.com/zufang/SH2150881787725742080.html,2026-04-23 10:23:03,31.221628,121.552501
lianyang,整租·第九城市(二期) 3室2厅 南,整租,第九城市(二期),浦东-联洋-第九城市(二期),154.00,3室2厅,南,,16800,109.1,,,https://sh.lianjia.com/zufang/SH2150894956527484928.html,2026-04-23 10:23:03,31.228161,121.562909
lianyang,整租·吉云公寓 2室2厅 南,整租,吉云公寓,浦东-联洋-吉云公寓,77.62,2室2厅,南,,6500,83.7,,,https://sh.lianjia.com/zufang/SH2151909601774141440.html,2026-04-23 10:23:03,31.228297,121.568723
lianyang,整租·吉云公寓 2室1厅 南,整租,吉云公寓,浦东-联洋-吉云公寓,73.05,2室1厅,南,,6600,90.3,,,https://sh.lianjia.com/zufang/SH2146477055968018432.html,2026-04-23 10:23:03,31.228297,121.568723
lianyang,整租·四季雅苑(公寓) 4室2厅 东南,整租,四季雅苑(公寓),浦东-联洋-四季雅苑(公寓),253.57,4室2厅,东南,,35000,138.0,,,https://sh.lianjia.com/zufang/SH2137489855284772864.html,2026-04-23 10:23:03,31.21855,121.569982
lianyang,整租·仁恒河滨城(一期) 3室2厅 北,整租,仁恒河滨城(一期),浦东-联洋-仁恒河滨城(一期),125.00,3室2厅,北,,14000,112.0,,,https://sh.lianjia.com/zufang/SH2138150963012173824.html,2026-04-23 10:23:03,31.22905,121.565714
lianyang,整租·民生路1433号 1室0厅 北,整租,民生路1433号,浦东-联洋-民生路,40.57,1室0厅,北,,8000,197.2,,,https://sh.lianjia.com/zufang/SH2141162973471703040.html,2026-04-23 10:23:03,31.22971,121.549422
lianyang,整租·第九城市(二期) 2室2厅 南,整租,第九城市(二期),浦东-联洋-第九城市(二期),103.85,2室2厅,南,,11500,110.7,,,https://sh.lianjia.com/zufang/SH2142975944590098432.html,2026-04-23 10:23:03,31.228161,121.562909
lianyang,整租·广洋新景苑(公寓) 1室2厅 南,整租,广洋新景苑(公寓),浦东-联洋-广洋新景苑(公寓),116.00,1室2厅,南,,9800,84.5,,,https://sh.lianjia.com/zufang/SH2143751846018154496.html,2026-04-23 10:23:03,31.22449,121.567294
lianyang,整租·仁恒河滨城(一期) 3室2厅 南,整租,仁恒河滨城(一期),浦东-联洋-仁恒河滨城(一期),166.31,3室2厅,南,,20000,120.3,,,https://sh.lianjia.com/zufang/SH2111074982191693824.html,2026-04-23 10:23:03,31.22905,121.565714
lianyang,整租·四季雅苑(别墅) 5室2厅 复式 南,整租,四季雅苑(别墅),浦东-联洋-四季雅苑(别墅),336.62,5室2厅,,,55000,163.4,,,https://sh.lianjia.com/zufang/SH2148674044956770304.html,2026-04-23 10:23:03,31.219647,121.569348
lianyang,整租·仁恒河滨城(二期) 8室2厅 复式 南,整租,仁恒河滨城(二期),浦东-联洋-仁恒河滨城(二期),501.85,8室2厅,,,65000,129.5,,,https://sh.lianjia.com/zufang/SH1978032163404120064.html,2026-04-23 10:23:03,31.230259,121.565889
lianyang,整租·仁恒河滨城(三期) 4室2厅 南,整租,仁恒河滨城(三期),浦东-联洋-仁恒河滨城(三期),227.00,4室2厅,南,,33500,147.6,,,https://sh.lianjia.com/zufang/SH2137547272450211840.html,2026-04-23 10:23:03,31.232094,121.563899
