region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
pengpu,整租·三泉安居苑 2室1厅 南,整租,三泉安居苑,静安-彭浦-三泉安居苑,75.88,2室1厅,南,,5000,65.9,,,https://sh.lianjia.com/zufang/SH2108879582210818048.html,2026-04-23 15:20:22,31.313855,121.444515
pengpu,整租·新德公寓 1室1厅 南/北,整租,新德公寓,静安-彭浦-新德公寓,56.34,1室1厅,南/北,,4000,71.0,,,https://sh.lianjia.com/zufang/SH2099035327141249024.html,2026-04-23 15:20:22,31.313759,121.445789
pengpu,整租·阳景小区 2室0厅 南,整租,阳景小区,静安-彭浦-阳景小区,46.07,2室0厅,南,,3255,70.7,,,https://sh.lianjia.com/zufang/SH2022667128099831808.html,2026-04-23 15:20:22,31.318452,121.458645
pengpu,独栋·静着发公寓 平顺路店 地铁特惠 1号线彭浦新村 电梯 保障房 付一押一 1室1厅,独栋,静着发公寓 平顺路店 地铁特惠 1号线彭浦新村 电梯 保障房 付一押一,,32.00,1室1厅,,,3080-3180,,,,https://sh.lianjia.com/apartment/35798.html,2026-04-23 15:20:36,31.309004,121.450553
pengpu,整租·和源名城 3室1厅 南,整租,和源名城,静安-彭浦-和源名城,79.00,3室1厅,南,,5250,66.5,,,https://sh.lianjia.com/zufang/SH1932361629576462336.html,2026-04-23 15:21:16,31.316167,121.46536
pengpu,独栋·中建幸福公寓 静安店B栋 中建大套房 70平米 保租房 可月付 1室1厅,独栋,中建幸福公寓 静安店B栋 中建大套房 70平米 保租房 可月付,,70.00,1室1厅,,,7000,100.0,,,https://sh.lianjia.com/apartment/4652.html,2026-04-23 15:20:32,31.304386,121.451191
pengpu,整租·岭南路700弄 1室1厅 南,整租,岭南路700弄,静安-彭浦-岭南路,39.78,1室1厅,南,,3350,84.2,,,https://sh.lianjia.com/zufang/SH2024440970984030208.html,2026-04-23 15:20:51,31.281821,121.436299
pengpu,整租·恒安小区 2室1厅 南,整租,恒安小区,静安-彭浦-恒安小区,55.34,2室1厅,南,,4200,75.9,,,https://sh.lianjia.com/zufang/SH2127621639569932288.html,2026-04-23 15:20:22,31.308832,121.46141
pengpu,整租·兴泉小区 2室1厅 南,整租,兴泉小区,静安-彭浦-兴泉小区,60.00,2室1厅,南,,4000,66.7,,,https://sh.lianjia.com/zufang/SH2153475987310903296.html,2026-04-23 15:21:32,31.315779,121.440356
pengpu,整租·闻喜路251弄 1室0厅 南,整租,闻喜路251弄,静安-彭浦-闻喜路,40.66,1室0厅,南,,3500,86.1,,,https://sh.lianjia.com/zufang/SH2153785295156281344.html,2026-04-23 15:21:32,31.308832,121.46141
