region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
sanlin,整租·士韵家园二期 2室1厅 南,整租,士韵家园二期,浦东-三林-士韵家园二期,68.86,2室1厅,南,,5000,72.6,,,https://sh.lianjia.com/zufang/SH2157100693742157824.html,2026-04-23 10:26:30,31.125927,121.496603
sanlin,整租·金地湾流域（二期569弄） 3室2厅 南,整租,金地湾流域（二期569弄）,浦东-三林-金地湾流域,89.00,3室2厅,南,,7800,87.6,,,https://sh.lianjia.com/zufang/SH2143221949763944448.html,2026-04-23 10:25:02,31.149271,121.518959
sanlin,整租·三林新村(永泰路468弄) 3室2厅 南,整租,三林新村(永泰路468弄),浦东-三林-三林新村(永泰路,96.38,3室2厅,南,,6900,71.6,,,https://sh.lianjia.com/zufang/SH2150171113827598336.html,2026-04-23 10:26:30,31.136107,121.511598
sanlin,独栋·城方公寓 康桥璟仁社区 国企直租 阳光南北通透大两居 班车直达地铁站 2室1厅,独栋,城方公寓 康桥璟仁社区 国企直租 阳光南北通透大两居 班车直达地铁站,,93.00,2室1厅,,,9055,97.4,,,https://sh.lianjia.com/apartment/82099.html,2026-04-23 10:25:02,31.213456,121.435516
sanlin,整租·杉林新月环林东路799弄 2室2厅 南,整租,杉林新月环林东路799弄,浦东-三林-杉林新月环林东路,71.18,2室2厅,南,,4700,66.0,,,https://sh.lianjia.com/zufang/SH2148052077601882112.html,2026-04-23 10:26:30,31.138833,121.504425
sanlin,整租·品新苑 2室2厅 南,整租,品新苑,浦东-三林-品新苑,93.63,2室2厅,南,,6500,69.4,,,https://sh.lianjia.com/zufang/SH2148063113826533376.html,2026-04-23 10:26:30,31.140543,121.524634
sanlin,整租·依水园二期 1室1厅 南,整租,依水园二期,浦东-三林-依水园二期,51.73,1室1厅,南,,4000,77.3,,,https://sh.lianjia.com/zufang/SH2144389733864701952.html,2026-04-23 10:25:02,31.122068,121.508392
sanlin,整租·凌兆新村(凌兆路586弄) 1室1厅 南,整租,凌兆新村(凌兆路586弄),浦东-三林-凌兆新村(凌兆路,47.91,1室1厅,南,,3790,79.1,,,https://sh.lianjia.com/zufang/SH2083401315752345600.html,2026-04-23 10:25:02,31.142435,121.504025
sanlin,独栋·华润置地·有巢公寓 三林店 【精致一居室 限时67折】近11号地铁 可办居住证 提公积金 1室1厅,独栋,华润置地·有巢公寓 三林店 【精致一居室 限时67折】近11号地铁 可办居住证 提公积金,,48.00,1室1厅,,,4700-4900,,,,https://sh.lianjia.com/apartment/48539.html,2026-04-23 10:25:10,31.14281,121.527451
sanlin,整租·浦发绿城永泰路2079弄 3室2厅 南/北,整租,浦发绿城永泰路2079弄,浦东-三林-浦发绿城永泰路,94.34,3室2厅,南/北,,5880,62.3,,,https://sh.lianjia.com/zufang/SH2092274168878858240.html,2026-04-23 10:25:02,31.147332,121.543714
sanlin,整租·依水园一期 2室1厅 南,整租,依水园一期,浦东-三林-依水园一期,68.40,2室1厅,南,,4300,62.9,,,https://sh.lianjia.com/zufang/SH2093237096201322496.html,2026-04-23 10:25:02,31.122874,121.510048
