region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
sichuanbeilu,整租·金象大厦 1室1厅 南,整租,金象大厦,虹口-四川北路-金象大厦,44.66,1室1厅,南,,3800,85.1,,,https://sh.lianjia.com/zufang/SH2145495947394678784.html,2026-04-23 15:45:18,31.26139,121.478184
sichuanbeilu,整租·武进路263弄 2室2厅 南,整租,武进路263弄,虹口-四川北路-武进路,59.91,2室2厅,南,,7500,125.2,,,https://sh.lianjia.com/zufang/SH2157004754348146688.html,2026-04-23 15:45:18,31.258893,121.483064
sichuanbeilu,整租·国际明佳城 2室2厅 南,整租,国际明佳城,虹口-四川北路-国际明佳城,114.00,2室2厅,南,,10500,92.1,,,https://sh.lianjia.com/zufang/SH2141373065785769984.html,2026-04-23 15:45:18,31.255198,121.486461
sichuanbeilu,独栋·柚米 上海四川北路柚米寓 【北外滩通勤15min】朝南榻榻米阳台一居 保租房 民水电 可办居住证 1室1厅,独栋,柚米 上海四川北路柚米寓 【北外滩通勤15min】朝南榻榻米阳台一居 保租房 民水电 可办居住证,,40.00,1室1厅,,,4990,124.8,,,https://sh.lianjia.com/apartment/17213.html,2026-04-23 15:45:18,31.256502,121.482422
sichuanbeilu,整租·多伦多公馆 1室1厅 南,整租,多伦多公馆,虹口-四川北路-多伦多公馆,54.88,1室1厅,南,,4000,72.9,,,https://sh.lianjia.com/zufang/SH2145473021979131904.html,2026-04-23 15:45:18,31.262271,121.482931
sichuanbeilu,整租·国际明佳城 3室2厅 南,整租,国际明佳城,虹口-四川北路-国际明佳城,157.18,3室2厅,南,,15750,100.2,,,https://sh.lianjia.com/zufang/SH2155887036316254208.html,2026-04-23 15:45:18,31.255198,121.486461
sichuanbeilu,整租·虹祺花苑(公寓) 3室2厅 南/西北,整租,虹祺花苑(公寓),虹口-四川北路-虹祺花苑(公寓),125.53,3室2厅,南/西北,,11000,87.6,,,https://sh.lianjia.com/zufang/SH2150500026059587584.html,2026-04-23 15:45:18,31.264803,121.478958
sichuanbeilu,整租·金机大厦(公寓) 2室0厅 南,整租,金机大厦(公寓),虹口-四川北路-金机大厦(公寓),45.70,2室0厅,南,,4400,96.3,,,https://sh.lianjia.com/zufang/SH2151609759713722368.html,2026-04-23 15:45:18,31.263651,121.479288
sichuanbeilu,整租·金机大厦(公寓) 1室1厅 南,整租,金机大厦(公寓),虹口-四川北路-金机大厦(公寓),35.32,1室1厅,南,,4100,116.1,,,https://sh.lianjia.com/zufang/SH2146229753886015488.html,2026-04-23 15:45:18,31.263651,121.479288
sichuanbeilu,整租·凯润金城 2室1厅 南,整租,凯润金城,虹口-四川北路-凯润金城,75.61,2室1厅,南,,8500,112.4,,,https://sh.lianjia.com/zufang/SH2152978322395496448.html,2026-04-23 15:45:18,31.257353,121.482194
sichuanbeilu,整租·国际明佳城 1室1厅 东南/南,整租,国际明佳城,虹口-四川北路-国际明佳城,58.30,1室1厅,东南/南,,7875,135.1,,,https://sh.lianjia.com/zufang/SH2025198452878606336.html,2026-04-23 15:45:18,31.255198,121.486461
sichuanbeilu,整租·新潮时代大厦 1室1厅 南,整租,新潮时代大厦,虹口-四川北路-新潮时代大厦,43.38,1室1厅,南,,5160,118.9,,,https://sh.lianjia.com/zufang/SH1812684122850590720.html,2026-04-23 15:45:18,31.259375,121.484289
sichuanbeilu,整租·溧阳路1040号 1室1厅 东,整租,溧阳路1040号,虹口-四川北路-溧阳路,37.41,1室1厅,东,,3800,101.6,,,https://sh.lianjia.com/zufang/SH2006986343137148928.html,2026-04-23 15:45:18,31.251034,121.492017
sichuanbeilu,整租·金芙世纪公寓 2室2厅 南,整租,金芙世纪公寓,虹口-四川北路-金芙世纪公寓,105.74,2室2厅,南,,10800,102.1,,,https://sh.lianjia.com/zufang/SH2142210299925626880.html,2026-04-23 15:45:18,31.25237,121.480869
sichuanbeilu,整租·东宝兴路254弄28支弄 1室1厅 南,整租,东宝兴路254弄28支弄,虹口-四川北路-东宝兴路,42.94,1室1厅,南,,5330,124.1,,,https://sh.lianjia.com/zufang/SH2009634442447945728.html,2026-04-23 15:45:18,31.256502,121.482422
sichuanbeilu,整租·多伦多公馆 1室1厅 南,整租,多伦多公馆,虹口-四川北路-多伦多公馆,49.61,1室1厅,南,,4200,84.7,,,https://sh.lianjia.com/zufang/SH1965387004585705472.html,2026-04-23 15:45:18,31.262271,121.482931
sichuanbeilu,整租·凯润金城 2室2厅 南,整租,凯润金城,虹口-四川北路-凯润金城,100.58,2室2厅,南,,11000,109.4,,,https://sh.lianjia.com/zufang/SH2154915425136148480.html,2026-04-23 15:45:18,31.257353,121.482194
sichuanbeilu,整租·新潮时代大厦 1室1厅 南,整租,新潮时代大厦,虹口-四川北路-新潮时代大厦,52.29,1室1厅,南,,6200,118.6,,,https://sh.lianjia.com/zufang/SH1755455255220322304.html,2026-04-23 15:45:18,31.259375,121.484289
sichuanbeilu,整租·国贸花园 3室2厅 南,整租,国贸花园,虹口-四川北路-国贸花园,135.90,3室2厅,南,,9450,69.5,,,https://sh.lianjia.com/zufang/SH2010628896034127872.html,2026-04-23 15:45:18,31.258141,121.486036
sichuanbeilu,整租·邢长小区 1室1厅 南,整租,邢长小区,虹口-四川北路-邢长小区,36.00,1室1厅,南,,4410,122.5,,,https://sh.lianjia.com/zufang/SH1973020305899126784.html,2026-04-23 15:45:18,31.260171,121.486341
sichuanbeilu,整租·南崇明路1号 2室2厅 东南/南,整租,南崇明路1号,虹口-四川北路-南崇明路,92.10,2室2厅,东南/南,,11550,125.4,,,https://sh.lianjia.com/zufang/SH1864586059946393600.html,2026-04-23 15:45:18,31.258893,121.483064
sichuanbeilu,整租·金芙世纪公寓 2室2厅 南,整租,金芙世纪公寓,虹口-四川北路-金芙世纪公寓,106.00,2室2厅,南,,12000,113.2,,,https://sh.lianjia.com/zufang/SH2157495263961284608.html,2026-04-23 15:45:18,31.25237,121.480869
sichuanbeilu,整租·天通庵路657弄 2室1厅 南,整租,天通庵路657弄,虹口-四川北路-天通庵路,58.94,2室1厅,南,,6800,115.4,,,https://sh.lianjia.com/zufang/SH2157460446079090688.html,2026-04-23 15:45:18,31.259856,121.474223
sichuanbeilu,整租·海伦国际大厦 3室2厅 东南,整租,海伦国际大厦,虹口-四川北路-海伦国际大厦,137.24,3室2厅,东南,,11500,83.8,,,https://sh.lianjia.com/zufang/SH2130944328997011456.html,2026-04-23 15:45:18,31.262147,121.47942
sichuanbeilu,整租·金宝大厦 2室1厅 南,整租,金宝大厦,虹口-四川北路-金宝大厦,82.37,2室1厅,南,,8500,103.2,,,https://sh.lianjia.com/zufang/SH2146974601198960640.html,2026-04-23 15:45:18,31.260116,121.479611
