region,title,rent_type,community,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
tangzhen,整租·东郊紫园 5室2厅 复式 南,整租,东郊紫园,377.00,5室2厅,,,40000,106.1,,,https://sh.lianjia.com/zufang/SH2153059674553843712.html,2026-04-22 16:55:24,31.178775,121.624074
tangzhen,整租·汤臣豪园一期 4室2厅 复式 南,整租,汤臣豪园一期,257.23,4室2厅,,,26000,101.1,,,https://sh.lianjia.com/zufang/SH2154797458205442048.html,2026-04-22 16:55:24,31.209999,121.585405
tangzhen,整租·万科翡翠公园四期 4室2厅 南/北,整租,万科翡翠公园四期,179.82,4室2厅,南/北,,25000,139.0,,,https://sh.lianjia.com/zufang/SH2150263552722599936.html,2026-04-22 16:55:24,31.179139,121.610609
tangzhen,整租·万科翡翠公园五期 3室3厅 东南,整租,万科翡翠公园五期,148.89,3室3厅,东南,,21000,141.0,,,https://sh.lianjia.com/zufang/SH2155588429230899200.html,2026-04-22 16:55:24,31.180249,121.61266
tangzhen,整租·汤臣豪园(二期) 4室2厅 复式 南,整租,汤臣豪园(二期),226.99,4室2厅,,,22000,96.9,,,https://sh.lianjia.com/zufang/SH2096606769806573568.html,2026-04-22 16:55:24,31.208639,121.582621
tangzhen,整租·东郊紫园 5室3厅 复式 南,整租,东郊紫园,456.00,5室3厅,,,58800,128.9,,,https://sh.lianjia.com/zufang/SH1991443717344460800.html,2026-04-22 16:55:24,31.178775,121.624074
tangzhen,整租·万科翡翠公园三期 4室2厅 南,整租,万科翡翠公园三期,211.30,4室2厅,南,,20000,94.7,,,https://sh.lianjia.com/zufang/SH2146820704148914176.html,2026-04-22 16:55:24,31.180094,121.610047
tangzhen,整租·张江公馆 4室1厅 南/北,整租,张江公馆,105.21,4室1厅,南/北,,7800,74.1,,,https://sh.lianjia.com/zufang/SH1924120847379857408.html,2026-04-22 16:55:09,31.203011,121.636359
tangzhen,整租·张江公馆 3室2厅 南,整租,张江公馆,105.21,3室2厅,南,,8000,76.0,,,https://sh.lianjia.com/zufang/SH2140421842463096832.html,2026-04-22 16:54:23,31.203011,121.636359
tangzhen,整租·华发半岛华庭 4室2厅 南,整租,华发半岛华庭,130.00,4室2厅,南,,11550,88.8,,,https://sh.lianjia.com/zufang/SH2066713520031924224.html,2026-04-22 16:54:23,31.148733,121.417747
tangzhen,独栋·寓见公寓 唐安路店 不短租 地铁2号线温馨小单间，独立厨卫，拎包入住 开间,独栋,寓见公寓 唐安路店 不短租 地铁2号线温馨小单间，独立厨卫，拎包入住 开间,23.00,,,,2000,87.0,,,https://sh.lianjia.com/apartment/105055.html,2026-04-22 16:54:30,31.258264,121.335396
tangzhen,整租·金枫公寓 2室1厅 南,整租,金枫公寓,84.08,2室1厅,南,,4200,50.0,,,https://sh.lianjia.com/zufang/SH2069645354034266112.html,2026-04-22 16:54:23,31.239062,121.682767
tangzhen,独栋·柚米 上海唐镇地铁站柚米寓 特价复式！2号线唐镇站！品牌公寓直租 张江 15 分钟通勤 可做饭 有车位拎包入住 开间,独栋,柚米 上海唐镇地铁站柚米寓 特价复式！2号线唐镇站！品牌公寓直租 张江 15 分钟通勤 可做饭 有车位拎包入住 开间,35.00,,,,3587,102.5,,,https://sh.lianjia.com/apartment/17466.html,2026-04-22 16:54:30,31.103343,121.500983
tangzhen,整租·齐友佳苑 3室1厅 南/北,整租,齐友佳苑,85.00,3室1厅,南/北,,5460,64.2,,,https://sh.lianjia.com/zufang/SH2025057934689435648.html,2026-04-22 16:55:09,31.205326,121.671957
tangzhen,整租·张江公馆 3室2厅 南,整租,张江公馆,145.37,3室2厅,南,,8500,58.5,,,https://sh.lianjia.com/zufang/SH2119412714408247296.html,2026-04-22 16:54:23,31.203011,121.636359
tangzhen,整租·毕加索小镇一期(住宅) 1室1厅 南,整租,毕加索小镇一期(住宅),66.00,1室1厅,南,,4980,75.5,,,https://sh.lianjia.com/zufang/SH1948691835383709696.html,2026-04-22 16:55:09,31.216245,121.647846
