region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xidu,整租·万科翡翠公园五期 3室3厅 东南,整租,万科翡翠公园五期,浦东-张江-万科翡翠公园五期,148.89,3室3厅,东南,,21000,141.0,,,https://sh.lianjia.com/zufang/SH2155588429230899200.html,2026-04-23 17:41:27,31.180249,121.61266
xidu,整租·鸿宝一村(南区) 3室1厅 南/北,整租,鸿宝一村(南区),奉贤-西渡-鸿宝一村(南区),87.78,3室1厅,南/北,,2400,27.3,,,https://sh.lianjia.com/zufang/SH2146252958021451776.html,2026-04-23 17:40:58,30.991502,121.427232
xidu,整租·乐康苑 3室2厅 南,整租,乐康苑,奉贤-西渡-乐康苑,3400.00,3室2厅,南,,3400,1.0,,,https://sh.lianjia.com/zufang/SH2155177409517715456.html,2026-04-23 17:40:32,30.963693,121.43577
xidu,整租·华润置地幸福里 3室2厅 南,整租,华润置地幸福里,奉贤-西渡-华润置地幸福里,103.56,3室2厅,南,,3533,34.1,,,https://sh.lianjia.com/zufang/SH1651091558511935488.html,2026-04-23 17:40:53,30.95773,121.436874
xidu,独栋·玖时公寓 西渡店 整租一室户、近连城广场，西渡地铁站700米、押一付一 1室1厅,独栋,玖时公寓 西渡店 整租一室户、近连城广场，西渡地铁站700米、押一付一,,45.00,1室1厅,,,1780,39.6,,,https://sh.lianjia.com/apartment/56142.html,2026-04-23 17:40:37,30.989152,121.430501
xidu,整租·大桥公寓 1室1厅 南,整租,大桥公寓,奉贤-西渡-大桥公寓,44.42,1室1厅,南,,1680,37.8,,,https://sh.lianjia.com/zufang/SH2079891137627160576.html,2026-04-23 17:40:58,30.994511,121.444175
xidu,独栋·华润置地·有巢公寓 萧塘店 萧塘好房直租！租赁登记！入住享86折特惠！近地铁！萧塘站！西渡！奉贤宝龙！直达闵行莘庄！ 1室1厅,独栋,华润置地·有巢公寓 萧塘店 萧塘好房直租！租赁登记！入住享86折特惠！近地铁！萧塘站！西渡！奉贤宝龙！直达闵行莘庄！,,40.00,1室1厅,,,2300,57.5,,,https://sh.lianjia.com/apartment/52923.html,2026-04-23 17:40:32,31.042167,121.31686
xidu,整租·巨龙台湾城 1室1厅 南,整租,巨龙台湾城,奉贤-西渡-巨龙台湾城,40.61,1室1厅,南,,2100,51.7,,,https://sh.lianjia.com/zufang/SH2145511455296847872.html,2026-04-23 17:40:58,30.983768,121.431969
xidu,整租·连城一号 1室1厅 北,整租,连城一号,奉贤-西渡-连城一号,61.00,1室1厅,北,,2340,38.4,,,https://sh.lianjia.com/zufang/SH2149776673938079744.html,2026-04-23 17:40:32,30.985326,121.431749
xidu,整租·连城一号 1室1厅 南,整租,连城一号,奉贤-西渡-连城一号,60.40,1室1厅,南,,2573,42.6,,,https://sh.lianjia.com/zufang/SH1939551764676083712.html,2026-04-23 17:40:49,30.985326,121.431749
xidu,整租·祥和花园 2室1厅 南,整租,祥和花园,奉贤-西渡-祥和花园,70.21,2室1厅,南,,2200,31.3,,,https://sh.lianjia.com/zufang/SH1901141639846428672.html,2026-04-23 17:40:53,30.990801,121.435239
xidu,独栋·青果公寓 青果公寓上海南桥奉浦工业园区店 【一个月起租】毕业季押金减半！LOFT大落地窗！ 1室1厅,独栋,青果公寓 青果公寓上海南桥奉浦工业园区店 【一个月起租】毕业季押金减半！LOFT大落地窗！,,30.60,1室1厅,,,1370-1550,,,,https://sh.lianjia.com/apartment/37108.html,2026-04-23 17:40:37,30.952594,121.437238
xidu,整租·连城一号 1室1厅 南,整租,连城一号,奉贤-西渡-连城一号,65.00,1室1厅,南,,2700,41.5,,,https://sh.lianjia.com/zufang/SH1808163242132897792.html,2026-04-23 17:40:53,30.985326,121.431749
xidu,整租·闸园新村 2室1厅 南,整租,闸园新村,奉贤-西渡-闸园新村,67.27,2室1厅,南,,2500,37.2,,,https://sh.lianjia.com/zufang/SH2017959230773919744.html,2026-04-23 17:40:53,30.994542,121.434781
xidu,整租·鸿宝二村 2室1厅 南/北,整租,鸿宝二村,奉贤-西渡-鸿宝二村,70.01,2室1厅,南/北,,2835,40.5,,,https://sh.lianjia.com/zufang/SH2110928567339581440.html,2026-04-23 17:40:58,30.988719,121.428882
xidu,整租·水帘洞小区 3室2厅 南,整租,水帘洞小区,奉贤-西渡-水帘洞小区,84.00,3室2厅,南,,3300,39.3,,,https://sh.lianjia.com/zufang/SH2151888637204103168.html,2026-04-23 17:40:32,30.992678,121.43172
xidu,独栋·乐活青年社区 西渡店 一室一厅一厨户型 1室1厅,独栋,乐活青年社区 西渡店 一室一厅一厨户型,,52.00,1室1厅,,,2000,38.5,,,https://sh.lianjia.com/apartment/107454.html,2026-04-23 17:40:35,30.985033,121.429652
xidu,整租·闸园新村 1室1厅 南,整租,闸园新村,奉贤-西渡-闸园新村,33.62,1室1厅,南,,1600,47.6,,,https://sh.lianjia.com/zufang/SH2015660832632864768.html,2026-04-23 17:40:32,30.994542,121.434781
