region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xinqiao,整租·海派青城 1室1厅 西,整租,海派青城,松江-新桥-海派青城,44.00,1室1厅,西,,1800,40.9,,,https://sh.lianjia.com/zufang/SH1658349234769887232.html,2026-04-23 17:27:30,31.065738,121.316078
xinqiao,整租·英郡雷丁小城 4室2厅 跃层 南,整租,英郡雷丁小城,松江-新桥-英郡雷丁小城,163.28,4室2厅,,,12000,73.5,,,https://sh.lianjia.com/zufang/SH2127685033266249728.html,2026-04-23 17:27:30,31.089441,121.319507
xinqiao,整租·海派青城 2室1厅 南,整租,海派青城,松江-新桥-海派青城,86.54,2室1厅,南,,3500,40.4,,,https://sh.lianjia.com/zufang/SH1877735958871277568.html,2026-04-23 17:27:30,31.065738,121.316078
xinqiao,独栋·中建·幸孚+公寓 B栋 高端豪华双床房 限时每月增200电费 独立厨卫衣帽间 民用水电 开间,独栋,中建·幸孚+公寓 B栋 高端豪华双床房 限时每月增200电费 独立厨卫衣帽间 民用水电 开间,,47.00,,,,2709,57.6,,,https://sh.lianjia.com/apartment/54013.html,2026-04-23 17:27:53,,
xinqiao,整租·上海家天下花园 3室2厅 南,整租,上海家天下花园,松江-新桥-上海家天下花园,200.00,3室2厅,南,,8400,42.0,,,https://sh.lianjia.com/zufang/SH2038515371329191936.html,2026-04-23 17:27:30,31.055748,121.30747
xinqiao,独栋·盛都公寓 科创园店 夏日炎炎 居家小窝 开间,独栋,盛都公寓 科创园店 夏日炎炎 居家小窝 开间,,26.00,,,,1600,61.5,,,https://sh.lianjia.com/apartment/76176.html,2026-04-23 17:27:32,31.0316,121.260428
xinqiao,整租·新中大厦 2室1厅 南,整租,新中大厦,松江-新桥-新中大厦,46.00,2室1厅,南,,2700,58.7,,,https://sh.lianjia.com/zufang/SH2042617280608600064.html,2026-04-23 17:27:30,31.065068,121.314187
xinqiao,整租·明月清泉南园 5室2厅 跃层 南,整租,明月清泉南园,松江-新桥-明月清泉南园,210.00,5室2厅,,,7000,33.3,,,https://sh.lianjia.com/zufang/SH2111757964485328896.html,2026-04-23 17:27:30,31.061435,121.310787
xinqiao,整租·新中大厦 2室1厅 南,整租,新中大厦,松江-新桥-新中大厦,36.37,2室1厅,南,,2400,66.0,,,https://sh.lianjia.com/zufang/SH2151238995353272320.html,2026-04-23 17:27:30,31.065068,121.314187
xinqiao,独栋·壹间公寓 招商壹间·新桥店G60科创云廊社区7栋 超大三室2厅三居室-G60科创云廊首选 3室2厅,独栋,壹间公寓 招商壹间·新桥店G60科创云廊社区7栋 超大三室2厅三居室-G60科创云廊首选,,100.00,3室2厅,,,6375,63.8,,,https://sh.lianjia.com/apartment/93637.html,2026-04-23 17:27:44,31.087646,121.32411
xinqiao,整租·海派青城 1室0厅 东,整租,海派青城,松江-新桥-海派青城,42.00,1室0厅,东,,2142,51.0,,,https://sh.lianjia.com/zufang/SH1769390465653669888.html,2026-04-23 17:27:30,31.065738,121.316078
xinqiao,独栋·乐璟 新桥 免费班车 企业客户首选 全新家具家电 可拎包入住 24H安保服务 1室1厅,独栋,乐璟 新桥 免费班车 企业客户首选 全新家具家电 可拎包入住 24H安保服务,,36.00,1室1厅,,,1800-1950,,,,https://sh.lianjia.com/apartment/99927.html,2026-04-23 17:27:30,,
xinqiao,整租·华泽新苑 3室1厅 东,整租,华泽新苑,松江-新桥-华泽新苑,74.02,3室1厅,东,,3570,48.2,,,https://sh.lianjia.com/zufang/SH2016071116598018048.html,2026-04-23 17:27:30,31.061242,121.31788
