region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xizangbeilu,整租·兴亚广场(办公楼) 1室1厅 南,整租,兴亚广场(办公楼),静安-西藏北路-兴亚广场(办公楼),46.09,1室1厅,南,,4200,91.1,,,https://sh.lianjia.com/zufang/SH2003459444863664128.html,2026-04-23 15:22:10,,
xizangbeilu,整租·兴亚广场(办公楼) 2室1厅 北,整租,兴亚广场(办公楼),静安-西藏北路-兴亚广场(办公楼),119.00,2室1厅,北,,9200,77.3,,,https://sh.lianjia.com/zufang/SH2150155705141690368.html,2026-04-23 15:21:51,,
xizangbeilu,整租·中华新路495号 1室1厅 南,整租,中华新路495号,静安-西藏北路-中华新路,42.04,1室1厅,南,,4800,114.2,,,https://sh.lianjia.com/zufang/SH2148251483966013440.html,2026-04-23 15:22:13,,
xizangbeilu,独栋·诺富特 西藏北路店 静安品质公寓，24h服务，高区瞰景公园 1室1厅,独栋,诺富特 西藏北路店 静安品质公寓，24h服务，高区瞰景公园,,80.00,1室1厅,,,17000,212.5,,,https://sh.lianjia.com/apartment/69174.html,2026-04-23 15:21:53,,
xizangbeilu,整租·南山路71弄 1室1厅 南,整租,南山路71弄,静安-西藏北路-南山路,46.00,1室1厅,南,,4700,102.2,,,https://sh.lianjia.com/zufang/SH2146120974540472320.html,2026-04-23 15:22:13,,
xizangbeilu,整租·复地新都国际 1室1厅 西,整租,复地新都国际,静安-西藏北路-复地新都国际,77.99,1室1厅,西,,10500,134.6,,,https://sh.lianjia.com/zufang/SH2113588090856538112.html,2026-04-23 15:22:10,,
xizangbeilu,整租·和源馨苑 1室1厅 南,整租,和源馨苑,静安-西藏北路-和源馨苑,65.00,1室1厅,南,,6800,104.6,,,https://sh.lianjia.com/zufang/SH2154277289888579584.html,2026-04-23 15:21:51,,
xizangbeilu,整租·光华坊 1室1厅 南,整租,光华坊,静安-西藏北路-光华坊,36.57,1室1厅,南,,3800,103.9,,,https://sh.lianjia.com/zufang/SH2150165294964801536.html,2026-04-23 15:22:10,,
xizangbeilu,独栋·博邻 静安店 精品一居室（带衣帽间）地铁3/4/8号线静安苏河湾大悦城商业 1室1厅,独栋,博邻 静安店 精品一居室（带衣帽间）地铁3/4/8号线静安苏河湾大悦城商业,,55.00,1室1厅,,,12500,227.3,,,https://sh.lianjia.com/apartment/76363.html,2026-04-23 15:21:51,,
xizangbeilu,整租·和田小区 1室1厅 南,整租,和田小区,静安-西藏北路-和田小区,32.26,1室1厅,南,,3900,120.9,,,https://sh.lianjia.com/zufang/SH2150980758825598976.html,2026-04-23 15:22:10,,
xizangbeilu,整租·二轻小区 1室1厅 南,整租,二轻小区,静安-西藏北路-二轻小区,46.00,1室1厅,南,,3800,82.6,,,https://sh.lianjia.com/zufang/SH2151609413289377792.html,2026-04-23 15:22:13,,
xizangbeilu,独栋·供享家公寓 中兴路地铁站店 年租限时特价房 1室1厅,独栋,供享家公寓 中兴路地铁站店 年租限时特价房,,42.00,1室1厅,,,5480,130.5,,,https://sh.lianjia.com/apartment/43664.html,2026-04-23 15:21:57,,
xizangbeilu,整租·宝昌路632弄 2室1厅 南/北,整租,宝昌路632弄,静安-西藏北路-宝昌路,50.00,2室1厅,南/北,,5000,100.0,,,https://sh.lianjia.com/zufang/SH2009941602444771328.html,2026-04-23 15:22:13,,
xizangbeilu,整租·聚龙大厦 2室2厅 南/西南,整租,聚龙大厦,静安-西藏北路-聚龙大厦,99.62,2室2厅,南/西南,,8400,84.3,,,https://sh.lianjia.com/zufang/SH2014670972870721536.html,2026-04-23 15:22:10,,
xizangbeilu,整租·绿洲雅宾利花园(一期) 4室2厅 南,整租,绿洲雅宾利花园(一期),静安-西藏北路-绿洲雅宾利花园(一期),173.76,4室2厅,南,,25800,148.5,,,https://sh.lianjia.com/zufang/SH2093935370881204224.html,2026-04-23 15:21:51,,
xizangbeilu,整租·奔腾新干线 1室0厅 西南,整租,奔腾新干线,静安-西藏北路-奔腾新干线,38.51,1室0厅,西南,,4095,106.3,,,https://sh.lianjia.com/zufang/SH2014662917508562944.html,2026-04-23 15:22:10,,
xizangbeilu,整租·灵艺大厦 3室2厅 南,整租,灵艺大厦,静安-西藏北路-灵艺大厦,162.70,3室2厅,南,,16000,98.3,,,https://sh.lianjia.com/zufang/SH2108050327042260992.html,2026-04-23 15:21:51,,
xizangbeilu,整租·奔腾新干线 1室1厅 南,整租,奔腾新干线,静安-西藏北路-奔腾新干线,42.00,1室1厅,南,,4400,104.8,,,https://sh.lianjia.com/zufang/SH2002311830512336896.html,2026-04-23 15:22:10,,
xizangbeilu,整租·二轻小区 1室1厅 南,整租,二轻小区,静安-西藏北路-二轻小区,36.18,1室1厅,南,,4000,110.6,,,https://sh.lianjia.com/zufang/SH1940404506042826752.html,2026-04-23 15:22:10,,
xizangbeilu,整租·芷江西路150号 2室1厅 南/北,整租,芷江西路150号,静安-西藏北路-芷江西路,63.72,2室1厅,南/北,,5500,86.3,,,https://sh.lianjia.com/zufang/SH2118903810469396480.html,2026-04-23 15:21:51,,
xizangbeilu,整租·万科翡翠雅宾利 5室3厅 南,整租,万科翡翠雅宾利,静安-西藏北路-万科翡翠雅宾利,352.48,5室3厅,南,,55000,156.0,,,https://sh.lianjia.com/zufang/SH2118933032374108160.html,2026-04-23 15:21:51,,
xizangbeilu,整租·三宝花苑 2室2厅 南,整租,三宝花苑,静安-西藏北路-三宝花苑,97.00,2室2厅,南,,8500,87.6,,,https://sh.lianjia.com/zufang/SH2155546360097538048.html,2026-04-23 15:21:53,,
xizangbeilu,整租·蒙特利名都城 3室2厅 南,整租,蒙特利名都城,静安-西藏北路-蒙特利名都城,201.33,3室2厅,南,,17000,84.4,,,https://sh.lianjia.com/zufang/SH2125931711731597312.html,2026-04-23 15:21:51,,
xizangbeilu,整租·昆泰大厦 2室1厅 南,整租,昆泰大厦,静安-西藏北路-昆泰大厦,97.00,2室1厅,南,,8190,84.4,,,https://sh.lianjia.com/zufang/SH1981697695143690240.html,2026-04-23 15:22:10,,
xizangbeilu,整租·华发·静安华府 3室2厅 南,整租,华发·静安华府,静安-西藏北路-华发,106.19,3室2厅,南,,20500,193.1,,,https://sh.lianjia.com/zufang/SH2144093292042649600.html,2026-04-23 15:21:53,,
xizangbeilu,整租·和田小区 1室0厅 北,整租,和田小区,静安-西藏北路-和田小区,27.58,1室0厅,北,,3500,126.9,,,https://sh.lianjia.com/zufang/SH1715282359458201600.html,2026-04-23 15:21:53,,
xizangbeilu,整租·通阁小区 1室1厅 南,整租,通阁小区,静安-西藏北路-通阁小区,30.00,1室1厅,南,,3700,123.3,,,https://sh.lianjia.com/zufang/SH1825490914533965824.html,2026-04-23 15:21:53,,
xizangbeilu,整租·二轻小区 1室0厅 南,整租,二轻小区,静安-西藏北路-二轻小区,27.00,1室0厅,南,,3330,123.3,,,https://sh.lianjia.com/zufang/SH2140061777046536192.html,2026-04-23 15:22:13,,
xizangbeilu,整租·铭德国际广场 2室2厅 西,整租,铭德国际广场,静安-西藏北路-铭德国际广场,106.00,2室2厅,西,,16800,158.5,,,https://sh.lianjia.com/zufang/SH2133200575137841152.html,2026-04-23 15:21:53,,
xizangbeilu,整租·芷江中路493弄 1室0厅 南,整租,芷江中路493弄,静安-西藏北路-芷江中路,30.00,1室0厅,南,,3675,122.5,,,https://sh.lianjia.com/zufang/SH1968575807597051904.html,2026-04-23 15:21:57,,
