region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xujing,整租·瑞和明庭西区 2室1厅 南/北,整租,瑞和明庭西区,青浦-徐泾-瑞和明庭西区,70.00,2室1厅,南/北,,3990,57.0,,,https://sh.lianjia.com/zufang/SH2116884151570268160.html,2026-04-23 16:59:53,31.252707,121.127799
xujing,整租·葛洲坝虹桥紫郡公馆 4室2厅 南,整租,葛洲坝虹桥紫郡公馆,青浦-徐泾-葛洲坝虹桥紫郡公馆,231.23,4室2厅,南,,18500,80.0,,,https://sh.lianjia.com/zufang/SH2059140526019444736.html,2026-04-23 16:56:35,31.161837,121.315684
xujing,整租·招商虹桥华府 4室3厅 南,整租,招商虹桥华府,青浦-徐泾-招商虹桥华府,195.85,4室3厅,南,,18500,94.5,,,https://sh.lianjia.com/zufang/SH2144428454962003968.html,2026-04-23 16:59:53,31.171017,121.308315
xujing,独栋·爱住 天空之城爱住自持精品公寓 可短租！17号线租房、精装、商场上盖、民用水电，拎包入住，可办居住证、 1室1厅,独栋,爱住 天空之城爱住自持精品公寓 可短租！17号线租房、精装、商场上盖、民用水电，拎包入住，可办居住证、,,31.00,1室1厅,,,4200,135.5,,,https://sh.lianjia.com/apartment/40185.html,2026-04-23 16:56:38,,
xujing,整租·上海蟠龙天地一期 3室2厅 南,整租,上海蟠龙天地一期,青浦-徐泾-上海蟠龙天地一期,99.00,3室2厅,南,,9600,97.0,,,https://sh.lianjia.com/zufang/SH2072344619823136768.html,2026-04-23 16:59:53,31.192765,121.281809
xujing,整租·圣地维拉 5室2厅 南/西,整租,圣地维拉,青浦-徐泾-圣地维拉,282.22,5室2厅,南/西,,23100,81.9,,,https://sh.lianjia.com/zufang/SH1752581095372619776.html,2026-04-23 16:59:22,31.244167,121.223725
xujing,整租·长堤花园别墅 6室2厅 南,整租,长堤花园别墅,青浦-徐泾-长堤花园别墅,586.39,6室2厅,南,,33000,56.3,,,https://sh.lianjia.com/zufang/SH2062034979394682880.html,2026-04-23 16:56:35,31.166537,121.25438
xujing,整租·招商虹桥公馆二期南区 3室2厅 南,整租,招商虹桥公馆二期南区,青浦-徐泾-招商虹桥公馆二期南区,106.00,3室2厅,南,,8295,78.3,,,https://sh.lianjia.com/zufang/SH1756619789138132992.html,2026-04-23 16:59:22,31.179178,121.248952
xujing,独栋·爱住 天空之城爱住服务式公寓 虹桥租房、一室一厅、智能家居、商铁环绕、民用水电、全屋松下 1室1厅,独栋,爱住 天空之城爱住服务式公寓 虹桥租房、一室一厅、智能家居、商铁环绕、民用水电、全屋松下,,66.00,1室1厅,,,7650,115.9,,,https://sh.lianjia.com/apartment/51495.html,2026-04-23 16:56:35,31.127553,121.298757
xujing,整租·中建锦绣天地(会恒路718弄) 1室1厅 南,整租,中建锦绣天地(会恒路718弄),青浦-徐泾-中建锦绣天地(会恒路,58.28,1室1厅,南,,4095,70.3,,,https://sh.lianjia.com/zufang/SH2028842785242611712.html,2026-04-23 16:59:53,31.183715,121.28506
xujing,独栋·方隅服务公寓 上海天璟方隅国际公寓 地铁直达中山公园静安寺/亲子乐园/商业完善/整租外窗 1室1厅,独栋,方隅服务公寓 上海天璟方隅国际公寓 地铁直达中山公园静安寺/亲子乐园/商业完善/整租外窗,,47.00,1室1厅,,,5820,123.8,,,https://sh.lianjia.com/apartment/105140.html,2026-04-23 16:56:54,31.186592,121.289561
xujing,整租·海棠馨苑南区 2室2厅 南,整租,海棠馨苑南区,青浦-徐泾-海棠馨苑南区,66.71,2室2厅,南,,3728,55.9,,,https://sh.lianjia.com/zufang/SH2019712711151058944.html,2026-04-23 16:59:53,,
xujing,整租·康虹佳园(公寓) 3室2厅 南,整租,康虹佳园(公寓),青浦-徐泾-康虹佳园(公寓),192.00,3室2厅,南,,7800,40.6,,,https://sh.lianjia.com/zufang/SH2154863920043524096.html,2026-04-23 16:56:35,31.174527,121.310483
xujing,整租·上海豪都国际花园(公寓) 3室2厅 南/北,整租,上海豪都国际花园(公寓),青浦-徐泾-上海豪都国际花园(公寓),111.89,3室2厅,南/北,,5200,46.5,,,https://sh.lianjia.com/zufang/SH2151888083518226432.html,2026-04-23 16:59:53,31.164533,121.278998
xujing,整租·高富丽源 5室2厅 复式 南,整租,高富丽源,青浦-徐泾-高富丽源,330.57,5室2厅,,,28000,84.7,,,https://sh.lianjia.com/zufang/SH2099851530902437888.html,2026-04-23 16:57:40,31.252707,121.127799
xujing,整租·万科天空之城一期海之洲 3室2厅 南,整租,万科天空之城一期海之洲,青浦-徐泾-万科天空之城一期海之洲,98.61,3室2厅,南,,8300,84.2,,,https://sh.lianjia.com/zufang/SH2149555241144549376.html,2026-04-23 16:59:53,31.173866,121.253787
xujing,整租·灿辉晶典1733 4室2厅 复式 西南,整租,灿辉晶典1733,青浦-徐泾-灿辉晶典,228.64,4室2厅,,,22500,98.4,,,https://sh.lianjia.com/zufang/SH2104206303378276352.html,2026-04-23 16:57:40,31.16634,121.284977
xujing,整租·东方明珠花园 4室2厅 南/北,整租,东方明珠花园,青浦-徐泾-东方明珠花园,137.00,4室2厅,南/北,,10500,76.6,,,https://sh.lianjia.com/zufang/SH2147628380256731136.html,2026-04-23 16:59:53,31.173772,121.309676
xujing,整租·海棠馨苑南区 3室1厅 南/北,整租,海棠馨苑南区,青浦-徐泾-海棠馨苑南区,79.00,3室1厅,南/北,,4305,54.5,,,https://sh.lianjia.com/zufang/SH2076137718231859200.html,2026-04-23 16:56:38,,
xujing,独栋·城方公寓 CHIC栖窠社区 全景阳台 带衣帽间 免费班车直达2号线 开间,独栋,城方公寓 CHIC栖窠社区 全景阳台 带衣帽间 免费班车直达2号线 开间,,50.00,,,,4923,98.5,,,https://sh.lianjia.com/apartment/82711.html,2026-04-23 16:56:38,31.213456,121.435516
xujing,整租·大华西郊别墅 5室2厅 复式 南/北,整租,大华西郊别墅,青浦-徐泾-大华西郊别墅,418.00,5室2厅,,,41000,98.1,,,https://sh.lianjia.com/zufang/SH2026499272676999168.html,2026-04-23 16:56:35,31.161049,121.302392
xujing,整租·绿波花园别墅 5室2厅 复式 南,整租,绿波花园别墅,青浦-徐泾-绿波花园别墅,302.56,5室2厅,,,26000,85.9,,,https://sh.lianjia.com/zufang/SH2084579348165165056.html,2026-04-23 16:56:35,31.154452,121.264452
xujing,整租·虹桥世界中心 2室1厅 南,整租,虹桥世界中心,青浦-徐泾-虹桥世界中心,75.73,2室1厅,南,,5800,76.6,,,https://sh.lianjia.com/zufang/SH2128363378580652032.html,2026-04-23 16:57:24,31.184075,121.304635
xujing,整租·招商虹桥公馆二期北区 4室2厅 南,整租,招商虹桥公馆二期北区,青浦-徐泾-招商虹桥公馆二期北区,131.05,4室2厅,南,,11500,87.8,,,https://sh.lianjia.com/zufang/SH2051994129532977152.html,2026-04-23 16:56:35,31.179178,121.248952
xujing,独栋·SVIP斯维派服务公寓 明珠路门店 1年起租 可办居住证/行政一室 /拎包入住/公寓直租 开间,独栋,SVIP斯维派服务公寓 明珠路门店 1年起租 可办居住证/行政一室 /拎包入住/公寓直租 开间,,35.00,,,,3000,85.7,,,https://sh.lianjia.com/apartment/56132.html,2026-04-23 16:56:38,31.194973,121.260095
xujing,整租·华发蟠龙四季 3室2厅 南/北,整租,华发蟠龙四季,青浦-徐泾-华发蟠龙四季,101.19,3室2厅,南/北,,9500,93.9,,,https://sh.lianjia.com/zufang/SH2155653827716448256.html,2026-04-23 16:59:53,31.196395,121.240443
xujing,整租·虹桥融景 3室3厅 南,整租,虹桥融景,青浦-徐泾-虹桥融景,155.27,3室3厅,南,,12000,77.3,,,https://sh.lianjia.com/zufang/SH2072194109111533568.html,2026-04-23 16:56:38,31.175503,121.296627
xujing,整租·新虹桥雅苑 2室2厅 南/北,整租,新虹桥雅苑,青浦-徐泾-新虹桥雅苑,92.95,2室2厅,南/北,,6500,69.9,,,https://sh.lianjia.com/zufang/SH2151566202730708992.html,2026-04-23 16:59:53,31.176851,121.310444
xujing,整租·馨浦苑东区 1室1厅 南,整租,馨浦苑东区,青浦-徐泾-馨浦苑东区,52.85,1室1厅,南,,3360,63.6,,,https://sh.lianjia.com/zufang/SH1836695603543801856.html,2026-04-23 16:59:53,31.178897,121.238012
xujing,整租·上海蟠龙天地三期 4室2厅 南,整租,上海蟠龙天地三期,青浦-徐泾-上海蟠龙天地三期,280.00,4室2厅,南,,29800,106.4,,,https://sh.lianjia.com/zufang/SH2080218155505942528.html,2026-04-23 16:56:38,31.190699,121.273962
xujing,整租·馨浦苑西区 1室1厅 南,整租,馨浦苑西区,青浦-徐泾-馨浦苑西区,52.00,1室1厅,南,,4500,86.5,,,https://sh.lianjia.com/zufang/SH1755143583595233280.html,2026-04-23 16:59:22,31.178527,121.238029
xujing,整租·招商虹桥公馆二期南区 3室2厅 南,整租,招商虹桥公馆二期南区,青浦-徐泾-招商虹桥公馆二期南区,106.00,3室2厅,南,,8295,78.3,,,https://sh.lianjia.com/zufang/SH1756617031890763776.html,2026-04-23 16:59:22,31.179178,121.248952
xujing,整租·招商虹桥公馆二期北区 3室2厅 南/北,整租,招商虹桥公馆二期北区,青浦-徐泾-招商虹桥公馆二期北区,89.00,3室2厅,南/北,,8200,92.1,,,https://sh.lianjia.com/zufang/SH1757008814441234432.html,2026-04-23 16:59:22,31.179178,121.248952
xujing,整租·海棠馨苑南区 2室2厅 南,整租,海棠馨苑南区,青浦-徐泾-海棠馨苑南区,66.81,2室2厅,南,,4095,61.3,,,https://sh.lianjia.com/zufang/SH2000613777774477312.html,2026-04-23 16:59:53,,
xujing,独栋·德必斯维派公寓 徐祥路店 新出特价，公寓直租，可办居住证，免费班车 1室1厅,独栋,德必斯维派公寓 徐祥路店 新出特价，公寓直租，可办居住证，免费班车,,40.00,1室1厅,,,2900,72.5,,,https://sh.lianjia.com/apartment/71177.html,2026-04-23 16:56:38,31.194962,121.264925
xujing,整租·万科天空之城三期星之屿 3室2厅 南,整租,万科天空之城三期星之屿,青浦-徐泾-万科天空之城三期星之屿,102.00,3室2厅,南,,10007,98.1,,,https://sh.lianjia.com/zufang/SH2008032595203325952.html,2026-04-23 16:59:53,31.178992,121.252366
xujing,整租·中核锦悦府一期 4室2厅 南,整租,中核锦悦府一期,青浦-徐泾-中核锦悦府一期,150.00,4室2厅,南,,18000,120.0,,,https://sh.lianjia.com/zufang/SH2080856651098750976.html,2026-04-23 16:56:38,31.179702,121.287954
xujing,整租·上海蟠龙天地一期 3室2厅 南,整租,上海蟠龙天地一期,青浦-徐泾-上海蟠龙天地一期,98.92,3室2厅,南,,10000,101.1,,,https://sh.lianjia.com/zufang/SH2012024550010650624.html,2026-04-23 16:59:53,31.192765,121.281809
xujing,整租·金地天御 4室2厅 南,整租,金地天御,青浦-徐泾-金地天御,388.31,4室2厅,南,,28500,73.4,,,https://sh.lianjia.com/zufang/SH2084614263795613696.html,2026-04-23 16:56:38,31.156109,121.271674
