region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yingpu,整租·中南君悦府 3室2厅 南,整租,中南君悦府,青浦-盈浦-中南君悦府,112.09,3室2厅,南,,5300,47.3,,,https://sh.lianjia.com/zufang/SH2152748381313695744.html,2026-04-23 17:01:23,,
yingpu,整租·贺桥公寓 2室2厅 南,整租,贺桥公寓,青浦-盈浦-贺桥公寓,88.00,2室2厅,南,,3800,43.2,,,https://sh.lianjia.com/zufang/SH2157774461850353664.html,2026-04-23 17:00:33,,
yingpu,整租·铂悦公馆 2室1厅 南,整租,铂悦公馆,青浦-盈浦-铂悦公馆,83.31,2室1厅,南,,3500,42.0,,,https://sh.lianjia.com/zufang/SH2153496774835175424.html,2026-04-23 17:01:23,,
yingpu,独栋·云寓 东渡悦来城店 首月最高减免1200，华为练秋湖最近商业综合体，距地铁50米，精致一室户 开间,独栋,云寓 东渡悦来城店 首月最高减免1200，华为练秋湖最近商业综合体，距地铁50米，精致一室户 开间,,45.00,,,,2512-2602,,,,https://sh.lianjia.com/apartment/104720.html,2026-04-23 17:00:15,,
yingpu,整租·景瑞城中公园 3室2厅 南,整租,景瑞城中公园,青浦-盈浦-景瑞城中公园,155.26,3室2厅,南,,4400,28.3,,,https://sh.lianjia.com/zufang/SH2087906312254914560.html,2026-04-23 17:01:31,,
yingpu,独栋·云寓 盈浦店 首月最高减免1200华为练秋湖最近商业综合体，距地铁30米，精致一室户 开间,独栋,云寓 盈浦店 首月最高减免1200华为练秋湖最近商业综合体，距地铁30米，精致一室户 开间,,44.00,,,,3061-3077,,,,https://sh.lianjia.com/apartment/95183.html,2026-04-23 17:00:19,,
yingpu,整租·东渡悦都荟 2室0厅 南,整租,东渡悦都荟,青浦-盈浦-东渡悦都荟,60.00,2室0厅,南,,2500,41.7,,,https://sh.lianjia.com/zufang/SH2095471321906413568.html,2026-04-23 17:01:31,,
yingpu,整租·景港名人苑 2室2厅 南,整租,景港名人苑,青浦-盈浦-景港名人苑,90.37,2室2厅,南,,3350,37.1,,,https://sh.lianjia.com/zufang/SH2154070526358716416.html,2026-04-23 17:00:15,,
yingpu,整租·宝业·活力天地 2室1厅 南,整租,宝业·活力天地,青浦-盈浦-宝业,81.68,2室1厅,南,,4500,55.1,,,https://sh.lianjia.com/zufang/SH1720419388152086528.html,2026-04-23 17:01:31,,
yingpu,独栋·瓴寓 首创禧悦风华店 朝南温馨一室户带阳台烧燃气 1室1厅,独栋,瓴寓 首创禧悦风华店 朝南温馨一室户带阳台烧燃气,,50.00,1室1厅,,,3050,61.0,,,https://sh.lianjia.com/apartment/50556.html,2026-04-23 17:00:21,,
