region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yuanshen,整租·桃林一小区 3室1厅 南,整租,桃林一小区,浦东-源深-桃林一小区,119.54,3室1厅,南,,8700,72.8,,,https://sh.lianjia.com/zufang/SH2148820112105275392.html,2026-04-23 10:33:22,31.231076,121.545384
yuanshen,整租·桃林一小区 3室1厅 南,整租,桃林一小区,浦东-源深-桃林一小区,119.69,3室1厅,南,,8900,74.4,,,https://sh.lianjia.com/zufang/SH2021910968157601792.html,2026-04-23 10:33:22,31.231076,121.545384
yuanshen,整租·竹园高层 1室2厅 南,整租,竹园高层,浦东-源深-竹园高层,52.78,1室2厅,南,,6300,119.4,,,https://sh.lianjia.com/zufang/SH2085688790705242112.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,独栋·新港大厦服务式公寓 源深店 温馨三居 3室1厅,独栋,新港大厦服务式公寓 源深店 温馨三居,,112.96,3室1厅,,,24000,212.5,,,https://sh.lianjia.com/apartment/101008.html,2026-04-23 10:33:22,31.227149,121.533805
yuanshen,整租·竹园高层 1室1厅 南,整租,竹园高层,浦东-源深-竹园高层,65.44,1室1厅,南,,8200,125.3,,,https://sh.lianjia.com/zufang/SH2150563281964630016.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,67.33,2室1厅,南,,6400,95.1,,,https://sh.lianjia.com/zufang/SH2006757968468508672.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·盛世年华 3室2厅 南,整租,盛世年华,浦东-源深-盛世年华,144.99,3室2厅,南,,17500,120.7,,,https://sh.lianjia.com/zufang/SH2127987882432921600.html,2026-04-23 10:33:22,31.228683,121.538976
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,62.68,2室1厅,南,,7140,113.9,,,https://sh.lianjia.com/zufang/SH1817577000131362816.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园新村(浦东) 2室1厅 南,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),42.87,2室1厅,南,,5000,116.6,,,https://sh.lianjia.com/zufang/SH1852331118963982336.html,2026-04-23 10:33:22,31.22867,121.531775
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,65.72,2室1厅,南,,7490,114.0,,,https://sh.lianjia.com/zufang/SH1784187803689549824.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,62.68,2室1厅,南,,6300,100.5,,,https://sh.lianjia.com/zufang/SH2155918240889438208.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,62.68,2室1厅,南,,6960,111.0,,,https://sh.lianjia.com/zufang/SH1975124577331707904.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园新村(浦东) 1室1厅 南,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),42.00,1室1厅,南,,4800,114.3,,,https://sh.lianjia.com/zufang/SH1941134603347558400.html,2026-04-23 10:33:22,31.22867,121.531775
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,68.00,2室1厅,南,,7790,114.6,,,https://sh.lianjia.com/zufang/SH1860673261952565248.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园新村(浦东) 1室1厅 南,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),42.45,1室1厅,南,,5300,124.9,,,https://sh.lianjia.com/zufang/SH2149152648836677632.html,2026-04-23 10:33:22,31.22867,121.531775
yuanshen,整租·盛世年华 4室2厅 南,整租,盛世年华,浦东-源深-盛世年华,174.00,4室2厅,南,,20000,114.9,,,https://sh.lianjia.com/zufang/SH2131045634860384256.html,2026-04-23 10:33:22,31.228683,121.538976
yuanshen,整租·竹园新村(浦东) 1室1厅 西南,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),44.84,1室1厅,西南,,5393,120.3,,,https://sh.lianjia.com/zufang/SH1758736455905050624.html,2026-04-23 10:33:22,31.22867,121.531775
yuanshen,整租·竹园新村(浦东) 1室1厅 东,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),36.00,1室1厅,东,,3990,110.8,,,https://sh.lianjia.com/zufang/SH1941504029406265344.html,2026-04-23 10:33:22,31.22867,121.531775
yuanshen,整租·山水国际 3室2厅 南,整租,山水国际,浦东-源深-山水国际,145.02,3室2厅,南,,16500,113.8,,,https://sh.lianjia.com/zufang/SH2150627502232436736.html,2026-04-23 10:33:22,31.234157,121.543639
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,64.15,2室1厅,南,,7590,118.3,,,https://sh.lianjia.com/zufang/SH1798247138447065088.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园高层 3室1厅 南,整租,竹园高层,浦东-源深-竹园高层,81.67,3室1厅,南,,8700,106.5,,,https://sh.lianjia.com/zufang/SH1753690973847683072.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园新村(浦东) 2室1厅 南,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),42.23,2室1厅,南,,5630,133.3,,,https://sh.lianjia.com/zufang/SH2142808447677374464.html,2026-04-23 10:33:22,31.22867,121.531775
yuanshen,整租·源竹小区(南片) 1室1厅 南,整租,源竹小区(南片),浦东-源深-源竹小区(南片),42.00,1室1厅,南,,4935,117.5,,,https://sh.lianjia.com/zufang/SH2050480062536351744.html,2026-04-23 10:33:22,31.229399,121.534108
yuanshen,整租·竹园新村(浦东) 2室1厅 南,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),53.16,2室1厅,南,,7230,136.0,,,https://sh.lianjia.com/zufang/SH1896982268547694592.html,2026-04-23 10:33:22,31.22867,121.531775
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,68.48,2室1厅,南,,6600,96.4,,,https://sh.lianjia.com/zufang/SH2152378139571912704.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园高层 2室1厅 南,整租,竹园高层,浦东-源深-竹园高层,64.00,2室1厅,南,,6800,106.2,,,https://sh.lianjia.com/zufang/SH2143906336218284032.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园高层 1室1厅 南,整租,竹园高层,浦东-源深-竹园高层,64.00,1室1厅,南,,6000,93.8,,,https://sh.lianjia.com/zufang/SH2146891560329936896.html,2026-04-23 10:33:22,31.144037,121.442917
yuanshen,整租·竹园新村(浦东) 2室1厅 南,整租,竹园新村(浦东),浦东-源深-竹园新村(浦东),58.21,2室1厅,南,,6200,106.5,,,https://sh.lianjia.com/zufang/SH2148045951116247040.html,2026-04-23 10:33:22,31.22867,121.531775
