region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yuepu,整租·庆安苑 2室2厅 南,整租,庆安苑,宝山-月浦-庆安苑,91.00,2室2厅,南,,3300,36.3,,,https://sh.lianjia.com/zufang/SH2009120783128854528.html,2026-04-23 16:04:28,,
yuepu,整租·沈巷新村 1室1厅 南,整租,沈巷新村,宝山-月浦-沈巷新村,40.00,1室1厅,南,,2026,50.6,,,https://sh.lianjia.com/zufang/SH2145740512093536256.html,2026-04-23 16:04:28,,
yuepu,整租·中冶祥腾宝月花园 3室2厅 南,整租,中冶祥腾宝月花园,宝山-月浦-中冶祥腾宝月花园,86.72,3室2厅,南,,3100,35.7,,,https://sh.lianjia.com/zufang/SH2151582148509827072.html,2026-04-23 16:04:28,,
yuepu,独栋·CCB建融家园 长滩滨江社区 民用水电燃 可提取公积金 免费班车接送 1室1厅,独栋,CCB建融家园 长滩滨江社区 民用水电燃 可提取公积金 免费班车接送,,48.00,1室1厅,,,3200,66.7,,,https://sh.lianjia.com/apartment/90581.html,2026-04-23 16:04:28,,
yuepu,整租·中冶祥腾宝月花园 4室1厅 南,整租,中冶祥腾宝月花园,宝山-月浦-中冶祥腾宝月花园,106.13,4室1厅,南,,3500,33.0,,,https://sh.lianjia.com/zufang/SH1989315402034839552.html,2026-04-23 16:04:28,,
yuepu,整租·中冶祥腾宝月花园 3室2厅 南/北,整租,中冶祥腾宝月花园,宝山-月浦-中冶祥腾宝月花园,87.05,3室2厅,南/北,,3150,36.2,,,https://sh.lianjia.com/zufang/SH2154219606883958784.html,2026-04-23 16:04:28,,
yuepu,整租·中冶尚园 3室1厅 南,整租,中冶尚园,宝山-月浦-中冶尚园,90.00,3室1厅,南,,3400,37.8,,,https://sh.lianjia.com/zufang/SH2085572275846774784.html,2026-04-23 16:04:28,,
yuepu,整租·新城昱翠湾 2室1厅 南,整租,新城昱翠湾,宝山-月浦-新城昱翠湾,76.35,2室1厅,南,,3350,43.9,,,https://sh.lianjia.com/zufang/SH2154510418930827264.html,2026-04-23 16:04:28,,
yuepu,整租·新城昱翠湾 2室1厅 南/北,整租,新城昱翠湾,宝山-月浦-新城昱翠湾,60.54,2室1厅,南/北,,2800,46.3,,,https://sh.lianjia.com/zufang/SH1712395254205775872.html,2026-04-23 16:04:28,,
yuepu,整租·乐业五村 2室1厅 南,整租,乐业五村,宝山-月浦-乐业五村,68.77,2室1厅,南,,2800,40.7,,,https://sh.lianjia.com/zufang/SH1715649909614444544.html,2026-04-23 16:04:28,,
yuepu,整租·乐业五村 2室1厅 南/北,整租,乐业五村,宝山-月浦-乐业五村,59.00,2室1厅,南/北,,2730,46.3,,,https://sh.lianjia.com/zufang/SH1951148965751685120.html,2026-04-23 16:04:28,,
yuepu,整租·庆安苑 2室2厅 南/北,整租,庆安苑,宝山-月浦-庆安苑,92.59,2室2厅,南/北,,3600,38.9,,,https://sh.lianjia.com/zufang/SH2031314247253753856.html,2026-04-23 16:04:28,,
yuepu,整租·中冶锦园 2室2厅 南,整租,中冶锦园,宝山-月浦-中冶锦园,74.59,2室2厅,南,,2950,39.5,,,https://sh.lianjia.com/zufang/SH2152998695811940352.html,2026-04-23 16:04:28,,
yuepu,整租·中冶尚园 2室1厅 南,整租,中冶尚园,宝山-月浦-中冶尚园,84.25,2室1厅,南,,3350,39.8,,,https://sh.lianjia.com/zufang/SH2155930861126549504.html,2026-04-23 16:04:28,,
yuepu,整租·中冶锦园 2室1厅 南,整租,中冶锦园,宝山-月浦-中冶锦园,73.54,2室1厅,南,,3400,46.2,,,https://sh.lianjia.com/zufang/SH2150532352621674496.html,2026-04-23 16:04:28,,
yuepu,独栋·友间公寓 月浦店 限量特价/央企直营/民水电带阳台/物业维修响应快/三室一厅 3室1厅,独栋,友间公寓 月浦店 限量特价/央企直营/民水电带阳台/物业维修响应快/三室一厅,,85.00,3室1厅,,,5200,61.2,,,https://sh.lianjia.com/apartment/52782.html,2026-04-23 16:04:28,,
yuepu,整租·月浦三村 1室1厅 东南/南,整租,月浦三村,宝山-月浦-月浦三村,36.00,1室1厅,东南/南,,2100,58.3,,,https://sh.lianjia.com/zufang/SH2029790402772467712.html,2026-04-23 16:04:28,,
yuepu,整租·乐业五村 2室1厅 南,整租,乐业五村,宝山-月浦-乐业五村,82.00,2室1厅,南,,3360,41.0,,,https://sh.lianjia.com/zufang/SH1801537477215780864.html,2026-04-23 16:04:28,,
yuepu,整租·新城昱翠湾 3室2厅 南/北,整租,新城昱翠湾,宝山-月浦-新城昱翠湾,93.00,3室2厅,南/北,,2900,31.2,,,https://sh.lianjia.com/zufang/SH2135244492746260480.html,2026-04-23 16:04:28,,
yuepu,整租·中冶锦园 2室1厅 南,整租,中冶锦园,宝山-月浦-中冶锦园,74.53,2室1厅,南,,2800,37.6,,,https://sh.lianjia.com/zufang/SH2143626412467159040.html,2026-04-23 16:04:28,,
yuepu,整租·阳光美林 2室2厅 南,整租,阳光美林,宝山-月浦-阳光美林,93.52,2室2厅,南,,2900,31.0,,,https://sh.lianjia.com/zufang/SH2151545754345275392.html,2026-04-23 16:04:28,,
yuepu,整租·宝华盛世花园 3室2厅 南,整租,宝华盛世花园,宝山-月浦-宝华盛世花园,107.41,3室2厅,南,,3300,30.7,,,https://sh.lianjia.com/zufang/SH2114649894516948992.html,2026-04-23 16:04:28,,
