region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhabeigongyuan,整租·和源大楼 1室1厅 南,整租,和源大楼,静安-闸北公园-和源大楼,53.16,1室1厅,南,,4350,81.8,,,https://sh.lianjia.com/zufang/SH1851668734301700096.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·天祥华府 2室2厅 南,整租,天祥华府,静安-闸北公园-天祥华府,87.61,2室2厅,南,,9700,110.7,,,https://sh.lianjia.com/zufang/SH2129863413931704320.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和源大楼 1室1厅 南,整租,和源大楼,静安-闸北公园-和源大楼,53.16,1室1厅,南,,4935,92.8,,,https://sh.lianjia.com/zufang/SH2057749487144665088.html,2026-04-23 15:22:32,,
zhabeigongyuan,独栋·城家公寓 城家公寓上海大宁西藏北路地铁站店 免费公区！独厨独卫！无中介费！24H安保！ 开间,独栋,城家公寓 城家公寓上海大宁西藏北路地铁站店 免费公区！独厨独卫！无中介费！24H安保！ 开间,,37.10,,,,4350,117.3,,,https://sh.lianjia.com/apartment/43420.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·嘉利明珠城 3室2厅 南,整租,嘉利明珠城,静安-闸北公园-嘉利明珠城,124.61,3室2厅,南,,10000,80.3,,,https://sh.lianjia.com/zufang/SH2006992309618475008.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·黄山锦庭 1室1厅 南,整租,黄山锦庭,静安-闸北公园-黄山锦庭,49.00,1室1厅,南,,5670,115.7,,,https://sh.lianjia.com/zufang/SH2007021382671532032.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和安小区 1室1厅 南/北,整租,和安小区,静安-闸北公园-和安小区,47.33,1室1厅,南/北,,4800,101.4,,,https://sh.lianjia.com/zufang/SH2149757393167187968.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·锦灏佳园 2室1厅 南/北,整租,锦灏佳园,静安-闸北公园-锦灏佳园,101.36,2室1厅,南/北,,8000,78.9,,,https://sh.lianjia.com/zufang/SH1890758783039176704.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和玉苑 2室2厅 南,整租,和玉苑,静安-闸北公园-和玉苑,88.47,2室2厅,南,,8190,92.6,,,https://sh.lianjia.com/zufang/SH1961727870027956224.html,2026-04-23 15:22:32,,
zhabeigongyuan,独栋·晟隆公寓 中山北路店 应届毕业生押金减半/朝南外窗/地铁3分钟/直达人民广场 1室1厅,独栋,晟隆公寓 中山北路店 应届毕业生押金减半/朝南外窗/地铁3分钟/直达人民广场,,25.00,1室1厅,,,4550,182.0,,,https://sh.lianjia.com/apartment/107474.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和源大楼 1室1厅 东北,整租,和源大楼,静安-闸北公园-和源大楼,43.65,1室1厅,东北,,4830,110.7,,,https://sh.lianjia.com/zufang/SH2067513321745022976.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和源大楼 1室0厅 南,整租,和源大楼,静安-闸北公园-和源大楼,30.50,1室0厅,南,,3300,108.2,,,https://sh.lianjia.com/zufang/SH2152742187354292224.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·平型关路300弄 2室1厅 南/北,整租,平型关路300弄,静安-闸北公园-平型关路,48.39,2室1厅,南/北,,4500,93.0,,,https://sh.lianjia.com/zufang/SH2156398069187346432.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和玉苑 2室2厅 南,整租,和玉苑,静安-闸北公园-和玉苑,98.48,2室2厅,南,,9000,91.4,,,https://sh.lianjia.com/zufang/SH2141477980528967680.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和兰苑 4室2厅 南,整租,和兰苑,静安-闸北公园-和兰苑,120.97,4室2厅,南,,9332,77.1,,,https://sh.lianjia.com/zufang/SH1850156708282761216.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·上环公寓 3室2厅 南,整租,上环公寓,静安-闸北公园-上环公寓,112.22,3室2厅,南,,8500,75.7,,,https://sh.lianjia.com/zufang/SH2149062808489164800.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·中山北路255弄 1室1厅 南,整租,中山北路255弄,静安-闸北公园-中山北路,32.00,1室1厅,南,,3700,115.6,,,https://sh.lianjia.com/zufang/SH2151708052716257280.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和兰苑 3室2厅 南,整租,和兰苑,静安-闸北公园-和兰苑,133.92,3室2厅,南,,12000,89.6,,,https://sh.lianjia.com/zufang/SH2155586714456817664.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·和源名邸 3室2厅 南,整租,和源名邸,静安-闸北公园-和源名邸,127.00,3室2厅,南,,12800,100.8,,,https://sh.lianjia.com/zufang/SH2140018106632765440.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·金赢108创意广场 1室1厅 北,整租,金赢108创意广场,静安-闸北公园-金赢,64.86,1室1厅,北,,5000,77.1,,,https://sh.lianjia.com/zufang/SH2156595746017640448.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·黄山锦庭 2室2厅 南,整租,黄山锦庭,静安-闸北公园-黄山锦庭,83.56,2室2厅,南,,8500,101.7,,,https://sh.lianjia.com/zufang/SH2157483756695322624.html,2026-04-23 15:22:32,,
zhabeigongyuan,整租·嘉利明珠城 4室3厅 南,整租,嘉利明珠城,静安-闸北公园-嘉利明珠城,140.33,4室3厅,南,,13000,92.6,,,https://sh.lianjia.com/zufang/SH2154074532392992768.html,2026-04-23 15:22:32,,
