region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhaoxiang,整租·臻水岸苑 4室2厅 南,整租,臻水岸苑,青浦-赵巷-臻水岸苑,460.00,4室2厅,南,,13125,28.5,,,https://sh.lianjia.com/zufang/SH1946452119338876928.html,2026-04-23 17:03:10,,
zhaoxiang,整租·金地佘山天境 4室2厅 复式 南/北,整租,金地佘山天境,青浦-赵巷-金地佘山天境,376.40,4室2厅,,,21000,55.8,,,https://sh.lianjia.com/zufang/SH2100595711551733760.html,2026-04-23 17:01:45,,
zhaoxiang,整租·映虹桥 3室2厅 南/北,整租,映虹桥,青浦-赵巷-映虹桥,91.00,3室2厅,南/北,,5850,64.3,,,https://sh.lianjia.com/zufang/SH1983195611213594624.html,2026-04-23 17:03:15,,
zhaoxiang,独栋·宝龙公寓 宝龙公寓汇金路店一期 倒计时！特价活动来袭，先到先选拎包入住一室一厅上 1室1厅,独栋,宝龙公寓 宝龙公寓汇金路店一期 倒计时！特价活动来袭，先到先选拎包入住一室一厅上,,48.00,1室1厅,,,2580,53.8,,,https://sh.lianjia.com/apartment/19947.html,2026-04-23 17:01:45,,
zhaoxiang,整租·金地虹桥峯汇 3室2厅 南/北,整租,金地虹桥峯汇,青浦-赵巷-金地虹桥峯汇,101.00,3室2厅,南/北,,6615,65.5,,,https://sh.lianjia.com/zufang/SH2013629327245049856.html,2026-04-23 17:01:45,,
zhaoxiang,整租·泷湾苑 4室2厅 复式 南,整租,泷湾苑,青浦-赵巷-泷湾苑,391.00,4室2厅,,,14000,35.8,,,https://sh.lianjia.com/zufang/SH2100029526279979008.html,2026-04-23 17:03:10,,
zhaoxiang,整租·金地佘山天境 6室2厅 复式 南/北,整租,金地佘山天境,青浦-赵巷-金地佘山天境,432.83,6室2厅,,,24500,56.6,,,https://sh.lianjia.com/zufang/SH1790230932951662592.html,2026-04-23 17:01:45,,
zhaoxiang,整租·万科有山 3室2厅 南,整租,万科有山,青浦-赵巷-万科有山,147.83,3室2厅,南,,8500,57.5,,,https://sh.lianjia.com/zufang/SH2150818781327261696.html,2026-04-23 17:03:10,,
zhaoxiang,独栋·青橙智慧公寓 青浦店 朝南采光好 独立阳台 落地窗 独立卫浴 可做饭 开间,独栋,青橙智慧公寓 青浦店 朝南采光好 独立阳台 落地窗 独立卫浴 可做饭 开间,,36.00,,,,2910,80.8,,,https://sh.lianjia.com/apartment/60427.html,2026-04-23 17:01:45,,
zhaoxiang,整租·保利建工西郊锦庐 3室2厅 南,整租,保利建工西郊锦庐,青浦-赵巷-保利建工西郊锦庐,166.67,3室2厅,南,,8600,51.6,,,https://sh.lianjia.com/zufang/SH2144035490641215488.html,2026-04-23 17:03:10,,
