region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhongyuanliangwancheng,整租·万业新阶 2室1厅 南,整租,万业新阶,普陀-中远两湾城-万业新阶,53.16,2室1厅,南,,6800,127.9,,,https://sh.lianjia.com/zufang/SH2131273339614789632.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 4室2厅 南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,166.00,4室2厅,南,,14500,87.3,,,https://sh.lianjia.com/zufang/SH2142857370890403840.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 3室1厅 南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,111.15,3室1厅,南,,8500,76.5,,,https://sh.lianjia.com/zufang/SH2009190357446688768.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 1室2厅 南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,59.44,1室2厅,南,,7400,124.5,,,https://sh.lianjia.com/zufang/SH1849802517026701312.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 2室2厅 南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,104.00,2室2厅,南,,9000,86.5,,,https://sh.lianjia.com/zufang/SH1928022509374930944.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·万业新阶 2室1厅 南,整租,万业新阶,普陀-中远两湾城-万业新阶,52.55,2室1厅,南,,7000,133.2,,,https://sh.lianjia.com/zufang/SH2153858078573854720.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 2室2厅 西南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,84.64,2室2厅,西南,,10500,124.1,,,https://sh.lianjia.com/zufang/SH2156335868426584064.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 2室1厅 南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,120.00,2室1厅,南,,9900,82.5,,,https://sh.lianjia.com/zufang/SH2146874178991554560.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 2室2厅 南/北,整租,中远两湾城,普陀-中远两湾城-中远两湾城,109.82,2室2厅,南/北,,9000,82.0,,,https://sh.lianjia.com/zufang/SH2014272179855687680.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·万业新阶 1室2厅 南,整租,万业新阶,普陀-中远两湾城-万业新阶,70.00,1室2厅,南,,6200,88.6,,,https://sh.lianjia.com/zufang/SH2098619856298442752.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 4室2厅 南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,164.00,4室2厅,南,,14000,85.4,,,https://sh.lianjia.com/zufang/SH2137428761526665216.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 2室2厅 南/西南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,111.63,2室2厅,南/西南,,10500,94.1,,,https://sh.lianjia.com/zufang/SH2156297347561160704.html,2026-04-23 15:33:14,,
zhongyuanliangwancheng,整租·中远两湾城 1室2厅 南,整租,中远两湾城,普陀-中远两湾城-中远两湾城,65.73,1室2厅,南,,7500,114.1,,,https://sh.lianjia.com/zufang/SH2155185790009737216.html,2026-04-23 15:33:14,,
