region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
gucun,整租·采菊苑 3室1厅 南/北,整租,采菊苑,宝山-顾村-采菊苑,76.53,3室1厅,南/北,,3600,47.0,,,https://sh.lianjia.com/zufang/SH1880182076167159808.html,2026-04-23 15:56:26,,
gucun,整租·馨佳园(菊泉街1398弄) 3室2厅 南,整租,馨佳园(菊泉街1398弄),宝山-顾村-馨佳园(菊泉街,96.00,3室2厅,南,,3700,38.5,,,https://sh.lianjia.com/zufang/SH2103813084454846464.html,2026-04-23 15:56:26,,
gucun,整租·井晓公馆 1室1厅 南,整租,井晓公馆,宝山-顾村-井晓公馆,64.51,1室1厅,南,,3000,46.5,,,https://sh.lianjia.com/zufang/SH2003698138921041920.html,2026-04-23 15:57:42,,
gucun,独栋·大华享寓 大华享寓锦绣四季店 可短租，民用水电燃实体墙，自带健身房 1室1厅,独栋,大华享寓 大华享寓锦绣四季店 可短租，民用水电燃实体墙，自带健身房,,47.00,1室1厅,,,2774,59.0,,,https://sh.lianjia.com/apartment/47418.html,2026-04-23 15:56:29,,
gucun,整租·绿地公园广场 1室1厅 南,整租,绿地公园广场,宝山-顾村-绿地公园广场,65.00,1室1厅,南,,3400,52.3,,,https://sh.lianjia.com/zufang/SH2014276150523592704.html,2026-04-23 15:58:07,,
gucun,独栋·大华享寓 享寓顾村公园店 可短租+民用水电+燃气做饭+独立厨卫+免费健身房班车 2室2厅,独栋,大华享寓 享寓顾村公园店 可短租+民用水电+燃气做饭+独立厨卫+免费健身房班车,,76.00,2室2厅,,,4038,53.1,,,https://sh.lianjia.com/apartment/46889.html,2026-04-23 15:56:32,,
gucun,整租·保利叶语(二期)(公寓) 2室1厅 南,整租,保利叶语(二期)(公寓),宝山-顾村-保利叶语(二期)(公寓),92.74,2室1厅,南,,5000,53.9,,,https://sh.lianjia.com/zufang/SH2014370304570163200.html,2026-04-23 15:58:07,,
gucun,整租·金地天地云墅 4室2厅 南,整租,金地天地云墅,宝山-顾村-金地天地云墅,113.24,4室2厅,南,,6000,53.0,,,https://sh.lianjia.com/zufang/SH2072910073910263808.html,2026-04-23 15:56:26,,
gucun,整租·保利叶上海(一期) 3室1厅 南/北,整租,保利叶上海(一期),宝山-顾村-保利叶上海(一期),89.61,3室1厅,南/北,,3465,38.7,,,https://sh.lianjia.com/zufang/SH1818276982882828288.html,2026-04-23 15:58:07,,
gucun,独栋·大华享寓 华涵佳苑B栋 首月立减300可短租免费班车民水民电有燃气可月付免费班车 1室1厅,独栋,大华享寓 华涵佳苑B栋 首月立减300可短租免费班车民水民电有燃气可月付免费班车,,45.00,1室1厅,,,2631,58.5,,,https://sh.lianjia.com/apartment/87935.html,2026-04-23 15:56:26,,
gucun,整租·龙湖北城天街 1室1厅 西,整租,龙湖北城天街,宝山-顾村-龙湖北城天街,35.79,1室1厅,西,,2300,64.3,,,https://sh.lianjia.com/zufang/SH1827250815539085312.html,2026-04-23 15:58:07,,
gucun,独栋·冠寓 上海北城天街店 7号线刘行地铁口 整租两室一厅 天街环绕 无中介费支持押一付一 2室1厅,独栋,冠寓 上海北城天街店 7号线刘行地铁口 整租两室一厅 天街环绕 无中介费支持押一付一,,72.00,2室1厅,,,4636-4764,,,,https://sh.lianjia.com/apartment/18552.html,2026-04-23 15:56:26,,
gucun,整租·好日子大家园D区 1室1厅 南,整租,好日子大家园D区,宝山-顾村-好日子大家园,54.27,1室1厅,南,,2900,53.4,,,https://sh.lianjia.com/zufang/SH1828805574897172480.html,2026-04-23 15:58:07,,
gucun,整租·中铁青秀城东区 3室2厅 南,整租,中铁青秀城东区,宝山-顾村-中铁青秀城东区,89.00,3室2厅,南,,4500,50.6,,,https://sh.lianjia.com/zufang/SH2072911535193194496.html,2026-04-23 15:57:42,,
gucun,独栋·柚米 上实菁英荟一店 公寓直租 稀缺独立一居阳台房 可办居住证 民用水电 精装修 1室1厅,独栋,柚米 上实菁英荟一店 公寓直租 稀缺独立一居阳台房 可办居住证 民用水电 精装修,,35.00,1室1厅,,,2383-2485,,,,https://sh.lianjia.com/apartment/72202.html,2026-04-23 15:56:26,,
gucun,整租·馨佳园(韶山路418弄) 2室2厅 南/北,整租,馨佳园(韶山路418弄),宝山-顾村-馨佳园(韶山路,78.37,2室2厅,南/北,,3900,49.8,,,https://sh.lianjia.com/zufang/SH1799317970778849280.html,2026-04-23 15:58:07,,
gucun,整租·保利叶上海(二期) 3室2厅 西南,整租,保利叶上海(二期),宝山-顾村-保利叶上海(二期),84.28,3室2厅,西南,,5000,59.3,,,https://sh.lianjia.com/zufang/SH2095938948344840192.html,2026-04-23 15:56:46,,
gucun,整租·龙湖北城天街 1室1厅 北,整租,龙湖北城天街,宝山-顾村-龙湖北城天街,35.02,1室1厅,北,,2300,65.7,,,https://sh.lianjia.com/zufang/SH2153829983728959488.html,2026-04-23 15:59:09,,
gucun,整租·保利叶语(一期)(公寓) 4室2厅 南,整租,保利叶语(一期)(公寓),宝山-顾村-保利叶语(一期)(公寓),112.37,4室2厅,南,,6700,59.6,,,https://sh.lianjia.com/zufang/SH2101671978342547456.html,2026-04-23 15:56:26,,
gucun,独栋·申宝青年社区 友谊西路店 开年限时特惠朝南超大平层大窗户 无中介费 随时入住 押一付一 1室1厅,独栋,申宝青年社区 友谊西路店 开年限时特惠朝南超大平层大窗户 无中介费 随时入住 押一付一,,40.00,1室1厅,,,2650,66.2,,,https://sh.lianjia.com/apartment/105671.html,2026-04-23 15:56:26,,
gucun,整租·龙湖北城天街 1室1厅 北,整租,龙湖北城天街,宝山-顾村-龙湖北城天街,27.00,1室1厅,北,,1950,72.2,,,https://sh.lianjia.com/zufang/SH1892845123121709056.html,2026-04-23 15:56:26,,
gucun,整租·新顾村大家园A区 2室2厅 南,整租,新顾村大家园A区,宝山-顾村-新顾村大家园,75.99,2室2厅,南,,3780,49.7,,,https://sh.lianjia.com/zufang/SH1829025747155550208.html,2026-04-23 15:58:07,,
