region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
meiyuan1,整租·梅园五街坊 2室1厅 南,整租,梅园五街坊,浦东-梅园-梅园五街坊,52.00,2室1厅,南,,5200,100.0,,,https://sh.lianjia.com/zufang/SH2019053360853811200.html,2026-04-23 10:24:17,31.234137,121.528619
meiyuan1,整租·名门滨江苑 3室2厅 南,整租,名门滨江苑,浦东-梅园-名门滨江苑,150.00,3室2厅,南,,15500,103.3,,,https://sh.lianjia.com/zufang/SH2153039042315288576.html,2026-04-23 10:23:06,31.242828,121.530394
meiyuan1,整租·梅园七街坊 2室1厅 南,整租,梅园七街坊,浦东-梅园-梅园七街坊,52.00,2室1厅,南,,4725,90.9,,,https://sh.lianjia.com/zufang/SH2095871686376161280.html,2026-04-23 10:23:06,31.237848,121.527963
meiyuan1,独栋·永华青年公寓 浦东大道店 陆家温馨精装一室户 可短租 开间,独栋,永华青年公寓 浦东大道店 陆家温馨精装一室户 可短租 开间,,20.00,,,,2880,144.0,,,https://sh.lianjia.com/apartment/82679.html,2026-04-23 10:23:13,,
meiyuan1,整租·阳升公寓 1室1厅 南,整租,阳升公寓,浦东-梅园-阳升公寓,31.44,1室1厅,南,,3600,114.5,,,https://sh.lianjia.com/zufang/SH2077729050574454784.html,2026-04-23 10:24:07,31.242829,121.521842
meiyuan1,独栋·冠寓 上海浦东大道店 陆家嘴优选 直租0中介 可押一付一可月租 近地铁 开间,独栋,冠寓 上海浦东大道店 陆家嘴优选 直租0中介 可押一付一可月租 近地铁 开间,,24.00,,,,4232-4932,,,,https://sh.lianjia.com/apartment/18557.html,2026-04-23 10:23:06,,
meiyuan1,整租·梅园三街坊 2室1厅 东/南,整租,梅园三街坊,浦东-梅园-梅园三街坊,49.00,2室1厅,东/南,,5200,106.1,,,https://sh.lianjia.com/zufang/SH2028403992907743232.html,2026-04-23 10:24:17,31.234805,121.52438
meiyuan1,整租·名门滨江苑 2室1厅 南,整租,名门滨江苑,浦东-梅园-名门滨江苑,103.78,2室1厅,南,,12000,115.6,,,https://sh.lianjia.com/zufang/SH2153746094142521344.html,2026-04-23 10:23:06,31.242828,121.530394
meiyuan1,整租·梅园新村(浦东) 2室1厅 南,整租,梅园新村(浦东),浦东-梅园-梅园新村(浦东),48.55,2室1厅,南,,4800,98.9,,,https://sh.lianjia.com/zufang/SH1751894856214511616.html,2026-04-23 10:24:17,31.23783,121.522108
meiyuan1,整租·梅园新村(浦东) 1室1厅 南,整租,梅园新村(浦东),浦东-梅园-梅园新村(浦东),29.48,1室1厅,南,,4300,145.9,,,https://sh.lianjia.com/zufang/SH2151709365009121280.html,2026-04-23 10:24:07,31.23783,121.522108
meiyuan1,整租·梅园二街坊 1室1厅 南,整租,梅园二街坊,浦东-梅园-梅园二街坊,33.94,1室1厅,南,,4620,136.1,,,https://sh.lianjia.com/zufang/SH1999839778597502976.html,2026-04-23 10:24:17,31.23733,121.52326
meiyuan1,整租·乳山二村 1室1厅 南,整租,乳山二村,浦东-梅园-乳山二村,33.59,1室1厅,南,,3850,114.6,,,https://sh.lianjia.com/zufang/SH2148750265333841920.html,2026-04-23 10:24:12,31.233537,121.518602
meiyuan1,整租·海联大厦 2室2厅 南,整租,海联大厦,浦东-梅园-海联大厦,79.37,2室2厅,南,,6700,84.4,,,https://sh.lianjia.com/zufang/SH2146245513513533440.html,2026-04-23 10:24:07,31.060908,121.578213
meiyuan1,整租·松林小区 2室1厅 南,整租,松林小区,浦东-梅园-松林小区,54.15,2室1厅,南,,6500,120.0,,,https://sh.lianjia.com/zufang/SH2154171874907521024.html,2026-04-23 10:23:33,31.234191,121.530623
meiyuan1,整租·上船大楼 2室1厅 南,整租,上船大楼,浦东-梅园-上船大楼,88.91,2室1厅,南,,8400,94.5,,,https://sh.lianjia.com/zufang/SH2154218967076438016.html,2026-04-23 10:23:06,31.239506,121.513174
meiyuan1,整租·中星张杨苑 2室1厅 南/北,整租,中星张杨苑,浦东-梅园-中星张杨苑,52.12,2室1厅,南/北,,5500,105.5,,,https://sh.lianjia.com/zufang/SH2154497297604411392.html,2026-04-23 10:23:06,31.237608,121.545703
