region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shanghainanzhan,整租·正南花苑 3室2厅 南,整租,正南花苑,徐汇-上海南站-正南花苑,111.06,3室2厅,南,,9500,85.5,,,https://sh.lianjia.com/zufang/SH2050842683471036416.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·东荡小区 1室1厅 南,整租,东荡小区,徐汇-上海南站-东荡小区,40.70,1室1厅,南,,4500,110.6,,,https://sh.lianjia.com/zufang/SH2152364667261943808.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成四村 1室1厅 南,整租,汇成四村,徐汇-上海南站-汇成四村,36.92,1室1厅,南,,3780,102.4,,,https://sh.lianjia.com/zufang/SH2044804964747837440.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·东荡小区 1室1厅 南,整租,东荡小区,徐汇-上海南站-东荡小区,42.55,1室1厅,南,,4360,102.5,,,https://sh.lianjia.com/zufang/SH1891518819629793280.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·金牛苑 2室1厅 西,整租,金牛苑,徐汇-上海南站-金牛苑,67.92,2室1厅,西,,6000,88.3,,,https://sh.lianjia.com/zufang/SH2149403722126458880.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·东荡小区 2室1厅 南,整租,东荡小区,徐汇-上海南站-东荡小区,73.13,2室1厅,南,,5860,80.1,,,https://sh.lianjia.com/zufang/SH1793920291869556736.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成一村 1室1厅 南,整租,汇成一村,徐汇-上海南站-汇成一村,39.50,1室1厅,南,,4300,108.9,,,https://sh.lianjia.com/zufang/SH2149036239494316032.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·华东花苑 2室1厅 南,整租,华东花苑,徐汇-上海南站-华东花苑,57.72,2室1厅,南,,5800,100.5,,,https://sh.lianjia.com/zufang/SH2153066834230771712.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·金塘小区 2室1厅 南,整租,金塘小区,徐汇-上海南站-金塘小区,65.00,2室1厅,南,,5300,81.5,,,https://sh.lianjia.com/zufang/SH2146139208425668608.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成三村 1室1厅 北,整租,汇成三村,徐汇-上海南站-汇成三村,29.40,1室1厅,北,,3690,125.5,,,https://sh.lianjia.com/zufang/SH1954194252686688256.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成五村 1室1厅 南,整租,汇成五村,徐汇-上海南站-汇成五村,41.10,1室1厅,南,,3675,89.4,,,https://sh.lianjia.com/zufang/SH2018601204006780928.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·罗城小区 2室1厅 南,整租,罗城小区,徐汇-上海南站-罗城小区,68.58,2室1厅,南,,5684,82.9,,,https://sh.lianjia.com/zufang/SH1823337618801164288.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成五村 1室1厅 南,整租,汇成五村,徐汇-上海南站-汇成五村,35.60,1室1厅,南,,3500,98.3,,,https://sh.lianjia.com/zufang/SH1987143855970975744.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成一村 2室1厅 南,整租,汇成一村,徐汇-上海南站-汇成一村,59.70,2室1厅,南,,5190,86.9,,,https://sh.lianjia.com/zufang/SH1845446009933529088.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·东荡小区 2室1厅 南/北,整租,东荡小区,徐汇-上海南站-东荡小区,65.00,2室1厅,南/北,,6484,99.8,,,https://sh.lianjia.com/zufang/SH2695424759184752640.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·金塘小区 1室1厅 南,整租,金塘小区,徐汇-上海南站-金塘小区,49.69,1室1厅,南,,4660,93.8,,,https://sh.lianjia.com/zufang/SH1790034146840543232.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·金塘小区 1室1厅 南,整租,金塘小区,徐汇-上海南站-金塘小区,49.69,1室1厅,南,,4200,84.5,,,https://sh.lianjia.com/zufang/SH2038518586628112384.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·金牛苑 2室2厅 南,整租,金牛苑,徐汇-上海南站-金牛苑,78.09,2室2厅,南,,7000,89.6,,,https://sh.lianjia.com/zufang/SH2138129198001160192.html,2026-04-23 15:04:44,,
shanghainanzhan,独栋·城家公寓 城家公寓上海南站地铁站店 近华东理工大学！配有衣柜！鞋柜！超大储物空间！品牌家具！家电全配！ 开间,独栋,城家公寓 城家公寓上海南站地铁站店 近华东理工大学！配有衣柜！鞋柜！超大储物空间！品牌家具！家电全配！ 开间,,26.00,,,,3550,136.5,,,https://sh.lianjia.com/apartment/89474.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·金塘小区 1室1厅 南,整租,金塘小区,徐汇-上海南站-金塘小区,52.00,1室1厅,南,,4200,80.8,,,https://sh.lianjia.com/zufang/SH2157395035727855616.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成一村 2室1厅 南,整租,汇成一村,徐汇-上海南站-汇成一村,63.60,2室1厅,南,,5800,91.2,,,https://sh.lianjia.com/zufang/SH2149930865927389184.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·罗城小区 2室1厅 南,整租,罗城小区,徐汇-上海南站-罗城小区,69.17,2室1厅,南,,5670,82.0,,,https://sh.lianjia.com/zufang/SH2016855037145251840.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇成一村 2室0厅 南,整租,汇成一村,徐汇-上海南站-汇成一村,49.20,2室0厅,南,,4800,97.6,,,https://sh.lianjia.com/zufang/SH2054838617607503872.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·楼园小区 2室1厅 南,整租,楼园小区,徐汇-上海南站-楼园小区,61.17,2室1厅,南,,6400,104.6,,,https://sh.lianjia.com/zufang/SH2148000381555179520.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·华东花苑 3室0厅 南,整租,华东花苑,徐汇-上海南站-华东花苑,75.72,3室0厅,南,,5500,72.6,,,https://sh.lianjia.com/zufang/SH2128408951639769088.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·汇京佳丽园 2室2厅 南,整租,汇京佳丽园,徐汇-上海南站-汇京佳丽园,99.81,2室2厅,南,,9600,96.2,,,https://sh.lianjia.com/zufang/SH2141060311052976128.html,2026-04-23 15:04:44,,
shanghainanzhan,整租·金塘小区 1室1厅 南,整租,金塘小区,徐汇-上海南站-金塘小区,51.06,1室1厅,南,,4600,90.1,,,https://sh.lianjia.com/zufang/SH2149452395908694016.html,2026-04-23 15:04:44,,
