region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xinhualu,整租·虹桥中山广场 3室2厅 南,整租,虹桥中山广场,长宁-新华路-虹桥中山广场,143.00,3室2厅,南,,11000,76.9,,,https://sh.lianjia.com/zufang/SH2144740700774727680.html,2026-04-23 13:17:28,,
xinhualu,整租·延西小区 1室1厅 南,整租,延西小区,长宁-新华路-延西小区,39.08,1室1厅,南,,4500,115.1,,,https://sh.lianjia.com/zufang/SH2153394712612962304.html,2026-04-23 13:16:33,,
xinhualu,整租·鸿发苑 3室2厅 南,整租,鸿发苑,长宁-新华路-鸿发苑,134.74,3室2厅,南,,14500,107.6,,,https://sh.lianjia.com/zufang/SH2149058398581161984.html,2026-04-23 13:17:28,,
xinhualu,整租·安顺路231弄 1室1厅 南,整租,安顺路231弄,长宁-新华路-安顺路,30.00,1室1厅,南,,4000,133.3,,,https://sh.lianjia.com/zufang/SH1958111805314170880.html,2026-04-23 13:17:28,,
xinhualu,整租·安东小区 1室1厅 南/北,整租,安东小区,长宁-新华路-安东小区,44.71,1室1厅,南/北,,4800,107.4,,,https://sh.lianjia.com/zufang/SH2087465779501989888.html,2026-04-23 13:17:28,,
xinhualu,整租·又一村(长宁) 2室1厅 南,整租,又一村(长宁),长宁-新华路-又一村(长宁),58.90,2室1厅,南,,6800,115.4,,,https://sh.lianjia.com/zufang/SH2150948512362135552.html,2026-04-23 13:17:28,,
xinhualu,整租·幸福小区 1室1厅 南,整租,幸福小区,长宁-新华路-幸福小区,34.93,1室1厅,南,,4200,120.2,,,https://sh.lianjia.com/zufang/SH2144660569431474176.html,2026-04-23 13:16:33,,
xinhualu,整租·虹桥府邸 3室2厅 南,整租,虹桥府邸,长宁-新华路-虹桥府邸,164.55,3室2厅,南,,15500,94.2,,,https://sh.lianjia.com/zufang/SH2144313178509541376.html,2026-04-23 13:16:33,,
xinhualu,整租·番禺大厦 2室1厅 南,整租,番禺大厦,长宁-新华路-番禺大厦,102.65,2室1厅,南,,8900,86.7,,,https://sh.lianjia.com/zufang/SH2144745996247105536.html,2026-04-23 13:16:33,,
xinhualu,整租·又一村(长宁) 2室1厅 南,整租,又一村(长宁),长宁-新华路-又一村(长宁),44.61,2室1厅,南,,5200,116.6,,,https://sh.lianjia.com/zufang/SH2143031178125377536.html,2026-04-23 13:17:28,,
xinhualu,整租·又二村 2室1厅 南,整租,又二村,长宁-新华路-又二村,61.67,2室1厅,南,,6300,102.2,,,https://sh.lianjia.com/zufang/SH2155921310402740224.html,2026-04-23 13:17:28,,
xinhualu,整租·番禺大厦 3室2厅 南,整租,番禺大厦,长宁-新华路-番禺大厦,152.00,3室2厅,南,,12600,82.9,,,https://sh.lianjia.com/zufang/SH2020385047051239424.html,2026-04-23 13:17:28,,
xinhualu,整租·长中小区 1室0厅 南,整租,长中小区,长宁-新华路-长中小区,47.17,1室0厅,南,,4725,100.2,,,https://sh.lianjia.com/zufang/SH1912033432309858304.html,2026-04-23 13:17:28,,
xinhualu,整租·安东小区 1室1厅 南,整租,安东小区,长宁-新华路-安东小区,35.00,1室1厅,南,,4700,134.3,,,https://sh.lianjia.com/zufang/SH2154880883469844480.html,2026-04-23 13:17:39,,
xinhualu,整租·延武机电大楼 1室1厅 南,整租,延武机电大楼,长宁-新华路-延武机电大楼,75.28,1室1厅,南,,5985,79.5,,,https://sh.lianjia.com/zufang/SH1913862963479969792.html,2026-04-23 13:17:39,,
xinhualu,整租·长中小区 1室1厅 南,整租,长中小区,长宁-新华路-长中小区,50.00,1室1厅,南,,5600,112.0,,,https://sh.lianjia.com/zufang/SH2152404477976510464.html,2026-04-23 13:17:28,,
xinhualu,整租·安顺路231弄 1室1厅 南,整租,安顺路231弄,长宁-新华路-安顺路,32.00,1室1厅,南,,4000,125.0,,,https://sh.lianjia.com/zufang/SH1897580859007959040.html,2026-04-23 13:17:28,,
xinhualu,整租·东方金门花园 2室2厅 南,整租,东方金门花园,长宁-新华路-东方金门花园,97.24,2室2厅,南,,12000,123.4,,,https://sh.lianjia.com/zufang/SH2153359498503258112.html,2026-04-23 13:16:33,,
xinhualu,整租·云阳村 2室0厅 南/北,整租,云阳村,长宁-新华路-云阳村,50.69,2室0厅,南/北,,6700,132.2,,,https://sh.lianjia.com/zufang/SH2105900334961393664.html,2026-04-23 13:17:39,,
xinhualu,整租·长中小区 1室1厅 南,整租,长中小区,长宁-新华路-长中小区,37.60,1室1厅,南,,4400,117.0,,,https://sh.lianjia.com/zufang/SH1897128511198461952.html,2026-04-23 13:16:33,,
xinhualu,整租·番禺路222弄 1室1厅 北,整租,番禺路222弄,长宁-新华路-番禺路,39.05,1室1厅,北,,4900,125.5,,,https://sh.lianjia.com/zufang/SH2154173389571358720.html,2026-04-23 13:16:33,,
xinhualu,整租·长虹小区 2室0厅 南,整租,长虹小区,长宁-新华路-长虹小区,50.00,2室0厅,南,,5400,108.0,,,https://sh.lianjia.com/zufang/SH2148027199536496640.html,2026-04-23 13:17:28,,
