region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xinjiangwancheng,整租·新江湾城雍景苑 1室2厅 南,整租,新江湾城雍景苑,杨浦-新江湾城-新江湾城雍景苑,86.50,1室2厅,南,,6800,78.6,,,https://sh.lianjia.com/zufang/SH2153696655877079040.html,2026-04-23 15:50:45,,
xinjiangwancheng,整租·仁恒怡庭 5室2厅 复式 南,整租,仁恒怡庭,杨浦-新江湾城-仁恒怡庭,289.74,5室2厅,,,28000,96.6,,,https://sh.lianjia.com/zufang/SH2147235913866936320.html,2026-04-23 15:50:45,,
xinjiangwancheng,整租·三湘未来海岸 2室1厅 西,整租,三湘未来海岸,杨浦-新江湾城-三湘未来海岸,50.92,2室1厅,西,,6200,121.8,,,https://sh.lianjia.com/zufang/SH2146498738535792640.html,2026-04-23 15:50:45,,
xinjiangwancheng,独栋·COZI可遇 三门路店 优选服务式公寓，近字节、火山、B站，上下班通勤15分钟内，地理位优越，地铁站直线100，直达豫园 1室1厅,独栋,COZI可遇 三门路店 优选服务式公寓，近字节、火山、B站，上下班通勤15分钟内，地理位优越，地铁站直线100，直达豫园,,43.00,1室1厅,,,5821-6518,,,,https://sh.lianjia.com/apartment/78857.html,2026-04-23 15:51:22,,
xinjiangwancheng,整租·合生江湾国际公寓 3室2厅 南,整租,合生江湾国际公寓,杨浦-新江湾城-合生江湾国际公寓,136.16,3室2厅,南,,14100,103.6,,,https://sh.lianjia.com/zufang/SH1940290578856017920.html,2026-04-23 15:50:45,,
xinjiangwancheng,整租·华润置地橡树湾 2室2厅 南/北,整租,华润置地橡树湾,杨浦-新江湾城-华润置地橡树湾,89.43,2室2厅,南/北,,8900,99.5,,,https://sh.lianjia.com/zufang/SH1777645693242966016.html,2026-04-23 15:50:45,,
xinjiangwancheng,整租·建发璟墅 4室2厅 复式 南/北,整租,建发璟墅,杨浦-新江湾城-建发璟墅,399.97,4室2厅,,,29900,74.8,,,https://sh.lianjia.com/zufang/SH2137490594660876288.html,2026-04-23 15:50:45,,
xinjiangwancheng,整租·三湘未来海岸 2室1厅 西,整租,三湘未来海岸,杨浦-新江湾城-三湘未来海岸,46.99,2室1厅,西,,5500,117.0,,,https://sh.lianjia.com/zufang/SH2144833269609267200.html,2026-04-23 15:50:45,,
xinjiangwancheng,独栋·mini home国际青年公寓 殷行路店 整租温馨一房 无中介 字节房补 1室1厅,独栋,mini home国际青年公寓 殷行路店 整租温馨一房 无中介 字节房补,,35.00,1室1厅,,,2600-2650,,,,https://sh.lianjia.com/apartment/443.html,2026-04-23 15:51:22,,
xinjiangwancheng,整租·水电新村 2室1厅 南/北,整租,水电新村,杨浦-新江湾城-水电新村,56.12,2室1厅,南/北,,4200,74.8,,,https://sh.lianjia.com/zufang/SH2154553698032812032.html,2026-04-23 15:50:45,,
xinjiangwancheng,独栋·城投宽庭 江湾社区 D户型 46平 大一居 独立阳台 民用水电 可办居住证 1室1厅,独栋,城投宽庭 江湾社区 D户型 46平 大一居 独立阳台 民用水电 可办居住证,,46.00,1室1厅,,,6380,138.7,,,https://sh.lianjia.com/apartment/63199.html,2026-04-23 15:51:18,,
xinjiangwancheng,整租·三湘未来海岸 2室1厅 东,整租,三湘未来海岸,杨浦-新江湾城-三湘未来海岸,62.67,2室1厅,东,,6800,108.5,,,https://sh.lianjia.com/zufang/SH1847569984960593920.html,2026-04-23 15:50:45,,
xinjiangwancheng,整租·涵碧景苑 2室2厅 南/东北,整租,涵碧景苑,杨浦-新江湾城-涵碧景苑,99.06,2室2厅,南/东北,,9450,95.4,,,https://sh.lianjia.com/zufang/SH2144764888315068416.html,2026-04-23 15:50:45,,
xinjiangwancheng,独栋·COZI可遇 新江湾城店 服务式公寓 字节B站首选保租房 智能家具 拎包入住 1室1厅,独栋,COZI可遇 新江湾城店 服务式公寓 字节B站首选保租房 智能家具 拎包入住,,62.00,1室1厅,,,9677-9892,,,,https://sh.lianjia.com/apartment/72355.html,2026-04-23 15:51:22,,
xinjiangwancheng,整租·保辉香景园 3室2厅 南/北,整租,保辉香景园,杨浦-新江湾城-保辉香景园,155.38,3室2厅,南/北,,17000,109.4,,,https://sh.lianjia.com/zufang/SH2150986090012475392.html,2026-04-23 15:50:45,,
xinjiangwancheng,整租·保辉香景园 4室2厅 复式 南/北,整租,保辉香景园,杨浦-新江湾城-保辉香景园,259.53,4室2厅,,,20000,77.1,,,https://sh.lianjia.com/zufang/SH2139422222186446848.html,2026-04-23 15:50:45,,
