region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhongyuan1,整租·殷行路310弄 1室1厅 南,整租,殷行路310弄,杨浦-中原-殷行路,45.88,1室1厅,南,,3150,68.7,,,https://sh.lianjia.com/zufang/SH2073371837277929472.html,2026-04-23 15:53:34,,
zhongyuan1,整租·工农新村小区 2室1厅 南,整租,工农新村小区,杨浦-中原-工农新村小区,65.11,2室1厅,南,,4900,75.3,,,https://sh.lianjia.com/zufang/SH2151550158804877312.html,2026-04-23 15:53:34,,
zhongyuan1,整租·民星住宅小区 1室1厅 南,整租,民星住宅小区,杨浦-中原-民星住宅小区,59.46,1室1厅,南,,4620,77.7,,,https://sh.lianjia.com/zufang/SH2010011522482307072.html,2026-04-23 15:53:34,,
zhongyuan1,独栋·朗诗寓 新五角场店 全景高品质两房（75平、 超大客厅落地窗）带阳台、厨房 2室1厅,独栋,朗诗寓 新五角场店 全景高品质两房（75平、 超大客厅落地窗）带阳台、厨房,,72.60,2室1厅,,,9880,136.1,,,https://sh.lianjia.com/apartment/19869.html,2026-04-23 15:53:42,,
zhongyuan1,整租·城市方园 2室1厅 南,整租,城市方园,杨浦-中原-城市方园,69.49,2室1厅,南,,4800,69.1,,,https://sh.lianjia.com/zufang/SH2012495896553455616.html,2026-04-23 15:53:34,,
zhongyuan1,独栋·江湾·90公寓 五角场店 【叠纸字节实习特价】江湾体育场旁/精装公寓带飘窗 1室1厅,独栋,江湾·90公寓 五角场店 【叠纸字节实习特价】江湾体育场旁/精装公寓带飘窗,,20.00,1室1厅,,,4500-4548,,,,https://sh.lianjia.com/apartment/45507.html,2026-04-23 15:53:37,,
zhongyuan1,整租·民京路838弄 2室1厅 南,整租,民京路838弄,杨浦-中原-民京路,69.00,2室1厅,南,,5100,73.9,,,https://sh.lianjia.com/zufang/SH2150573251653271552.html,2026-04-23 15:53:34,,
zhongyuan1,整租·市光四村 2室0厅 南/北,整租,市光四村,杨浦-中原-市光四村,50.54,2室0厅,南/北,,4000,79.1,,,https://sh.lianjia.com/zufang/SH2152309671417872384.html,2026-04-23 15:53:34,,
zhongyuan1,整租·鹏程苑 2室1厅 南,整租,鹏程苑,杨浦-中原-鹏程苑,69.86,2室1厅,南,,4600,65.8,,,https://sh.lianjia.com/zufang/SH2150872658906972160.html,2026-04-23 15:53:34,,
zhongyuan1,整租·梅林小区 1室1厅 南,整租,梅林小区,杨浦-中原-梅林小区,37.34,1室1厅,南,,3400,91.1,,,https://sh.lianjia.com/zufang/SH1881991840702398464.html,2026-04-23 15:53:55,,
zhongyuan1,独栋·城家公寓 城家高级公寓上海新江湾店 【特惠房源】大窗户/独立厨卫/民水民电无中介费 1室1厅,独栋,城家公寓 城家高级公寓上海新江湾店 【特惠房源】大窗户/独立厨卫/民水民电无中介费,,30.00,1室1厅,,,4850,161.7,,,https://sh.lianjia.com/apartment/107136.html,2026-04-23 15:53:34,,
zhongyuan1,整租·国和二村 2室1厅 南,整租,国和二村,杨浦-中原-国和二村,62.98,2室1厅,南,,5200,82.6,,,https://sh.lianjia.com/zufang/SH1878361518148419584.html,2026-04-23 15:53:34,,
zhongyuan1,整租·国和一村 1室1厅 南,整租,国和一村,杨浦-中原-国和一村,43.38,1室1厅,南,,3600,83.0,,,https://sh.lianjia.com/zufang/SH1697988031585189888.html,2026-04-23 15:53:34,,
zhongyuan1,整租·国和二村 1室1厅 南,整租,国和二村,杨浦-中原-国和二村,45.84,1室1厅,南,,3885,84.8,,,https://sh.lianjia.com/zufang/SH1981578533943640064.html,2026-04-23 15:53:34,,
zhongyuan1,整租·闸殷小区 2室1厅 南,整租,闸殷小区,杨浦-中原-闸殷小区,49.00,2室1厅,南,,4200,85.7,,,https://sh.lianjia.com/zufang/SH2154420606286692352.html,2026-04-23 15:53:34,,
zhongyuan1,整租·殷行路590弄 1室1厅 南,整租,殷行路590弄,杨浦-中原-殷行路,41.00,1室1厅,南,,3600,87.8,,,https://sh.lianjia.com/zufang/SH2157468586094886912.html,2026-04-23 15:53:34,,
zhongyuan1,整租·长海一村 1室1厅 南,整租,长海一村,杨浦-中原-长海一村,39.24,1室1厅,南,,4500,114.7,,,https://sh.lianjia.com/zufang/SH2154846998790930432.html,2026-04-23 15:53:34,,
zhongyuan1,整租·殷行路451弄 1室1厅 南/西南,整租,殷行路451弄,杨浦-中原-殷行路,42.07,1室1厅,南/西南,,4200,99.8,,,https://sh.lianjia.com/zufang/SH2036331639805575168.html,2026-04-23 15:53:34,,
zhongyuan1,整租·开鲁四村 2室1厅 南,整租,开鲁四村,杨浦-中原-开鲁四村,53.06,2室1厅,南,,4300,81.0,,,https://sh.lianjia.com/zufang/SH2116763558011207680.html,2026-04-23 15:53:34,,
zhongyuan1,整租·长海路137弄 2室1厅 南/北,整租,长海路137弄,杨浦-中原-长海路,75.00,2室1厅,南/北,,5200,69.3,,,https://sh.lianjia.com/zufang/SH2145421566513512448.html,2026-04-23 15:53:37,,
zhongyuan1,整租·江湾道壹号 2室1厅 南,整租,江湾道壹号,杨浦-中原-江湾道壹号,106.88,2室1厅,南,,9200,86.1,,,https://sh.lianjia.com/zufang/SH2146182995390758912.html,2026-04-23 15:53:37,,
zhongyuan1,整租·民京路900号 1室1厅 南,整租,民京路900号,杨浦-中原-民京路,46.54,1室1厅,南,,4500,96.7,,,https://sh.lianjia.com/zufang/SH2140372221300834304.html,2026-04-23 15:53:34,,
zhongyuan1,整租·长海路137弄 2室2厅 南,整租,长海路137弄,杨浦-中原-长海路,71.90,2室2厅,南,,4900,68.2,,,https://sh.lianjia.com/zufang/SH2156670059655725056.html,2026-04-23 15:53:34,,
zhongyuan1,整租·国和路610弄 1室1厅 南,整租,国和路610弄,杨浦-中原-国和路,38.47,1室1厅,南,,4300,111.8,,,https://sh.lianjia.com/zufang/SH1946523481994690560.html,2026-04-23 15:54:22,,
zhongyuan1,整租·民星二村 1室1厅 南,整租,民星二村,杨浦-中原-民星二村,38.40,1室1厅,南,,3100,80.7,,,https://sh.lianjia.com/zufang/SH1893163174757138432.html,2026-04-23 15:53:37,,
