region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhoujiazuilu,整租·宝钢又一村 3室2厅 南/北,整租,宝钢又一村,杨浦-周家嘴路-宝钢又一村,114.08,3室2厅,南/北,,7800,68.4,,,https://sh.lianjia.com/zufang/SH2138543679927746560.html,2026-04-23 15:52:42,,
zhoujiazuilu,整租·复旦软件园智慧新天地 3室2厅 南/北,整租,复旦软件园智慧新天地,杨浦-周家嘴路-复旦软件园智慧新天地,152.33,3室2厅,南/北,,11000,72.2,,,https://sh.lianjia.com/zufang/SH2126165631060410368.html,2026-04-23 15:51:29,,
zhoujiazuilu,整租·幸福公寓 2室1厅 南/北,整租,幸福公寓,杨浦-周家嘴路-幸福公寓,47.37,2室1厅,南/北,,4500,95.0,,,https://sh.lianjia.com/zufang/SH2150575354102677504.html,2026-04-23 15:52:39,,
zhoujiazuilu,独栋·COZI可遇 东外滩店 互联宝地12号线地铁旁民水民电保租房品质花园公寓 开间,独栋,COZI可遇 东外滩店 互联宝地12号线地铁旁民水民电保租房品质花园公寓 开间,,27.00,,,,4400,163.0,,,https://sh.lianjia.com/apartment/77528.html,2026-04-23 15:51:29,,
zhoujiazuilu,整租·和瑞雅苑 2室1厅 南,整租,和瑞雅苑,杨浦-周家嘴路-和瑞雅苑,72.81,2室1厅,南,,6800,93.4,,,https://sh.lianjia.com/zufang/SH2097961876074790912.html,2026-04-23 15:52:47,,
zhoujiazuilu,独栋·柚米 杨浦滨江共青430寓 近互联宝地 带阳台 国企直租无中介费 押一付一 1室1厅,独栋,柚米 杨浦滨江共青430寓 近互联宝地 带阳台 国企直租无中介费 押一付一,,35.00,1室1厅,,,2832-3342,,,,https://sh.lianjia.com/apartment/17829.html,2026-04-23 15:51:29,,
zhoujiazuilu,整租·紫华欣苑 2室1厅 南,整租,紫华欣苑,杨浦-周家嘴路-紫华欣苑,70.92,2室1厅,南,,6510,91.8,,,https://sh.lianjia.com/zufang/SH2037473363533758464.html,2026-04-23 15:52:39,,
zhoujiazuilu,整租·上海大花园 5室2厅 复式 南,整租,上海大花园,杨浦-周家嘴路-上海大花园,217.09,5室2厅,,,17000,78.3,,,https://sh.lianjia.com/zufang/SH2087919650158411776.html,2026-04-23 15:51:29,,
zhoujiazuilu,整租·保利越秀和樾天汇 3室1厅 南,整租,保利越秀和樾天汇,杨浦-周家嘴路-保利越秀和樾天汇,99.64,3室1厅,南,,14000,140.5,,,https://sh.lianjia.com/zufang/SH2141413636927651840.html,2026-04-23 15:52:42,,
zhoujiazuilu,整租·控江路645弄 1室1厅 南,整租,控江路645弄,杨浦-周家嘴路-控江路,40.88,1室1厅,南,,3780,92.5,,,https://sh.lianjia.com/zufang/SH2011741341150609408.html,2026-04-23 15:52:42,,
zhoujiazuilu,整租·控江路645弄 2室0厅 南,整租,控江路645弄,杨浦-周家嘴路-控江路,58.00,2室0厅,南,,4830,83.3,,,https://sh.lianjia.com/zufang/SH2008842289832525824.html,2026-04-23 15:52:42,,
zhoujiazuilu,整租·众和金融大厦 2室1厅 南,整租,众和金融大厦,杨浦-周家嘴路-众和金融大厦,103.00,2室1厅,南,,7500,72.8,,,https://sh.lianjia.com/zufang/SH2101236871211253760.html,2026-04-23 15:52:47,,
zhoujiazuilu,整租·吴家浜小区 2室1厅 南/北,整租,吴家浜小区,杨浦-周家嘴路-吴家浜小区,45.71,2室1厅,南/北,,4900,107.2,,,https://sh.lianjia.com/zufang/SH2150481693604052992.html,2026-04-23 15:52:39,,
zhoujiazuilu,整租·张家浜小区 3室0厅 南/北,整租,张家浜小区,杨浦-周家嘴路-张家浜小区,59.02,3室0厅,南/北,,5800,98.3,,,https://sh.lianjia.com/zufang/SH2156955539290980352.html,2026-04-23 15:51:29,,
zhoujiazuilu,整租·长隆住宅小区 2室1厅 南,整租,长隆住宅小区,杨浦-周家嘴路-长隆住宅小区,53.90,2室1厅,南,,5250,97.4,,,https://sh.lianjia.com/zufang/SH2080677446729859072.html,2026-04-23 15:52:47,,
