region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
baihua,整租·长怡花园 4室2厅 东南/南,整租,长怡花园,福田区-百花-长怡花园,159.00,4室2厅,东南/南,,17000,106.9,,,https://sz.lianjia.com/zufang/SZ2095821341188947968.html,2026-05-03 05:34:50,,
baihua,整租·百花园一期 3室2厅 东/东南,整租,百花园一期,福田区-百花-百花园一期,105.00,3室2厅,东/东南,,11500,109.5,,,https://sz.lianjia.com/zufang/SZ2143701993049292800.html,2026-05-03 05:34:50,,
baihua,整租·长怡花园 3室2厅 西南,整租,长怡花园,福田区-百花-长怡花园,123.00,3室2厅,西南,,14000,113.8,,,https://sz.lianjia.com/zufang/SZ2115283268940070912.html,2026-05-03 05:34:50,,
baihua,整租·国城花园 4室2厅 北,整租,国城花园,福田区-百花-国城花园,127.00,4室2厅,北,,15600,122.8,,,https://sz.lianjia.com/zufang/SZ2119028870513426432.html,2026-05-03 05:34:50,,
baihua,整租·百花公寓二期 3室2厅 西南,整租,百花公寓二期,福田区-百花-百花公寓二期,89.00,3室2厅,西南,,9000,101.1,,,https://sz.lianjia.com/zufang/SZ2132793653683290112.html,2026-05-03 05:34:50,,
baihua,整租·长怡花园 4室2厅 东南/南,整租,长怡花园,福田区-百花-长怡花园,123.80,4室2厅,东南/南,,15000,121.2,,,https://sz.lianjia.com/zufang/SZ2123332874462560256.html,2026-05-03 05:34:50,,
baihua,整租·南天一花园 3室2厅 南/北,整租,南天一花园,福田区-百花-南天一花园,107.00,3室2厅,南/北,,8300,77.6,,,https://sz.lianjia.com/zufang/SZ2151582246325190656.html,2026-05-03 05:34:50,,
baihua,整租·长乐花园 3室2厅 西北,整租,长乐花园,福田区-百花-长乐花园,113.00,3室2厅,西北,,10800,95.6,,,https://sz.lianjia.com/zufang/SZ2141241422030831616.html,2026-05-03 05:34:50,,
baihua,整租·百花公寓一期 3室2厅 东南,整租,百花公寓一期,福田区-百花-百花公寓一期,106.91,3室2厅,东南,,9800,91.7,,,https://sz.lianjia.com/zufang/SZ2158447662897037312.html,2026-05-03 05:34:50,,
baihua,整租·长怡花园 2室2厅 西南,整租,长怡花园,福田区-百花-长怡花园,148.13,2室2厅,西南,,10500,70.9,,,https://sz.lianjia.com/zufang/SZ2159936428602032128.html,2026-05-03 05:34:50,,
baihua,整租·核电花园 3室2厅 东南,整租,核电花园,福田区-百花-核电花园,93.00,3室2厅,东南,,9800,105.4,,,https://sz.lianjia.com/zufang/SZ2113983933250011136.html,2026-05-03 05:34:50,,
baihua,整租·百花公寓一期 3室1厅 西南,整租,百花公寓一期,福田区-百花-百花公寓一期,88.11,3室1厅,西南,,7900,89.7,,,https://sz.lianjia.com/zufang/SZ2143545678591164416.html,2026-05-03 05:34:50,,
baihua,整租·百花公寓一期 3室2厅 南,整租,百花公寓一期,福田区-百花-百花公寓一期,113.00,3室2厅,南,,10000,88.5,,,https://sz.lianjia.com/zufang/SZ2130883152770498560.html,2026-05-03 05:34:50,,
baihua,整租·长城花园 3室2厅 南/北,整租,长城花园,福田区-百花-长城花园,107.00,3室2厅,南/北,,8000,74.8,,,https://sz.lianjia.com/zufang/SZ2128814098266193920.html,2026-05-03 05:34:50,,
baihua,整租·南天一花园 3室2厅 南,整租,南天一花园,福田区-百花-南天一花园,107.00,3室2厅,南,,8800,82.2,,,https://sz.lianjia.com/zufang/SZ2125242309556568064.html,2026-05-03 05:34:50,,
baihua,整租·百花园二期 4室2厅 南,整租,百花园二期,福田区-百花-百花园二期,156.00,4室2厅,南,,26000,166.7,,,https://sz.lianjia.com/zufang/SZ2155527367726989312.html,2026-05-03 05:34:50,,
baihua,整租·长城花园 2室1厅 南/北,整租,长城花园,福田区-百花-长城花园,85.00,2室1厅,南/北,,6800,80.0,,,https://sz.lianjia.com/zufang/SZ2143566308145364992.html,2026-05-03 05:34:50,,
baihua,整租·长城花园 2室1厅 南/北,整租,长城花园,福田区-百花-长城花园,85.00,2室1厅,南/北,,6800,80.0,,,https://sz.lianjia.com/zufang/SZ2119626042371997696.html,2026-05-03 05:34:50,,
baihua,整租·长乐花园 3室2厅 西南,整租,长乐花园,福田区-百花-长乐花园,112.69,3室2厅,西南,,10000,88.7,,,https://sz.lianjia.com/zufang/SZ2151979638895673344.html,2026-05-03 05:34:50,,
baihua,整租·国城花园 3室1厅 南,整租,国城花园,福田区-百花-国城花园,95.00,3室1厅,南,,10000,105.3,,,https://sz.lianjia.com/zufang/SZ2121156508916908032.html,2026-05-03 05:34:50,,
baihua,整租·百花公寓一期 3室2厅 西南,整租,百花公寓一期,福田区-百花-百花公寓一期,106.00,3室2厅,西南,,11000,103.8,,,https://sz.lianjia.com/zufang/SZ2110365977660096512.html,2026-05-03 05:34:50,,
baihua,整租·核电花园 3室2厅 西南,整租,核电花园,福田区-百花-核电花园,93.00,3室2厅,西南,,10000,107.5,,,https://sz.lianjia.com/zufang/SZ2129423197634822144.html,2026-05-03 05:34:50,,
baihua,整租·长城二花园 3室2厅 南,整租,长城二花园,福田区-百花-长城二花园,107.00,3室2厅,南,,12500,116.8,,,https://sz.lianjia.com/zufang/SZ2130862257226121216.html,2026-05-03 05:34:50,,
baihua,整租·南天一花园 2室2厅 南,整租,南天一花园,福田区-百花-南天一花园,86.00,2室2厅,南,,7000,81.4,,,https://sz.lianjia.com/zufang/SZ2155645888159023104.html,2026-05-03 05:34:50,,
baihua,整租·长城二花园 2室2厅 南,整租,长城二花园,福田区-百花-长城二花园,89.00,2室2厅,南,,7800,87.6,,,https://sz.lianjia.com/zufang/SZ2140373609812590592.html,2026-05-03 05:34:50,,
baihua,整租·百花园一期 3室2厅 西北,整租,百花园一期,福田区-百花-百花园一期,103.50,3室2厅,西北,,13500,130.4,,,https://sz.lianjia.com/zufang/SZ2116877535047319552.html,2026-05-03 05:34:50,,
baihua,整租·长乐花园 2室2厅 东北,整租,长乐花园,福田区-百花-长乐花园,93.96,2室2厅,东北,,8000,85.1,,,https://sz.lianjia.com/zufang/SZ2116855094442983424.html,2026-05-03 05:34:50,,
baihua,整租·百花园二期 2室2厅 西南,整租,百花园二期,福田区-百花-百花园二期,92.00,2室2厅,西南,,13800,150.0,,,https://sz.lianjia.com/zufang/SZ2117091724563054592.html,2026-05-03 05:34:50,,
baihua,整租·百花园二期 2室1厅 南,整租,百花园二期,福田区-百花-百花园二期,92.00,2室1厅,南,,12600,137.0,,,https://sz.lianjia.com/zufang/SZ2114308415789465600.html,2026-05-03 05:34:50,,
baihua,整租·百花园一期 1室1厅 北,整租,百花园一期,福田区-百花-百花园一期,53.00,1室1厅,北,,5500,103.8,,,https://sz.lianjia.com/zufang/SZ2114607529362194432.html,2026-05-03 05:34:50,,
