region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
baishizhou,整租·中海深圳湾畔花园 3室2厅 西南,整租,中海深圳湾畔花园,南山区-白石洲-中海深圳湾畔花园,100.94,3室2厅,西南,,8600,85.2,,,https://sz.lianjia.com/zufang/SZ1909583557349605376.html,2026-05-03 05:58:23,22.543013,113.963296
baishizhou,整租·深业世纪山谷 1室1厅 东,整租,深业世纪山谷,南山区-白石洲-深业世纪山谷,67.35,1室1厅,东,,8300,123.2,,,https://sz.lianjia.com/zufang/SZ2154168995576545280.html,2026-05-03 05:58:23,22.540333,113.962082
baishizhou,独栋·中执朗寓 白石洲店 阳光超大单间 带阳台 押一付一 坐北朝南 小区很安静 开间,独栋,中执朗寓 白石洲店 阳光超大单间 带阳台 押一付一 坐北朝南 小区很安静 开间,,35.00,,,,4580,130.9,,,https://sz.lianjia.com/apartment/30727.html,2026-05-03 05:58:23,22.53288,113.96838
baishizhou,整租·沙河观景阁 1室1厅 西,整租,沙河观景阁,南山区-白石洲-沙河观景阁,46.00,1室1厅,西,,4400,95.7,,,https://sz.lianjia.com/zufang/SZ2152058152680423424.html,2026-05-03 05:58:23,22.54287,113.963203
baishizhou,独栋·邦拓美诺公寓 深业世纪山谷店 华侨城豪华一卧室套房 1室1厅,独栋,邦拓美诺公寓 深业世纪山谷店 华侨城豪华一卧室套房,,68.00,1室1厅,,,9500,139.7,,,https://sz.lianjia.com/apartment/89500.html,2026-05-03 05:58:23,22.546636,113.880629
baishizhou,整租·沙河观景阁 1室0厅 北,整租,沙河观景阁,南山区-白石洲-沙河观景阁,44.80,1室0厅,北,,5000,111.6,,,https://sz.lianjia.com/zufang/SZ2149131647969132544.html,2026-05-03 05:58:23,22.54287,113.963203
baishizhou,整租·中海深圳湾畔花园 2室1厅 西北,整租,中海深圳湾畔花园,南山区-白石洲-中海深圳湾畔花园,75.00,2室1厅,西北,,7350,98.0,,,https://sz.lianjia.com/zufang/SZ2155235947149524992.html,2026-05-03 05:58:23,22.543013,113.963296
baishizhou,整租·侨城馨苑 1室1厅 南,整租,侨城馨苑,南山区-白石洲-侨城馨苑,62.52,1室1厅,南,,5700,91.2,,,https://sz.lianjia.com/zufang/SZ2159174076768190464.html,2026-05-03 05:58:23,22.548971,113.967078
baishizhou,整租·侨城馨苑 2室2厅 西南,整租,侨城馨苑,南山区-白石洲-侨城馨苑,61.00,2室2厅,西南,,5900,96.7,,,https://sz.lianjia.com/zufang/SZ2153504893334192128.html,2026-05-03 05:58:23,22.548971,113.967078
baishizhou,整租·深圳湾花园 3室2厅 南,整租,深圳湾花园,南山区-白石洲-深圳湾花园,89.00,3室2厅,南,,7300,82.0,,,https://sz.lianjia.com/zufang/SZ2080652884252295168.html,2026-05-03 05:58:23,22.544525,113.960569
baishizhou,整租·侨城馨苑 2室1厅 东南,整租,侨城馨苑,南山区-白石洲-侨城馨苑,78.00,2室1厅,东南,,6800,87.2,,,https://sz.lianjia.com/zufang/SZ2160337677352697856.html,2026-05-03 05:58:23,22.548971,113.967078
baishizhou,整租·侨洲花园 1室1厅 南,整租,侨洲花园,南山区-白石洲-侨洲花园,37.00,1室1厅,南,,3800,102.7,,,https://sz.lianjia.com/zufang/SZ2152769435482456064.html,2026-05-03 05:58:23,22.543345,113.966627
baishizhou,整租·沙河观景阁 1室1厅 南,整租,沙河观景阁,南山区-白石洲-沙河观景阁,35.49,1室1厅,南,,4300,121.2,,,https://sz.lianjia.com/zufang/SZ2160242599628111872.html,2026-05-03 05:58:23,22.54287,113.963203
baishizhou,整租·沙河观景阁 1室1厅 东南,整租,沙河观景阁,南山区-白石洲-沙河观景阁,35.43,1室1厅,东南,,4600,129.8,,,https://sz.lianjia.com/zufang/SZ1885565089411497984.html,2026-05-03 05:58:23,22.54287,113.963203
baishizhou,整租·侨城豪苑 2室1厅 南,整租,侨城豪苑,南山区-白石洲-侨城豪苑,77.41,2室1厅,南,,7800,100.8,,,https://sz.lianjia.com/zufang/SZ2149030136324816896.html,2026-05-03 05:58:23,22.541777,113.968051
baishizhou,整租·中海深圳湾畔花园 3室2厅 西北,整租,中海深圳湾畔花园,南山区-白石洲-中海深圳湾畔花园,99.40,3室2厅,西北,,8600,86.5,,,https://sz.lianjia.com/zufang/SZ2071223148526698496.html,2026-05-03 05:58:23,22.543013,113.963296
baishizhou,整租·侨城馨苑 1室1厅 东南,整租,侨城馨苑,南山区-白石洲-侨城馨苑,62.00,1室1厅,东南,,6000,96.8,,,https://sz.lianjia.com/zufang/SZ2154188813402898432.html,2026-05-03 05:58:23,22.548971,113.967078
baishizhou,整租·联发大楼 3室2厅 南/北,整租,联发大楼,南山区-白石洲-联发大楼,100.01,3室2厅,南/北,,6800,68.0,,,https://sz.lianjia.com/zufang/SZ2154181315199500288.html,2026-05-03 05:58:23,22.53653,113.9626
baishizhou,整租·沙河观景阁 1室1厅 南,整租,沙河观景阁,南山区-白石洲-沙河观景阁,35.00,1室1厅,南,,4300,122.9,,,https://sz.lianjia.com/zufang/SZ2160242904193302528.html,2026-05-03 05:58:23,22.54287,113.963203
baishizhou,整租·祥祺花园 3室2厅 南,整租,祥祺花园,南山区-白石洲-祥祺花园,93.35,3室2厅,南,,7800,83.6,,,https://sz.lianjia.com/zufang/SZ2154871941310185472.html,2026-05-03 05:58:23,22.543638,113.962943
baishizhou,整租·中海深圳湾畔花园 3室2厅 东南,整租,中海深圳湾畔花园,南山区-白石洲-中海深圳湾畔花园,101.01,3室2厅,东南,,9800,97.0,,,https://sz.lianjia.com/zufang/SZ2133180133207441408.html,2026-05-03 05:58:23,22.543013,113.963296
baishizhou,整租·侨城馨苑 1室1厅 西南,整租,侨城馨苑,南山区-白石洲-侨城馨苑,65.00,1室1厅,西南,,6000,92.3,,,https://sz.lianjia.com/zufang/SZ2153547641936412672.html,2026-05-03 05:58:23,22.548971,113.967078
baishizhou,整租·深圳湾花园 4室2厅 复式 南,整租,深圳湾花园,南山区-白石洲-深圳湾花园,169.00,4室2厅,,,10000,59.2,,,https://sz.lianjia.com/zufang/SZ2153038304411385856.html,2026-05-03 05:58:23,22.544525,113.960569
baishizhou,整租·侨城馨苑 2室1厅 南,整租,侨城馨苑,南山区-白石洲-侨城馨苑,63.99,2室1厅,南,,6600,103.1,,,https://sz.lianjia.com/zufang/SZ2155219290498793472.html,2026-05-03 05:58:23,22.548971,113.967078
baishizhou,整租·沙河观景阁 1室1厅 南,整租,沙河观景阁,南山区-白石洲-沙河观景阁,44.85,1室1厅,南,,5000,111.5,,,https://sz.lianjia.com/zufang/SZ2137986854471860224.html,2026-05-03 05:58:23,22.54287,113.963203
