region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
bujishuijing,整租·中海怡翠山庄四期 3室1厅 东南,整租,中海怡翠山庄四期,龙岗区-布吉水径-中海怡翠山庄四期,99.00,3室1厅,东南,,4000,40.4,,,https://sz.lianjia.com/zufang/SZ1888789356215271424.html,2026-05-03 06:47:52,,
bujishuijing,整租·赛格ECO中心 2室1厅 南,整租,赛格ECO中心,龙岗区-布吉水径-赛格,56.00,2室1厅,南,,3500,62.5,,,https://sz.lianjia.com/zufang/SZ2030515501515407360.html,2026-05-03 06:47:52,,
bujishuijing,独栋·心居社区 新梅子园店 复式温馨大单间电梯房 开间,独栋,心居社区 新梅子园店 复式温馨大单间电梯房 开间,,30.00,,,,1780,59.3,,,https://sz.lianjia.com/apartment/90103.html,2026-05-03 06:47:52,,
bujishuijing,整租·中海怡翠山庄四期 3室2厅 西北,整租,中海怡翠山庄四期,龙岗区-布吉水径-中海怡翠山庄四期,97.51,3室2厅,西北,,3990,40.9,,,https://sz.lianjia.com/zufang/SZ2083768318283481088.html,2026-05-03 06:47:52,,
bujishuijing,整租·赛格ECO中心 3室2厅 南,整租,赛格ECO中心,龙岗区-布吉水径-赛格,96.20,3室2厅,南,,5200,54.1,,,https://sz.lianjia.com/zufang/SZ2149069355709628416.html,2026-05-03 06:47:52,,
bujishuijing,整租·中海怡翠山庄三期 3室2厅 南,整租,中海怡翠山庄三期,龙岗区-布吉水径-中海怡翠山庄三期,92.91,3室2厅,南,,3900,42.0,,,https://sz.lianjia.com/zufang/SZ2158049466928594944.html,2026-05-03 06:47:52,,
bujishuijing,整租·里城玺樾山 3室2厅 西南,整租,里城玺樾山,龙岗区-布吉水径-里城玺樾山,85.36,3室2厅,西南,,5500,64.4,,,https://sz.lianjia.com/zufang/SZ2152979691458265088.html,2026-05-03 06:47:52,,
bujishuijing,整租·万科麓城一期 3室2厅 南,整租,万科麓城一期,龙岗区-布吉水径-万科麓城一期,89.15,3室2厅,南,,5800,65.1,,,https://sz.lianjia.com/zufang/SZ2154983436643729408.html,2026-05-03 06:47:52,,
bujishuijing,整租·里城玺樾山 3室2厅 东南/南,整租,里城玺樾山,龙岗区-布吉水径-里城玺樾山,98.00,3室2厅,东南/南,,4600,46.9,,,https://sz.lianjia.com/zufang/SZ2158809557629927424.html,2026-05-03 06:47:52,,
bujishuijing,整租·里城玺樾山 3室2厅 东南/南,整租,里城玺樾山,龙岗区-布吉水径-里城玺樾山,98.00,3室2厅,东南/南,,4400,44.9,,,https://sz.lianjia.com/zufang/SZ2158809604262199296.html,2026-05-03 06:47:52,,
bujishuijing,整租·赛格ECO中心 2室1厅 东南/南,整租,赛格ECO中心,龙岗区-布吉水径-赛格,56.08,2室1厅,东南/南,,3500,62.4,,,https://sz.lianjia.com/zufang/SZ1981646226000445440.html,2026-05-03 06:47:52,,
bujishuijing,整租·茵悦之生花园三期 4室1厅 东南/南,整租,茵悦之生花园三期,龙岗区-布吉水径-茵悦之生花园三期,143.18,4室1厅,东南/南,,6300,44.0,,,https://sz.lianjia.com/zufang/SZ2113605393715298304.html,2026-05-03 06:47:52,,
bujishuijing,整租·中海怡翠山庄三期 3室1厅 南,整租,中海怡翠山庄三期,龙岗区-布吉水径-中海怡翠山庄三期,93.65,3室1厅,南,,4600,49.1,,,https://sz.lianjia.com/zufang/SZ2161032260864704512.html,2026-05-03 06:47:52,,
bujishuijing,整租·景华苑 3室2厅 东南,整租,景华苑,龙岗区-布吉水径-景华苑,92.77,3室2厅,东南,,3500,37.7,,,https://sz.lianjia.com/zufang/SZ2120804632375590912.html,2026-05-03 06:47:52,,
bujishuijing,整租·万科麓城二期 3室2厅 南,整租,万科麓城二期,龙岗区-布吉水径-万科麓城二期,88.50,3室2厅,南,,5900,66.7,,,https://sz.lianjia.com/zufang/SZ1944613077144043520.html,2026-05-03 06:47:52,,
bujishuijing,整租·金域中央花园一期 4室2厅 南,整租,金域中央花园一期,龙岗区-布吉水径-金域中央花园一期,69.79,4室2厅,南,,6000,86.0,,,https://sz.lianjia.com/zufang/SZ2122188952826806272.html,2026-05-03 06:47:52,,
bujishuijing,整租·赛格ECO中心 2室1厅 西北,整租,赛格ECO中心,龙岗区-布吉水径-赛格,56.50,2室1厅,西北,,3200,56.6,,,https://sz.lianjia.com/zufang/SZ2064607515546484736.html,2026-05-03 06:47:52,,
bujishuijing,整租·里城玺樾山 4室2厅 东南,整租,里城玺樾山,龙岗区-布吉水径-里城玺樾山,106.00,4室2厅,东南,,6000,56.6,,,https://sz.lianjia.com/zufang/SZ2146969119289769984.html,2026-05-03 06:47:52,,
bujishuijing,整租·中海怡翠山庄三期 2室2厅 东南,整租,中海怡翠山庄三期,龙岗区-布吉水径-中海怡翠山庄三期,71.29,2室2厅,东南,,3300,46.3,,,https://sz.lianjia.com/zufang/SZ1955855986258345984.html,2026-05-03 06:47:52,,
bujishuijing,整租·里城玺樾山 3室2厅 南,整租,里城玺樾山,龙岗区-布吉水径-里城玺樾山,80.73,3室2厅,南,,4900,60.7,,,https://sz.lianjia.com/zufang/SZ2155981965252100096.html,2026-05-03 06:47:52,,
