region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dayunxincheng,整租·启迪协信科技园 3室2厅 南,整租,启迪协信科技园,龙岗区-大运新城-启迪协信科技园,96.00,3室2厅,南,,3600,37.5,,,https://sz.lianjia.com/zufang/SZ1948807675236057088.html,2026-05-03 07:09:10,22.698428,114.20716
dayunxincheng,整租·世茂深港国际中心 1室1厅 北,整租,世茂深港国际中心,龙岗区-大运新城-世茂深港国际中心,42.00,1室1厅,北,,2000,47.6,,,https://sz.lianjia.com/zufang/SZ2148379186203459584.html,2026-05-03 07:09:10,22.702002,114.212633
dayunxincheng,独栋·朵拉国际社区 爱联店 奶油风单间 公寓直租 押一 1室1厅,独栋,朵拉国际社区 爱联店 奶油风单间 公寓直租 押一,,25.00,1室1厅,,,1280-1480,,,,https://sz.lianjia.com/apartment/103152.html,2026-05-03 07:09:10,22.695986,114.228396
dayunxincheng,整租·世茂深港国际中心 2室2厅 东南,整租,世茂深港国际中心,龙岗区-大运新城-世茂深港国际中心,83.01,2室2厅,东南,,3900,47.0,,,https://sz.lianjia.com/zufang/SZ2155242980942807040.html,2026-05-03 07:09:10,22.702002,114.212633
dayunxincheng,整租·THETOWN乐城 5室2厅 西南,整租,THETOWN乐城,龙岗区-大运新城,166.30,5室2厅,西南,,6800,40.9,,,https://sz.lianjia.com/zufang/SZ2118252196272275456.html,2026-05-03 07:10:22,22.675983,114.224383
dayunxincheng,整租·颐安·都会中央3期 4室2厅 西北,整租,颐安·都会中央3期,龙岗区-大运新城-颐安,109.00,4室2厅,西北,,6000,55.0,,,https://sz.lianjia.com/zufang/SZ2065680268689145856.html,2026-05-03 07:09:31,22.686895,114.218642
dayunxincheng,独栋·Herehouse 爱联店 【实拍】爱联精致复式loft 采光好 配健身房 可短租！ 1室1厅,独栋,Herehouse 爱联店 【实拍】爱联精致复式loft 采光好 配健身房 可短租！,,30.00,1室1厅,,,1500-1700,,,,https://sz.lianjia.com/apartment/1141.html,2026-05-03 07:09:13,22.701217,114.215907
dayunxincheng,整租·中粮祥云 3室2厅 东南,整租,中粮祥云,龙岗区-大运新城-中粮祥云,89.90,3室2厅,东南,,3900,43.4,,,https://sz.lianjia.com/zufang/SZ1890083420235628544.html,2026-05-03 07:10:32,22.696226,114.232402
dayunxincheng,整租·仁恒公园世纪四季园 4室2厅 东南/南/北,整租,仁恒公园世纪四季园,龙岗区-大运新城-仁恒公园世纪四季园,103.15,4室2厅,东南/南/北,,6200,60.1,,,https://sz.lianjia.com/zufang/SZ2157323925938241536.html,2026-05-03 07:09:10,22.690406,114.235687
dayunxincheng,整租·佳兆业未来时代大厦 2室1厅 西,整租,佳兆业未来时代大厦,龙岗区-大运新城-佳兆业未来时代大厦,56.14,2室1厅,西,,2800,49.9,,,https://sz.lianjia.com/zufang/SZ2101986934724231168.html,2026-05-03 07:09:35,22.705428,114.213742
