region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
gongming,整租·璟悦轩小巨蛋 3室1厅 东南,整租,璟悦轩小巨蛋,光明区-公明-璟悦轩小巨蛋,38.43,3室1厅,东南,,2200,57.2,,,https://sz.lianjia.com/zufang/SZ2158208273319198720.html,2026-05-03 07:48:08,,
gongming,整租·奥园和平广场 2室1厅 东南,整租,奥园和平广场,光明区-公明-奥园和平广场,53.00,2室1厅,东南,,1995,37.6,,,https://sz.lianjia.com/zufang/SZ2091221062363643904.html,2026-05-03 07:48:57,,
gongming,独栋·金地草莓社区 光明店 【松岗上班别错过 金地明峰府小区带阳台房！】押一付一 开间,独栋,金地草莓社区 光明店 【松岗上班别错过 金地明峰府小区带阳台房！】押一付一 开间,,31.00,,,,1888,60.9,,,https://sz.lianjia.com/apartment/82973.html,2026-05-03 07:48:14,,
gongming,整租·璟悦轩小巨蛋 3室1厅 东南,整租,璟悦轩小巨蛋,光明区-公明-璟悦轩小巨蛋,49.00,3室1厅,东南,,2500,51.0,,,https://sz.lianjia.com/zufang/SZ1839272015257665536.html,2026-05-03 07:48:08,,
gongming,独栋·寓见安居 明汇府 朝花园近地铁120平大三房，符合条件可租 3室1厅,独栋,寓见安居 明汇府 朝花园近地铁120平大三房，符合条件可租,,113.00,3室1厅,,,3780,33.5,,,https://sz.lianjia.com/apartment/83892.html,2026-05-03 07:48:14,,
gongming,整租·百晟上府 3室2厅 东南,整租,百晟上府,光明区-公明-百晟上府,94.00,3室2厅,东南,,4100,43.6,,,https://sz.lianjia.com/zufang/SZ2154777947699937280.html,2026-05-03 07:48:08,,
gongming,整租·奥园和平广场 2室1厅 东,整租,奥园和平广场,光明区-公明-奥园和平广场,58.00,2室1厅,东,,2500,43.1,,,https://sz.lianjia.com/zufang/SZ2155855681712816128.html,2026-05-03 07:48:08,,
gongming,整租·福盈中央山 3室2厅 东,整租,福盈中央山,光明区-公明-福盈中央山,107.63,3室2厅,东,,3700,34.4,,,https://sz.lianjia.com/zufang/SZ1980122687795625984.html,2026-05-03 07:48:26,,
gongming,整租·中粮云景广场 1室1厅 西,整租,中粮云景广场,光明区-公明-中粮云景广场,48.00,1室1厅,西,,1600,33.3,,,https://sz.lianjia.com/zufang/SZ2157762920849604608.html,2026-05-03 07:48:08,,
gongming,整租·时间谷创意大厦 3室1厅 复式 南,整租,时间谷创意大厦,光明区-公明-时间谷创意大厦,57.97,3室1厅,,,2700,46.6,,,https://sz.lianjia.com/zufang/SZ2148429896882323456.html,2026-05-03 07:49:10,,
