region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
guangming1,整租·丽湖花园二期 2室2厅 东南,整租,丽湖花园二期,龙岗区-布吉水径-丽湖花园二期,52.27,2室2厅,东南,,2500,47.8,,,https://sz.lianjia.com/zufang/SZ2153063544415846400.html,2026-05-03 07:51:11,,
guangming1,整租·壹成中心第九区 4室2厅 东南,整租,壹成中心第九区,龙华区-龙华中心-壹成中心第九区,88.38,4室2厅,东南,,6000,67.9,,,https://sz.lianjia.com/zufang/SZ2055682019018407936.html,2026-05-03 07:51:11,,
guangming1,整租·华强城市花园三期 3室2厅 南,整租,华强城市花园三期,宝安区-福永-华强城市花园三期,86.00,3室2厅,南,,6100,70.9,,,https://sz.lianjia.com/zufang/SZ2107379998921850880.html,2026-05-03 07:51:11,,
guangming1,整租·艺华花园 1室1厅 南,整租,艺华花园,南山区-南头-艺华花园,42.00,1室1厅,南,,3600,85.7,,,https://sz.lianjia.com/zufang/SZ2092894864382361600.html,2026-05-03 07:51:11,,
guangming1,整租·颐安都会中央二期 3室2厅 南,整租,颐安都会中央二期,龙岗区-大运新城-颐安都会中央二期,88.44,3室2厅,南,,4500,50.9,,,https://sz.lianjia.com/zufang/SZ2069745982538514432.html,2026-05-03 07:51:11,,
guangming1,整租·美景花园 3室2厅 南,整租,美景花园,光明区-光明-美景花园,91.00,3室2厅,南,,2600,28.6,,,https://sz.lianjia.com/zufang/SZ2157089095669514240.html,2026-05-03 07:51:11,,
guangming1,整租·晶品居 3室2厅 南,整租,晶品居,南山区-科技园-晶品居,76.00,3室2厅,南,,7500,98.7,,,https://sz.lianjia.com/zufang/SZ2152354954667360256.html,2026-05-03 07:51:11,,
guangming1,整租·中海怡翠山庄四期 3室2厅 南/北,整租,中海怡翠山庄四期,龙岗区-布吉水径-中海怡翠山庄四期,82.29,3室2厅,南/北,,4200,51.0,,,https://sz.lianjia.com/zufang/SZ2154790474898997248.html,2026-05-03 07:51:11,,
guangming1,整租·金茂公园里 3室2厅 东南,整租,金茂公园里,光明区-光明-金茂公园里,89.00,3室2厅,东南,,4200,47.2,,,https://sz.lianjia.com/zufang/SZ2125583375040249856.html,2026-05-03 07:50:58,,
guangming1,整租·乐府花园 4室2厅 东南,整租,乐府花园,光明区-光明-乐府花园,113.10,4室2厅,东南,,4200,37.1,,,https://sz.lianjia.com/zufang/SZ2149065258101112832.html,2026-05-03 07:49:27,,
guangming1,独栋·中海友里公寓 光明城店 近万润大厦 中海花园小区房 押一付一 民水电 近地铁高铁 家具齐全 拎包入住 开间,独栋,中海友里公寓 光明城店 近万润大厦 中海花园小区房 押一付一 民水电 近地铁高铁 家具齐全 拎包入住 开间,,36.00,,,,2401,66.7,,,https://sz.lianjia.com/apartment/80648.html,2026-05-03 07:49:27,,
guangming1,整租·光明1号 1室1厅 西北,整租,光明1号,光明区-光明-光明,47.00,1室1厅,西北,,2000,42.6,,,https://sz.lianjia.com/zufang/SZ2014366527553273856.html,2026-05-03 07:49:27,,
guangming1,独栋·华润置地·有巢公寓 凤凰店 【长租87折】精装公寓/独栋小区/阳台单间/押一付一 开间,独栋,华润置地·有巢公寓 凤凰店 【长租87折】精装公寓/独栋小区/阳台单间/押一付一 开间,,30.00,,,,2253-2393,,,,https://sz.lianjia.com/apartment/84868.html,2026-05-03 07:49:27,,
