region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
henggang,整租·星河盛境都荟大厦 1室0厅 南,整租,星河盛境都荟大厦,龙岗区-横岗-星河盛境都荟大厦,37.36,1室0厅,南,,2100,56.2,,,https://sz.lianjia.com/zufang/SZ2074405108103249920.html,2026-05-03 07:12:13,22.661338,114.216869
henggang,整租·锦荟PARK 3室2厅 东南,整租,锦荟PARK,龙岗区-横岗-锦荟,89.66,3室2厅,东南,,4000,44.6,,,https://sz.lianjia.com/zufang/SZ1989695500588154880.html,2026-05-03 07:12:19,22.636078,114.174907
henggang,独栋·朵拉国际社区 横岗店 阳光满屋阳台单间 公寓直租 可押一 短租 1室1厅,独栋,朵拉国际社区 横岗店 阳光满屋阳台单间 公寓直租 可押一 短租,,25.00,1室1厅,,,1680,67.2,,,https://sz.lianjia.com/apartment/103162.html,2026-05-03 07:10:46,22.645735,114.210548
henggang,整租·星河盛境都荟大厦 1室1厅 东南,整租,星河盛境都荟大厦,龙岗区-横岗-星河盛境都荟大厦,37.43,1室1厅,东南,,2100,56.1,,,https://sz.lianjia.com/zufang/SZ2039930056020590592.html,2026-05-03 07:12:19,22.661338,114.216869
henggang,整租·星河智荟 3室2厅 东南,整租,星河智荟,龙岗区-横岗-星河智荟,88.66,3室2厅,东南,,4200,47.4,,,https://sz.lianjia.com/zufang/SZ2160230497274298368.html,2026-05-03 07:10:46,22.663358,114.220992
henggang,整租·新秀苑 6室3厅 复式 东南,整租,新秀苑,龙岗区-横岗-新秀苑,268.27,6室3厅,,,9300,34.7,,,https://sz.lianjia.com/zufang/SZ1872105714860687360.html,2026-05-03 07:10:46,22.651164,114.187148
henggang,独栋·龙湖冠寓 横岗四联路店 阳光单间可短租 近14号线四联地铁 无中介费月付全屋精装 整租拎包入住 24h安保 开间,独栋,龙湖冠寓 横岗四联路店 阳光单间可短租 近14号线四联地铁 无中介费月付全屋精装 整租拎包入住 24h安保 开间,,20.00,,,,1227-1241,,,,https://sz.lianjia.com/apartment/78466.html,2026-05-03 07:10:46,22.647177,114.190814
henggang,整租·星河盛境都荟大厦 1室1厅 东南,整租,星河盛境都荟大厦,龙岗区-横岗-星河盛境都荟大厦,38.80,1室1厅,东南,,2100,54.1,,,https://sz.lianjia.com/zufang/SZ2099788194282209280.html,2026-05-03 07:10:46,22.661338,114.216869
henggang,整租·麟恒中心广场一期 4室2厅 南/北,整租,麟恒中心广场一期,龙岗区-横岗-麟恒中心广场一期,141.00,4室2厅,南/北,,8200,58.2,,,https://sz.lianjia.com/zufang/SZ2053792811764940800.html,2026-05-03 07:11:59,22.63767,114.186292
henggang,整租·水晶之城二期 4室2厅 西南,整租,水晶之城二期,龙岗区-横岗-水晶之城二期,117.00,4室2厅,西南,,4100,35.0,,,https://sz.lianjia.com/zufang/SZ2058780584620064768.html,2026-05-03 07:11:11,22.67327,114.21859
