region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huaqiaocheng1,整租·假日湾 3室2厅 南,整租,假日湾,南山区-华侨城-假日湾,122.00,3室2厅,南,,10000,82.0,,,https://sz.lianjia.com/zufang/SZ2157835302398328832.html,2026-05-03 06:02:23,22.539643,113.977692
huaqiaocheng1,整租·绿景美景广场 2室1厅 南,整租,绿景美景广场,南山区-华侨城-绿景美景广场,48.08,2室1厅,南,,7300,151.8,,,https://sz.lianjia.com/zufang/SZ2148678764265996288.html,2026-05-03 06:05:12,22.53796,113.98176
huaqiaocheng1,独栋·华润置地·有巢公馆 白石洲店 南山长租2k！免管理费+来访直签再送200元优惠券！ 开间,独栋,华润置地·有巢公馆 白石洲店 南山长租2k！免管理费+来访直签再送200元优惠券！ 开间,,17.89,,,,1900,106.2,,,https://sz.lianjia.com/apartment/55162.html,2026-05-03 06:02:26,22.54786,114.12192
huaqiaocheng1,整租·首地容御 3室2厅 南,整租,首地容御,南山区-华侨城-首地容御,89.91,3室2厅,南,,8500,94.5,,,https://sz.lianjia.com/zufang/SZ2149187092377239552.html,2026-05-03 06:05:12,22.55106,113.972689
huaqiaocheng1,独栋·富瑞斯国际公寓 南山店 泊寓·塘朗山景·可日/月/年租 家庭出行优选 视野开阔【近华侨城】 2室1厅,独栋,富瑞斯国际公寓 南山店 泊寓·塘朗山景·可日/月/年租 家庭出行优选 视野开阔【近华侨城】,,103.00,2室1厅,,,19888,193.1,,,https://sz.lianjia.com/apartment/84405.html,2026-05-03 06:02:23,22.54361,114.03906
huaqiaocheng1,整租·香山美墅一期 6室3厅 复式 东南,整租,香山美墅一期,南山区-华侨城-香山美墅一期,386.00,6室3厅,,,280000,725.4,,,https://sz.lianjia.com/zufang/SZ2149537291150819328.html,2026-05-03 06:03:29,22.550813,113.969967
huaqiaocheng1,整租·绿景美景广场 1室1厅 北,整租,绿景美景广场,南山区-华侨城-绿景美景广场,48.00,1室1厅,北,,7100,147.9,,,https://sz.lianjia.com/zufang/SZ2150887805805395968.html,2026-05-03 06:02:23,22.53796,113.98176
huaqiaocheng1,整租·绿景美景广场 1室1厅 北,整租,绿景美景广场,南山区-华侨城-绿景美景广场,48.00,1室1厅,北,,6800,141.7,,,https://sz.lianjia.com/zufang/SZ2151190558888951808.html,2026-05-03 06:05:12,22.53796,113.98176
huaqiaocheng1,整租·波托菲诺纯水岸四期 6室2厅 南,整租,波托菲诺纯水岸四期,南山区-华侨城-波托菲诺纯水岸四期,288.00,6室2厅,南,,120000,416.7,,,https://sz.lianjia.com/zufang/SZ1833391364432199680.html,2026-05-03 06:03:14,22.547613,113.975252
huaqiaocheng1,整租·波托菲诺纯水岸四期 5室2厅 南,整租,波托菲诺纯水岸四期,南山区-华侨城-波托菲诺纯水岸四期,226.06,5室2厅,南,,35000,154.8,,,https://sz.lianjia.com/zufang/SZ2132467650226290688.html,2026-05-03 06:02:23,22.547613,113.975252
