region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
liantang,整租·万科东方尊峪 3室2厅 南,整租,万科东方尊峪,罗湖区-莲塘-万科东方尊峪,124.42,3室2厅,南,,6900,55.5,,,https://sz.lianjia.com/zufang/SZ2158439009007697920.html,2026-05-03 05:25:28,22.5661,114.16435
liantang,整租·名骏豪庭 3室2厅 北,整租,名骏豪庭,罗湖区-莲塘-名骏豪庭,86.00,3室2厅,北,,5200,60.5,,,https://sz.lianjia.com/zufang/SZ2007305422221869056.html,2026-05-03 05:25:28,22.561884,114.166473
liantang,独栋·安居乐寓 莲塘仙湖店 【一居室整租】莲塘口岸 近地铁口 毕业生特惠 101栋08 1室1厅,独栋,安居乐寓 莲塘仙湖店 【一居室整租】莲塘口岸 近地铁口 毕业生特惠 101栋08,,35.00,1室1厅,,,2168-2192,,,,https://sz.lianjia.com/apartment/80675.html,2026-05-03 05:25:04,22.555468,114.150269
liantang,整租·名骏豪庭 2室2厅 西南,整租,名骏豪庭,罗湖区-莲塘-名骏豪庭,68.75,2室2厅,西南,,3900,56.7,,,https://sz.lianjia.com/zufang/SZ1839876806837010432.html,2026-05-03 05:25:04,22.561884,114.166473
liantang,独栋·湾涛公寓 莲塘店 【地铁口公寓直租】精装修二房一厅.签约首月减免租金888 2室1厅,独栋,湾涛公寓 莲塘店 【地铁口公寓直租】精装修二房一厅.签约首月减免租金888,,45.00,2室1厅,,,2980,66.2,,,https://sz.lianjia.com/apartment/25695.html,2026-05-03 05:25:04,22.56378,114.1597
liantang,整租·莲馨家园 3室2厅 南,整租,莲馨家园,罗湖区-莲塘-莲馨家园,89.00,3室2厅,南,,6500,73.0,,,https://sz.lianjia.com/zufang/SZ2156066706991087616.html,2026-05-03 05:27:04,22.566695,114.168696
liantang,整租·合正锦园南区 3室2厅 南,整租,合正锦园南区,罗湖区-莲塘-合正锦园南区,107.06,3室2厅,南,,7500,70.1,,,https://sz.lianjia.com/zufang/SZ2152594198170173440.html,2026-05-03 05:25:04,22.565548,114.173044
liantang,整租·鹏基公寓 1室1厅 南,整租,鹏基公寓,罗湖区-莲塘-鹏基公寓,35.00,1室1厅,南,,2258,64.5,,,https://sz.lianjia.com/zufang/SZ2097340248357863424.html,2026-05-03 05:25:04,22.56285,114.15973
liantang,整租·云景梧桐花园 4室2厅 南/北,整租,云景梧桐花园,罗湖区-莲塘-云景梧桐花园,134.79,4室2厅,南/北,,13500,100.2,,,https://sz.lianjia.com/zufang/SZ2159185870140211200.html,2026-05-03 05:26:51,22.56695,114.182902
liantang,整租·畔山花园 4室2厅 东南,整租,畔山花园,罗湖区-莲塘-畔山花园,121.64,4室2厅,东南,,5200,42.7,,,https://sz.lianjia.com/zufang/SZ2147699545780256768.html,2026-05-03 05:27:00,22.563265,114.171673
liantang,整租·金色年华家园 2室1厅 北,整租,金色年华家园,罗湖区-莲塘-金色年华家园,63.33,2室1厅,北,,5100,80.5,,,https://sz.lianjia.com/zufang/SZ2154236250909835264.html,2026-05-03 05:26:46,22.565019,114.166144
liantang,整租·金色年华家园 3室2厅 东北,整租,金色年华家园,罗湖区-莲塘-金色年华家园,65.00,3室2厅,东北,,5200,80.0,,,https://sz.lianjia.com/zufang/SZ2154172319604408320.html,2026-05-03 05:26:46,22.565019,114.166144
liantang,整租·名骏豪庭 2室2厅 东,整租,名骏豪庭,罗湖区-莲塘-名骏豪庭,71.00,2室2厅,东,,4000,56.3,,,https://sz.lianjia.com/zufang/SZ2020494431815204864.html,2026-05-03 05:25:04,22.561884,114.166473
liantang,整租·东海富汇豪庭 3室2厅 西南,整租,东海富汇豪庭,罗湖区-莲塘-东海富汇豪庭,102.00,3室2厅,西南,,9000,88.2,,,https://sz.lianjia.com/zufang/SZ2146550458888486912.html,2026-05-03 05:25:04,22.562675,114.174563
liantang,整租·四季御园 3室2厅 南,整租,四季御园,罗湖区-莲塘-四季御园,77.68,3室2厅,南,,7400,95.3,,,https://sz.lianjia.com/zufang/SZ1914220043843928064.html,2026-05-03 05:25:04,22.56124,114.16429
liantang,整租·万科东方尊峪 3室2厅 西南,整租,万科东方尊峪,罗湖区-莲塘-万科东方尊峪,124.21,3室2厅,西南,,8500,68.4,,,https://sz.lianjia.com/zufang/SZ2148078033192353792.html,2026-05-03 05:27:00,22.5661,114.16435
liantang,整租·鹏基公寓 1室0厅 北,整租,鹏基公寓,罗湖区-莲塘-鹏基公寓,31.99,1室0厅,北,,1900,59.4,,,https://sz.lianjia.com/zufang/SZ2024397973865103360.html,2026-05-03 05:25:04,22.56285,114.15973
liantang,整租·御景天峦府 3室2厅 南,整租,御景天峦府,罗湖区-莲塘-御景天峦府,120.00,3室2厅,南,,9200,76.7,,,https://sz.lianjia.com/zufang/SZ2156398371491807232.html,2026-05-03 05:25:28,22.553231,114.186328
liantang,整租·名骏豪庭 1室1厅 北,整租,名骏豪庭,罗湖区-莲塘-名骏豪庭,43.00,1室1厅,北,,3300,76.7,,,https://sz.lianjia.com/zufang/SZ2154611386229981184.html,2026-05-03 05:25:28,22.561884,114.166473
liantang,整租·祥和花园二期 2室1厅 北,整租,祥和花园二期,罗湖区-莲塘-祥和花园二期,60.00,2室1厅,北,,4400,73.3,,,https://sz.lianjia.com/zufang/SZ2148275840931069952.html,2026-05-03 05:25:04,22.564635,114.163857
liantang,整租·新世界鹿茵翠地 3室2厅 北,整租,新世界鹿茵翠地,罗湖区-莲塘-新世界鹿茵翠地,97.50,3室2厅,北,,5600,57.4,,,https://sz.lianjia.com/zufang/SZ2040103686323044352.html,2026-05-03 05:25:04,22.570066,114.166122
liantang,整租·城市东座 2室2厅 东南/南,整租,城市东座,罗湖区-莲塘-城市东座,59.00,2室2厅,东南/南,,3800,64.4,,,https://sz.lianjia.com/zufang/SZ2145915524754702336.html,2026-05-03 05:25:28,22.559302,114.169816
liantang,整租·金色年华家园 2室1厅 北,整租,金色年华家园,罗湖区-莲塘-金色年华家园,52.79,2室1厅,北,,4600,87.1,,,https://sz.lianjia.com/zufang/SZ2159315131954102272.html,2026-05-03 05:25:28,22.565019,114.166144
liantang,整租·富达花园 2室1厅 南,整租,富达花园,罗湖区-莲塘-富达花园,42.68,2室1厅,南,,2800,65.6,,,https://sz.lianjia.com/zufang/SZ2002372686314995712.html,2026-05-03 05:25:28,22.566309,114.173748
liantang,整租·雍翠豪园 1室1厅 西,整租,雍翠豪园,罗湖区-莲塘-雍翠豪园,40.00,1室1厅,西,,3000,75.0,,,https://sz.lianjia.com/zufang/SZ2026188872622276608.html,2026-05-03 05:25:04,22.565515,114.17779
liantang,整租·金色年华家园 2室2厅 东北,整租,金色年华家园,罗湖区-莲塘-金色年华家园,63.57,2室2厅,东北,,4700,73.9,,,https://sz.lianjia.com/zufang/SZ2161863399607107584.html,2026-05-03 05:25:04,22.565019,114.166144
liantang,整租·万科东方尊峪 4室2厅 东南/西北,整租,万科东方尊峪,罗湖区-莲塘-万科东方尊峪,175.00,4室2厅,东南/西北,,12000,68.6,,,https://sz.lianjia.com/zufang/SZ2035993637304664064.html,2026-05-03 05:25:06,22.5661,114.16435
liantang,整租·华景园别墅北区 7室2厅 南/北,整租,华景园别墅北区,罗湖区-莲塘-华景园别墅北区,350.00,7室2厅,南/北,,32000,91.4,,,https://sz.lianjia.com/zufang/SZ2114340791286497280.html,2026-05-03 05:27:09,22.568267,114.172247
liantang,整租·万科东方尊峪 4室2厅 东南,整租,万科东方尊峪,罗湖区-莲塘-万科东方尊峪,175.24,4室2厅,东南,,10000,57.1,,,https://sz.lianjia.com/zufang/SZ2071443817436807168.html,2026-05-03 05:26:29,22.5661,114.16435
liantang,整租·京基云熙阁 5室2厅 南,整租,京基云熙阁,罗湖区-莲塘-京基云熙阁,135.00,5室2厅,南,,8200,60.7,,,https://sz.lianjia.com/zufang/SZ2051981194962141184.html,2026-05-03 05:25:06,22.567387,114.181251
liantang,整租·鹏兴花园一期 4室2厅 南,整租,鹏兴花园一期,罗湖区-莲塘-鹏兴花园一期,170.00,4室2厅,南,,7800,45.9,,,https://sz.lianjia.com/zufang/SZ2034242909691183104.html,2026-05-03 05:25:06,22.568161,114.15953
liantang,整租·鹏兴花园一期 3室2厅 南,整租,鹏兴花园一期,罗湖区-莲塘-鹏兴花园一期,103.00,3室2厅,南,,5800,56.3,,,https://sz.lianjia.com/zufang/SZ2120125208315559936.html,2026-05-03 05:27:09,22.568161,114.15953
liantang,整租·仙湖山庄 3室2厅 南/北,整租,仙湖山庄,罗湖区-莲塘-仙湖山庄,122.78,3室2厅,南/北,,8500,69.2,,,https://sz.lianjia.com/zufang/SZ2119080896102400000.html,2026-05-03 05:25:06,22.57203,114.16606
liantang,整租·祥和花园 3室2厅 东南,整租,祥和花园,罗湖区-莲塘-祥和花园,97.00,3室2厅,东南,,6300,64.9,,,https://sz.lianjia.com/zufang/SZ2112930337670561792.html,2026-05-03 05:27:09,22.564635,114.163857
