region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
longgangbaohe,中海友里公寓·宝龙店,中海友里公寓,宝龙店,,,,,,1799,,,31个热租房型 >,https://sz.lianjia.com/apartment/83425.html?ad_code=131491070130143568&ad_type=10,2026-05-03 07:29:59,22.69251,114.30942
longgangbaohe,整租·中海寰宇珑宸 3室2厅 东南,整租,中海寰宇珑宸,龙岗区-龙岗宝荷-中海寰宇珑宸,94.41,3室2厅,东南,,3700,39.2,,,https://sz.lianjia.com/zufang/SZ2015745218824896512.html,2026-05-03 07:29:59,22.706804,114.259454
longgangbaohe,整租·振业峦山谷 3室1厅 南/北,整租,振业峦山谷,龙岗区-龙岗宝荷-振业峦山谷,72.88,3室1厅,南/北,,2400,32.9,,,https://sz.lianjia.com/zufang/SZ1895441417610723328.html,2026-05-03 07:31:12,22.691055,114.262223
longgangbaohe,独栋·中海友里公寓 宝龙店 【独栋小区公寓】【比亚迪首选】纵享舒适阳台大开间 3.3M长书桌 办公娱乐皆可 开间,独栋,中海友里公寓 宝龙店 【独栋小区公寓】【比亚迪首选】纵享舒适阳台大开间 3.3M长书桌 办公娱乐皆可 开间,,33.00,,,,1980,60.0,,,https://sz.lianjia.com/apartment/83425.html,2026-05-03 07:30:02,22.615568,114.026018
longgangbaohe,整租·碧桂园观麓花园 1室0厅 西南,整租,碧桂园观麓花园,龙岗区-龙岗宝荷-碧桂园观麓花园,27.61,1室0厅,西南,,1400,50.7,,,https://sz.lianjia.com/zufang/SZ1941035499221155840.html,2026-05-03 07:31:12,22.691354,114.274174
longgangbaohe,独栋·有巢公寓 宝龙店 特价秒杀/精美大开间/家电齐全/ 拎包入住 /无中介费/ 押一付一 开间,独栋,有巢公寓 宝龙店 特价秒杀/精美大开间/家电齐全/ 拎包入住 /无中介费/ 押一付一 开间,,28.00,,,,1800,64.3,,,https://sz.lianjia.com/apartment/96574.html,2026-05-03 07:29:59,22.683568,114.289267
longgangbaohe,整租·中海阳光橡树园 3室2厅 南/西南,整租,中海阳光橡树园,龙岗区-龙岗宝荷-中海阳光橡树园,81.00,3室2厅,南/西南,,4000,49.4,,,https://sz.lianjia.com/zufang/SZ2159251063356522496.html,2026-05-03 07:30:23,22.706804,114.259454
longgangbaohe,整租·中海寰宇珑宸 3室2厅 南,整租,中海寰宇珑宸,龙岗区-龙岗宝荷-中海寰宇珑宸,95.00,3室2厅,南,,4600,48.4,,,https://sz.lianjia.com/zufang/SZ2159255050390601728.html,2026-05-03 07:30:23,22.706804,114.259454
longgangbaohe,整租·金众蓝钻风景 1室1厅 复式 西南,整租,金众蓝钻风景,龙岗区-龙岗宝荷-金众蓝钻风景,48.75,1室1厅,,,1400,28.7,,,https://sz.lianjia.com/zufang/SZ2121823532106121216.html,2026-05-03 07:31:12,22.685983,114.255792
longgangbaohe,独栋·寓见安居 瀚龙苑 两房一厅大阳台 自营物业 无中介费 民水民电 押一付一 2室1厅,独栋,寓见安居 瀚龙苑 两房一厅大阳台 自营物业 无中介费 民水民电 押一付一,,69.00,2室1厅,,,2780-2804,,,,https://sz.lianjia.com/apartment/104750.html,2026-05-03 07:29:59,22.638944,114.069681
