region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
longhuaxinqu,整租·新华城 3室2厅 南,整租,新华城,龙华区-龙华新区-新华城,135.36,3室2厅,南,,7000,51.7,,,https://sz.lianjia.com/zufang/SZ2158802576743596032.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·苹果园 2室2厅 南,整租,苹果园,龙华区-龙华新区-苹果园,55.00,2室2厅,南,,4200,76.4,,,https://sz.lianjia.com/zufang/SZ2020038086578143232.html,2026-05-03 07:43:17,,
longhuaxinqu,独栋·cool酷社区 民治万众城店 万众城近展滔一房一厅牛栏前 1室1厅,独栋,cool酷社区 民治万众城店 万众城近展滔一房一厅牛栏前,,20.00,1室1厅,,,2500,125.0,,,https://sz.lianjia.com/apartment/2177.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·金地梅陇镇一期 3室2厅 南,整租,金地梅陇镇一期,龙华区-龙华新区-金地梅陇镇一期,107.27,3室2厅,南,,5800,54.1,,,https://sz.lianjia.com/zufang/SZ2158598737616699392.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·华美丽苑 3室2厅 东南,整租,华美丽苑,龙华区-龙华新区-华美丽苑,83.03,3室2厅,东南,,4500,54.2,,,https://sz.lianjia.com/zufang/SZ2153189118358585344.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·卓能雅苑 2室2厅 南,整租,卓能雅苑,龙华区-龙华新区-卓能雅苑,76.00,2室2厅,南,,5500,72.4,,,https://sz.lianjia.com/zufang/SZ2153735499154456576.html,2026-05-03 07:43:17,,
longhuaxinqu,独栋·星窝青年公寓 镇乾大厦店 稀缺露台单间 可养宠物 家电齐全 押一付一 1室1厅,独栋,星窝青年公寓 镇乾大厦店 稀缺露台单间 可养宠物 家电齐全 押一付一,,55.00,1室1厅,,,2800,50.9,,,https://sz.lianjia.com/apartment/725.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·苹果园 1室0厅 东南,整租,苹果园,龙华区-龙华新区-苹果园,29.41,1室0厅,东南,,2400,81.6,,,https://sz.lianjia.com/zufang/SZ2158021757473128448.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·金地梅陇镇二期 4室2厅 南,整租,金地梅陇镇二期,龙华区-龙华新区-金地梅陇镇二期,117.72,4室2厅,南,,7000,59.5,,,https://sz.lianjia.com/zufang/SZ2156597283494297600.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·锦绣时代广场 1室1厅 南,整租,锦绣时代广场,龙华区-龙华新区-锦绣时代广场,27.48,1室1厅,南,,2800,101.9,,,https://sz.lianjia.com/zufang/SZ2157444410432815104.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·万福花园 4室2厅 南,整租,万福花园,龙华区-龙华新区-万福花园,117.99,4室2厅,南,,8700,73.7,,,https://sz.lianjia.com/zufang/SZ2147552092326199296.html,2026-05-03 07:43:20,,
longhuaxinqu,独栋·拾光里公寓 水斗老围村店 （不短租）水斗老围村，电梯一房一厅拎包入住 1室1厅,独栋,拾光里公寓 水斗老围村店 （不短租）水斗老围村，电梯一房一厅拎包入住,,25.00,1室1厅,,,1500,60.0,,,https://sz.lianjia.com/apartment/83131.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·万福花园 5室2厅 南,整租,万福花园,龙华区-龙华新区-万福花园,136.00,5室2厅,南,,9500,69.9,,,https://sz.lianjia.com/zufang/SZ2159952914624282624.html,2026-05-03 07:43:17,,
longhuaxinqu,独栋·拾光里公寓 民治万众村店 （不短租）近港深大厦精装阳台大单间 开间,独栋,拾光里公寓 民治万众村店 （不短租）近港深大厦精装阳台大单间 开间,,30.00,,,,1780,59.3,,,https://sz.lianjia.com/apartment/83754.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·嘉龍山莊 10室2厅 南,整租,嘉龍山莊,龙华区-龙华新区-嘉龍山莊,350.00,10室2厅,南,,22000,62.9,,,https://sz.lianjia.com/zufang/SZ2109723413286223872.html,2026-05-03 07:43:20,,
longhuaxinqu,独栋·柒月初夏 万众生活村-19号店 尝试去把别人拍过来的砖砌成结实的地基，生活就不会那么辛苦了。 开间,独栋,柒月初夏 万众生活村-19号店 尝试去把别人拍过来的砖砌成结实的地基，生活就不会那么辛苦了。 开间,,28.00,,,,1550,55.4,,,https://sz.lianjia.com/apartment/103194.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·卓能雅苑 3室2厅 南,整租,卓能雅苑,龙华区-龙华新区-卓能雅苑,112.00,3室2厅,南,,6400,57.1,,,https://sz.lianjia.com/zufang/SZ2139922000657776640.html,2026-05-03 07:43:20,,
longhuaxinqu,独栋·星邦物业 嘉龙山庄店 私家大花园一房一厅 1室1厅,独栋,星邦物业 嘉龙山庄店 私家大花园一房一厅,,55.00,1室1厅,,,4380,79.6,,,https://sz.lianjia.com/apartment/59595.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·万福花园 3室2厅 东南/南,整租,万福花园,龙华区-龙华新区-万福花园,85.13,3室2厅,东南/南,,6300,74.0,,,https://sz.lianjia.com/zufang/SZ2140489343234473984.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·新华城 3室2厅 南/北,整租,新华城,龙华区-龙华新区-新华城,135.67,3室2厅,南/北,,8000,59.0,,,https://sz.lianjia.com/zufang/SZ2141461776623992832.html,2026-05-03 07:43:17,,
longhuaxinqu,整租·绿景香颂 1室0厅 东南,整租,绿景香颂,龙华区-龙华新区-绿景香颂,34.45,1室0厅,东南,,3000,87.1,,,https://sz.lianjia.com/zufang/SZ2031357987632709632.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·绿景香颂 2室1厅 东,整租,绿景香颂,龙华区-龙华新区-绿景香颂,50.24,2室1厅,东,,4500,89.6,,,https://sz.lianjia.com/zufang/SZ2161832885185675264.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·锦绣时代广场 1室0厅 南,整租,锦绣时代广场,龙华区-龙华新区-锦绣时代广场,27.41,1室0厅,南,,2520,91.9,,,https://sz.lianjia.com/zufang/SZ2097628241199104000.html,2026-05-03 07:43:20,,
longhuaxinqu,独栋·住我家公寓· 上油松村店 （不短租）电梯高层精装阳台大单间，厨卫分离，拎包入住。 开间,独栋,住我家公寓· 上油松村店 （不短租）电梯高层精装阳台大单间，厨卫分离，拎包入住。 开间,,28.00,,,,2300,82.1,,,https://sz.lianjia.com/apartment/97254.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·金地梅陇镇三期 4室2厅 东南/西北,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,135.00,4室2厅,东南/西北,,7800,57.8,,,https://sz.lianjia.com/zufang/SZ2125940989100032000.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·万福花园 5室2厅 南,整租,万福花园,龙华区-龙华新区-万福花园,136.00,5室2厅,南,,9500,69.9,,,https://sz.lianjia.com/zufang/SZ2157701799161626624.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·金地梅陇镇三期 3室2厅 东南,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,90.79,3室2厅,东南,,6000,66.1,,,https://sz.lianjia.com/zufang/SZ2138543096344870912.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·金地梅陇镇二期 3室2厅 北,整租,金地梅陇镇二期,龙华区-龙华新区-金地梅陇镇二期,117.00,3室2厅,北,,6800,58.1,,,https://sz.lianjia.com/zufang/SZ2151173510611861504.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·丰润花园多层 2室1厅 南,整租,丰润花园多层,龙华区-龙华新区-丰润花园多层,74.00,2室1厅,南,,5500,74.3,,,https://sz.lianjia.com/zufang/SZ2161044544144015360.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·金地梅陇镇三期 3室2厅 南/西,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,89.00,3室2厅,南/西,,6300,70.8,,,https://sz.lianjia.com/zufang/SZ2125938059953307648.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·风和日丽花园一期 3室2厅 南/北,整租,风和日丽花园一期,龙华区-龙华新区-风和日丽花园一期,79.00,3室2厅,南/北,,4200,53.2,,,https://sz.lianjia.com/zufang/SZ2150989269743697920.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·锦绣时代广场 1室0厅 东南,整租,锦绣时代广场,龙华区-龙华新区-锦绣时代广场,27.70,1室0厅,东南,,2600,93.9,,,https://sz.lianjia.com/zufang/SZ2137478931714932736.html,2026-05-03 07:43:20,,
longhuaxinqu,整租·绿景香颂 2室1厅 南,整租,绿景香颂,龙华区-龙华新区-绿景香颂,55.74,2室1厅,南,,4800,86.1,,,https://sz.lianjia.com/zufang/SZ2098061547833131008.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇三期 3室2厅 南,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,90.00,3室2厅,南,,6500,72.2,,,https://sz.lianjia.com/zufang/SZ2117499486262525952.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇三期 3室2厅 南/北,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,87.10,3室2厅,南/北,,6500,74.6,,,https://sz.lianjia.com/zufang/SZ2117821923013427200.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·卓能雅苑 2室2厅 南,整租,卓能雅苑,龙华区-龙华新区-卓能雅苑,76.53,2室2厅,南,,5500,71.9,,,https://sz.lianjia.com/zufang/SZ2152369989728862208.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·万福花园 4室1厅 东南,整租,万福花园,龙华区-龙华新区-万福花园,108.00,4室1厅,东南,,8500,78.7,,,https://sz.lianjia.com/zufang/SZ2147549168166502400.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇二期 3室2厅 东南/南,整租,金地梅陇镇二期,龙华区-龙华新区-金地梅陇镇二期,98.00,3室2厅,东南/南,,6100,62.2,,,https://sz.lianjia.com/zufang/SZ2150536768611418112.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·锦绣江南四期 2室2厅 南,整租,锦绣江南四期,龙华区-龙华新区-锦绣江南四期,79.00,2室2厅,南,,5200,65.8,,,https://sz.lianjia.com/zufang/SZ2151280028615180288.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·绿景香颂 4室2厅 东/北,整租,绿景香颂,龙华区-龙华新区-绿景香颂,89.41,4室2厅,东/北,,7000,78.3,,,https://sz.lianjia.com/zufang/SZ2153040508014821376.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·风和日丽花园二期 3室2厅 南,整租,风和日丽花园二期,龙华区-龙华新区-风和日丽花园二期,98.42,3室2厅,南,,4700,47.8,,,https://sz.lianjia.com/zufang/SZ2146628298417897472.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·绿景香颂 4室2厅 东南,整租,绿景香颂,龙华区-龙华新区-绿景香颂,122.00,4室2厅,东南,,10000,82.0,,,https://sz.lianjia.com/zufang/SZ2148298997717008384.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇二期 4室2厅 南,整租,金地梅陇镇二期,龙华区-龙华新区-金地梅陇镇二期,143.99,4室2厅,南,,8800,61.1,,,https://sz.lianjia.com/zufang/SZ2121883904511049728.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·锦绣江南四期 3室2厅 南,整租,锦绣江南四期,龙华区-龙华新区-锦绣江南四期,112.87,3室2厅,南,,6500,57.6,,,https://sz.lianjia.com/zufang/SZ2154490810899365888.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·绿景香颂 2室2厅 西南,整租,绿景香颂,龙华区-龙华新区-绿景香颂,50.24,2室2厅,西南,,4900,97.5,,,https://sz.lianjia.com/zufang/SZ2143923930593755136.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·丰润花园多层 3室1厅 东南,整租,丰润花园多层,龙华区-龙华新区-丰润花园多层,87.70,3室1厅,东南,,4300,49.0,,,https://sz.lianjia.com/zufang/SZ2115403985975246848.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·锦绣江南四期 3室2厅 东南,整租,锦绣江南四期,龙华区-龙华新区-锦绣江南四期,87.65,3室2厅,东南,,5900,67.3,,,https://sz.lianjia.com/zufang/SZ2157039348460027904.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·苹果园 2室1厅 北,整租,苹果园,龙华区-龙华新区-苹果园,43.14,2室1厅,北,,3600,83.4,,,https://sz.lianjia.com/zufang/SZ2159169358918582272.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇一期 4室2厅 南,整租,金地梅陇镇一期,龙华区-龙华新区-金地梅陇镇一期,113.00,4室2厅,南,,6800,60.2,,,https://sz.lianjia.com/zufang/SZ2121533574409617408.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·卓能雅苑 3室2厅 南,整租,卓能雅苑,龙华区-龙华新区-卓能雅苑,108.00,3室2厅,南,,7800,72.2,,,https://sz.lianjia.com/zufang/SZ2158564776270102528.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·绿景香颂 3室2厅 东南,整租,绿景香颂,龙华区-龙华新区-绿景香颂,70.44,3室2厅,东南,,5800,82.3,,,https://sz.lianjia.com/zufang/SZ2154257554811650048.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇三期 3室2厅 南/北,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,87.64,3室2厅,南/北,,5600,63.9,,,https://sz.lianjia.com/zufang/SZ2140324906494066688.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇三期 3室2厅 南/北,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,89.00,3室2厅,南/北,,6200,69.7,,,https://sz.lianjia.com/zufang/SZ2157056801508425728.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇一期 2室2厅 南,整租,金地梅陇镇一期,龙华区-龙华新区-金地梅陇镇一期,74.23,2室2厅,南,,6000,80.8,,,https://sz.lianjia.com/zufang/SZ2141452290601517056.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·锦绣江南四期 5室2厅 南,整租,锦绣江南四期,龙华区-龙华新区-锦绣江南四期,130.00,5室2厅,南,,7000,53.8,,,https://sz.lianjia.com/zufang/SZ2157009198502641664.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·锦绣江南一期 3室2厅 东南,整租,锦绣江南一期,龙华区-龙华新区-锦绣江南一期,71.01,3室2厅,东南,,5000,70.4,,,https://sz.lianjia.com/zufang/SZ2141573179292778496.html,2026-05-03 07:43:27,,
longhuaxinqu,整租·绿景香颂 3室2厅 东南,整租,绿景香颂,龙华区-龙华新区-绿景香颂,59.60,3室2厅,东南,,5500,92.3,,,https://sz.lianjia.com/zufang/SZ2137490676902789120.html,2026-05-03 07:43:27,,
longhuaxinqu,整租·绿景香颂 3室1厅 北,整租,绿景香颂,龙华区-龙华新区-绿景香颂,59.00,3室1厅,北,,5200,88.1,,,https://sz.lianjia.com/zufang/SZ2149728223116656640.html,2026-05-03 07:43:27,,
longhuaxinqu,整租·风和日丽花园二期 3室2厅 南,整租,风和日丽花园二期,龙华区-龙华新区-风和日丽花园二期,89.00,3室2厅,南,,6000,67.4,,,https://sz.lianjia.com/zufang/SZ2119279916464734208.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·锦绣江南一期 5室2厅 南,整租,锦绣江南一期,龙华区-龙华新区-锦绣江南一期,141.07,5室2厅,南,,7000,49.6,,,https://sz.lianjia.com/zufang/SZ2114378209402290176.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·锦绣时代广场 1室1厅 南,整租,锦绣时代广场,龙华区-龙华新区-锦绣时代广场,28.00,1室1厅,南,,3000,107.1,,,https://sz.lianjia.com/zufang/SZ2160338147177660416.html,2026-05-03 07:43:24,,
longhuaxinqu,整租·金地梅陇镇三期 2室2厅 南,整租,金地梅陇镇三期,龙华区-龙华新区-金地梅陇镇三期,73.97,2室2厅,南,,5300,71.7,,,https://sz.lianjia.com/zufang/SZ2156239137164754944.html,2026-05-03 07:43:27,,
longhuaxinqu,整租·金地梅陇镇二期 3室2厅 南,整租,金地梅陇镇二期,龙华区-龙华新区-金地梅陇镇二期,102.97,3室2厅,南,,6600,64.1,,,https://sz.lianjia.com/zufang/SZ2155968375644225536.html,2026-05-03 07:43:33,,
longhuaxinqu,整租·阳光新境园 1室1厅 北,整租,阳光新境园,龙华区-龙华新区-阳光新境园,47.00,1室1厅,北,,4500,95.7,,,https://sz.lianjia.com/zufang/SZ2155913225344909312.html,2026-05-03 07:43:33,,
