region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
longhuazhongxin,整租·壹成中心第八区 4室1厅 东南,整租,壹成中心第八区,龙华区-龙华中心-壹成中心第八区,91.00,4室1厅,东南,,5500,60.4,,,https://sz.lianjia.com/zufang/SZ1978327943113342976.html,2026-05-03 07:44:03,,
longhuazhongxin,整租·壹成中心第九区 3室2厅 东南,整租,壹成中心第九区,龙华区-龙华中心-壹成中心第九区,83.00,3室2厅,东南,,5300,63.9,,,https://sz.lianjia.com/zufang/SZ1768595057402707968.html,2026-05-03 07:43:44,,
longhuazhongxin,独栋·星窝青年公寓 壹城中心店 精装一房一厅 独立阳台 拎包入住安静不吵 1室1厅,独栋,星窝青年公寓 壹城中心店 精装一房一厅 独立阳台 拎包入住安静不吵,,30.00,1室1厅,,,1650,55.0,,,https://sz.lianjia.com/apartment/30321.html,2026-05-03 07:43:41,,
longhuazhongxin,整租·壹成中心第六区 4室2厅 东南,整租,壹成中心第六区,龙华区-龙华中心-壹成中心第六区,89.00,4室2厅,东南,,5900,66.3,,,https://sz.lianjia.com/zufang/SZ1856571251905003520.html,2026-05-03 07:43:41,,
longhuazhongxin,独栋·龙湖冠寓 深圳龙华二店 超绝一房 近壹方天地龙华站 一室一厅拎包入住 阳光房押一付一 1室1厅,独栋,龙湖冠寓 深圳龙华二店 超绝一房 近壹方天地龙华站 一室一厅拎包入住 阳光房押一付一,,35.00,1室1厅,,,2837,81.1,,,https://sz.lianjia.com/apartment/33584.html,2026-05-03 07:43:44,,
longhuazhongxin,整租·玺园 4室2厅 南/西南,整租,玺园,龙华区-龙华中心-玺园,89.90,4室2厅,南/西南,,5000,55.6,,,https://sz.lianjia.com/zufang/SZ2159630784644775936.html,2026-05-03 07:43:41,,
longhuazhongxin,整租·保利悦都 3室2厅 西南,整租,保利悦都,龙华区-龙华中心-保利悦都,89.29,3室2厅,西南,,5600,62.7,,,https://sz.lianjia.com/zufang/SZ2160648039855816704.html,2026-05-03 07:43:41,,
longhuazhongxin,独栋·龙湖冠寓 深圳大浪商业中心店 龙华大浪中心 精装修 有油烟机 花园loft 空间大 可短租 押一 朝南 独栋 低楼层 急租 1室1厅,独栋,龙湖冠寓 深圳大浪商业中心店 龙华大浪中心 精装修 有油烟机 花园loft 空间大 可短租 押一 朝南 独栋 低楼层 急租,,23.00,1室1厅,,,1450,63.0,,,https://sz.lianjia.com/apartment/21728.html,2026-05-03 07:43:44,,
longhuazhongxin,整租·壹成中心第九区 3室2厅 西南,整租,壹成中心第九区,龙华区-龙华中心-壹成中心第九区,78.00,3室2厅,西南,,5700,73.1,,,https://sz.lianjia.com/zufang/SZ1848713098882449408.html,2026-05-03 07:43:41,,
longhuazhongxin,独栋·窝趣轻社区 大浪阳台山东 4月特惠 新签房租立减200！ 开间,独栋,窝趣轻社区 大浪阳台山东 4月特惠 新签房租立减200！ 开间,,40.00,,,,3300-3500,,,,https://sz.lianjia.com/apartment/84847.html,2026-05-03 07:43:41,,
longhuazhongxin,整租·壹成中心璞誉府 4室2厅 南,整租,壹成中心璞誉府,龙华区-龙华中心-壹成中心璞誉府,115.18,4室2厅,南,,8000,69.5,,,https://sz.lianjia.com/zufang/SZ2159288634535051264.html,2026-05-03 07:43:41,,
longhuazhongxin,整租·壹成中心第七区 4室2厅 西南/西,整租,壹成中心第七区,龙华区-龙华中心-壹成中心第七区,89.00,4室2厅,西南/西,,6800,76.4,,,https://sz.lianjia.com/zufang/SZ2156003219036176384.html,2026-05-03 07:43:41,,
longhuazhongxin,独栋·佳寓 中佳公寓物业直租 一年起租压1无中介费粉色系大单间带阳台近富士康油松 开间,独栋,佳寓 中佳公寓物业直租 一年起租压1无中介费粉色系大单间带阳台近富士康油松 开间,,30.00,,,,3000,100.0,,,https://sz.lianjia.com/apartment/108009.html,2026-05-03 07:45:20,,
longhuazhongxin,整租·锦绣御园三期 3室2厅 南,整租,锦绣御园三期,龙华区-龙华中心-锦绣御园三期,87.00,3室2厅,南,,5500,63.2,,,https://sz.lianjia.com/zufang/SZ2156333953219297280.html,2026-05-03 07:43:41,,
longhuazhongxin,独栋·金地草莓社区 宝能科技园店 电梯大单间朝西采光好 可短租4个月 押一民水电 近地铁站 开间,独栋,金地草莓社区 宝能科技园店 电梯大单间朝西采光好 可短租4个月 押一民水电 近地铁站 开间,,25.00,,,,1350,54.0,,,https://sz.lianjia.com/apartment/107619.html,2026-05-03 07:43:41,,
longhuazhongxin,整租·壹成中心第五区 4室2厅 东南,整租,壹成中心第五区,龙华区-龙华中心-壹成中心第五区,89.00,4室2厅,东南,,5800,65.2,,,https://sz.lianjia.com/zufang/SZ2157792143333130240.html,2026-05-03 07:43:41,,
longhuazhongxin,整租·天玑公馆 3室2厅 南,整租,天玑公馆,龙华区-龙华中心-天玑公馆,83.00,3室2厅,南,,5200,62.7,,,https://sz.lianjia.com/zufang/SZ2158421788726394880.html,2026-05-03 07:43:41,,
longhuazhongxin,独栋·星窝青年公寓 共和店 龙华壹方天地附近大阳台一房 1室1厅,独栋,星窝青年公寓 共和店 龙华壹方天地附近大阳台一房,,42.00,1室1厅,,,1699,40.5,,,https://sz.lianjia.com/apartment/2153.html,2026-05-03 07:43:44,,
longhuazhongxin,整租·天玑公馆 4室2厅 南,整租,天玑公馆,龙华区-龙华中心-天玑公馆,83.00,4室2厅,南,,5300,63.9,,,https://sz.lianjia.com/zufang/SZ2060557286476087296.html,2026-05-03 07:44:59,,
longhuazhongxin,整租·悦见誉府 3室2厅 南,整租,悦见誉府,龙华区-龙华中心-悦见誉府,102.00,3室2厅,南,,8200,80.4,,,https://sz.lianjia.com/zufang/SZ2159678231978967040.html,2026-05-03 07:43:41,,
longhuazhongxin,整租·鸿荣源·壹成中心十区 3室2厅 东南,整租,鸿荣源·壹成中心十区,龙华区-龙华中心-鸿荣源,94.00,3室2厅,东南,,7800,83.0,,,https://sz.lianjia.com/zufang/SZ2160275665352392704.html,2026-05-03 07:43:44,,
longhuazhongxin,整租·新华苑二期 4室2厅 东南,整租,新华苑二期,龙华区-龙华中心-新华苑二期,109.11,4室2厅,东南,,5200,47.7,,,https://sz.lianjia.com/zufang/SZ2140472794394132480.html,2026-05-03 07:43:47,,
longhuazhongxin,整租·通达汇轩 1室0厅 北,整租,通达汇轩,龙华区-龙华中心-通达汇轩,30.00,1室0厅,北,,1900,63.3,,,https://sz.lianjia.com/zufang/SZ2160267566637907968.html,2026-05-03 07:43:44,,
longhuazhongxin,整租·华盛珑悦 2室1厅 东南,整租,华盛珑悦,龙华区-龙华中心-华盛珑悦,51.90,2室1厅,东南,,4500,86.7,,,https://sz.lianjia.com/zufang/SZ1788919433138274304.html,2026-05-03 07:43:44,,
