region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
luoling,整租·京基东方颐园 3室1厅 东北,整租,京基东方颐园,罗湖区-螺岭-京基东方颐园,91.00,3室1厅,东北,,6600,72.5,,,https://sz.lianjia.com/zufang/SZ2084879015054671872.html,2026-05-03 05:28:00,,
luoling,整租·海珑华苑 1室0厅 南,整租,海珑华苑,罗湖区-螺岭-海珑华苑,40.54,1室0厅,南,,2800,69.1,,,https://sz.lianjia.com/zufang/SZ1808099265927446528.html,2026-05-03 05:28:00,,
luoling,独栋·天汇 仁恒深之源 245平米丨奢阔大横厅丨三房 3室1厅,独栋,天汇 仁恒深之源 245平米丨奢阔大横厅丨三房,,244.54,3室1厅,,,43000,175.8,,,https://sz.lianjia.com/apartment/103524.html,2026-05-03 05:28:00,,
luoling,整租·京基东方华都 1室0厅 东,整租,京基东方华都,罗湖区-螺岭-京基东方华都,31.87,1室0厅,东,,2800,87.9,,,https://sz.lianjia.com/zufang/SZ2139284422879346688.html,2026-05-03 05:28:00,,
luoling,整租·新世界大厦 1室0厅 南,整租,新世界大厦,罗湖区-螺岭-新世界大厦,25.68,1室0厅,南,,2800,109.0,,,https://sz.lianjia.com/zufang/SZ2140082924953796608.html,2026-05-03 05:28:00,,
luoling,整租·深港花园 3室2厅 北,整租,深港花园,罗湖区-螺岭-深港花园,117.00,3室2厅,北,,6700,57.3,,,https://sz.lianjia.com/zufang/SZ2137768581419499520.html,2026-05-03 05:28:00,,
luoling,整租·名都大厦 3室2厅 东南,整租,名都大厦,罗湖区-螺岭-名都大厦,89.00,3室2厅,东南,,5300,59.6,,,https://sz.lianjia.com/zufang/SZ2149487054193426432.html,2026-05-03 05:28:00,,
luoling,整租·环岛丽园 2室2厅 西南,整租,环岛丽园,罗湖区-螺岭-环岛丽园,70.12,2室2厅,西南,,6300,89.8,,,https://sz.lianjia.com/zufang/SZ2097943823362555904.html,2026-05-03 05:28:00,,
luoling,整租·海珑华苑 1室0厅 南,整租,海珑华苑,罗湖区-螺岭-海珑华苑,45.00,1室0厅,南,,3800,84.4,,,https://sz.lianjia.com/zufang/SZ2149754891118051328.html,2026-05-03 05:29:04,,
luoling,整租·新世界大厦 1室0厅 北,整租,新世界大厦,罗湖区-螺岭-新世界大厦,23.00,1室0厅,北,,2680,116.5,,,https://sz.lianjia.com/zufang/SZ1993639032902385664.html,2026-05-03 05:28:22,,
luoling,整租·凤凰印象 2室1厅 北,整租,凤凰印象,罗湖区-螺岭-凤凰印象,62.00,2室1厅,北,,6300,101.6,,,https://sz.lianjia.com/zufang/SZ2148634124368216064.html,2026-05-03 05:29:04,,
luoling,整租·东门168 1室0厅 南,整租,东门168,罗湖区-螺岭-东门,27.47,1室0厅,南,,2200,80.1,,,https://sz.lianjia.com/zufang/SZ2159492900646289408.html,2026-05-03 05:28:00,,
luoling,整租·东门168 1室1厅 东,整租,东门168,罗湖区-螺岭-东门,39.26,1室1厅,东,,3600,91.7,,,https://sz.lianjia.com/zufang/SZ2158214420344340480.html,2026-05-03 05:28:00,,
luoling,整租·京基东方华都 1室0厅 东,整租,京基东方华都,罗湖区-螺岭-京基东方华都,32.00,1室0厅,东,,2800,87.5,,,https://sz.lianjia.com/zufang/SZ2060750161843322880.html,2026-05-03 05:28:22,,
luoling,整租·华丽西村 3室1厅 东南,整租,华丽西村,罗湖区-螺岭-华丽西村,90.12,3室1厅,东南,,6200,68.8,,,https://sz.lianjia.com/zufang/SZ2096207176358952960.html,2026-05-03 05:28:00,,
luoling,整租·东门168 2室1厅 南,整租,东门168,罗湖区-螺岭-东门,43.00,2室1厅,南,,4100,95.3,,,https://sz.lianjia.com/zufang/SZ2009186683152498688.html,2026-05-03 05:28:00,,
luoling,整租·华隆园 1室0厅 南,整租,华隆园,罗湖区-螺岭-华隆园,42.12,1室0厅,南,,3500,83.1,,,https://sz.lianjia.com/zufang/SZ2158768561818959872.html,2026-05-03 05:28:00,,
luoling,整租·新世界大厦 1室0厅 东南,整租,新世界大厦,罗湖区-螺岭-新世界大厦,22.00,1室0厅,东南,,2600,118.2,,,https://sz.lianjia.com/zufang/SZ2032739535128887296.html,2026-05-03 05:28:00,,
luoling,整租·聚龙大厦 2室1厅 西南,整租,聚龙大厦,罗湖区-螺岭-聚龙大厦,55.94,2室1厅,西南,,4200,75.1,,,https://sz.lianjia.com/zufang/SZ2147552946726895616.html,2026-05-03 05:28:00,,
luoling,整租·东门168 1室0厅 西北,整租,东门168,罗湖区-螺岭-东门,21.60,1室0厅,西北,,2100,97.2,,,https://sz.lianjia.com/zufang/SZ1897903787167711232.html,2026-05-03 05:28:00,,
luoling,整租·华隆园 1室0厅 东,整租,华隆园,罗湖区-螺岭-华隆园,29.00,1室0厅,东,,2800,96.6,,,https://sz.lianjia.com/zufang/SZ2150878811044970496.html,2026-05-03 05:28:00,,
luoling,整租·华润置地未来城 1室1厅 西,整租,华润置地未来城,罗湖区-螺岭-华润置地未来城,40.98,1室1厅,西,,5100,124.5,,,https://sz.lianjia.com/zufang/SZ1989255416105664512.html,2026-05-03 05:28:00,,
luoling,整租·东门168 1室0厅 南,整租,东门168,罗湖区-螺岭-东门,22.97,1室0厅,南,,2400,104.5,,,https://sz.lianjia.com/zufang/SZ1992885156070817792.html,2026-05-03 05:28:22,,
luoling,整租·锦绣大厦 1室1厅 南,整租,锦绣大厦,罗湖区-螺岭-锦绣大厦,40.00,1室1厅,南,,3400,85.0,,,https://sz.lianjia.com/zufang/SZ1948432713438461952.html,2026-05-03 05:28:00,,
luoling,整租·金城华庭 1室1厅 西北,整租,金城华庭,罗湖区-螺岭-金城华庭,38.66,1室1厅,西北,,3200,82.8,,,https://sz.lianjia.com/zufang/SZ1756900255648972800.html,2026-05-03 05:28:22,,
luoling,整租·名都大厦 1室0厅 西,整租,名都大厦,罗湖区-螺岭-名都大厦,19.99,1室0厅,西,,2100,105.1,,,https://sz.lianjia.com/zufang/SZ1796391142376341504.html,2026-05-03 05:28:03,,
