region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
minzhi,精选公寓·鑫茂鑫海公寓,精选公寓,鑫茂鑫海公寓,,,,,,1900,,,50套热租 >,https://sz.lianjia.com/zufang/minzhi/ab200306000638,2026-05-03 07:31:20,,
minzhi,整租·滢水山庄 4室2厅 南,整租,滢水山庄,龙华区-民治-滢水山庄,133.42,4室2厅,南,,5300,39.7,,,https://sz.lianjia.com/zufang/SZ2020004408808439808.html,2026-05-03 07:32:23,,
minzhi,整租·深国际万科和颂轩 1室0厅 南/北,整租,深国际万科和颂轩,龙华区-民治-深国际万科和颂轩,39.06,1室0厅,南/北,,3400,87.0,,,https://sz.lianjia.com/zufang/SZ1993184108037013504.html,2026-05-03 07:32:10,,
minzhi,独栋·星窝青年公寓 民治1881店 采光无敌独立厨卫精装两房 2室1厅,独栋,星窝青年公寓 民治1881店 采光无敌独立厨卫精装两房,,55.00,2室1厅,,,2999,54.5,,,https://sz.lianjia.com/apartment/24829.html,2026-05-03 07:34:12,,
minzhi,整租·滢水山庄 3室2厅 南,整租,滢水山庄,龙华区-民治-滢水山庄,85.31,3室2厅,南,,4600,53.9,,,https://sz.lianjia.com/zufang/SZ2159937752177573888.html,2026-05-03 07:32:10,,
minzhi,独栋·星窝青年公寓 民治地铁口店 复式小单间价格美丽 开间,独栋,星窝青年公寓 民治地铁口店 复式小单间价格美丽 开间,,28.00,,,,1599,57.1,,,https://sz.lianjia.com/apartment/25317.html,2026-05-03 07:34:12,,
minzhi,整租·深国际万科和风轩 3室2厅 东北,整租,深国际万科和风轩,龙华区-民治-深国际万科和风轩,78.15,3室2厅,东北,,6500,83.2,,,https://sz.lianjia.com/zufang/SZ2154562914466398208.html,2026-05-03 07:31:20,,
minzhi,整租·世纪春城一期 4室2厅 南,整租,世纪春城一期,龙华区-民治-世纪春城一期,126.00,4室2厅,南,,6000,47.6,,,https://sz.lianjia.com/zufang/SZ2145887769438715904.html,2026-05-03 07:31:20,,
minzhi,独栋·棟梁之家服务式公寓 民治店 民治地铁口 loft一室一厅 电梯房 民水民电 精装房 1室1厅,独栋,棟梁之家服务式公寓 民治店 民治地铁口 loft一室一厅 电梯房 民水民电 精装房,,30.00,1室1厅,,,2300,76.7,,,https://sz.lianjia.com/apartment/108029.html,2026-05-03 07:34:12,,
minzhi,整租·深国际万科和颂轩 1室0厅 东北,整租,深国际万科和颂轩,龙华区-民治-深国际万科和颂轩,39.00,1室0厅,东北,,3400,87.2,,,https://sz.lianjia.com/zufang/SZ2014287292352430080.html,2026-05-03 07:32:10,,
