region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
nantou,整租·中兴之家 1室1厅 南,整租,中兴之家,南山区-南头-中兴之家,40.00,1室1厅,南,,3100,77.5,,,https://sz.lianjia.com/zufang/SZ2159231378783207424.html,2026-05-03 06:11:44,,
nantou,整租·荔馨村南山区 1室0厅 北,整租,荔馨村南山区,南山区-南头-荔馨村南山区,34.90,1室0厅,北,,3200,91.7,,,https://sz.lianjia.com/zufang/SZ1934888805848842240.html,2026-05-03 06:11:44,,
nantou,独栋·泊寓 南山科技园店 【泊寓品牌公寓】专属管家24H安防响应/外卖快递可上门/电梯 1室1厅,独栋,泊寓 南山科技园店 【泊寓品牌公寓】专属管家24H安防响应/外卖快递可上门/电梯,,21.42,1室1厅,,,2853,133.2,,,https://sz.lianjia.com/apartment/29418.html,2026-05-03 06:09:28,,
nantou,整租·麒麟花园A区 1室0厅 北,整租,麒麟花园A区,南山区-南头-麒麟花园,40.59,1室0厅,北,,4600,113.3,,,https://sz.lianjia.com/zufang/SZ2118315303124336640.html,2026-05-03 06:11:44,,
nantou,独栋·城市漫生活 宜居铂寓 高端品牌公寓两房一厅落地窗 2室1厅,独栋,城市漫生活 宜居铂寓 高端品牌公寓两房一厅落地窗,,100.00,2室1厅,,,9800,98.0,,,https://sz.lianjia.com/apartment/106323.html,2026-05-03 06:09:31,,
nantou,整租·豪方天际花园 4室2厅 南,整租,豪方天际花园,南山区-南头-豪方天际花园,88.78,4室2厅,南,,8000,90.1,,,https://sz.lianjia.com/zufang/SZ2149815640691572736.html,2026-05-03 06:09:28,,
nantou,整租·前海东岸 2室2厅 南,整租,前海东岸,南山区-南头-前海东岸,78.00,2室2厅,南,,8000,102.6,,,https://sz.lianjia.com/zufang/SZ2153139928974753792.html,2026-05-03 06:09:28,,
nantou,整租·南景苑 2室1厅 南,整租,南景苑,南山区-南头-南景苑,67.30,2室1厅,南,,5700,84.7,,,https://sz.lianjia.com/zufang/SZ2121562730610556928.html,2026-05-03 06:11:44,,
nantou,独栋·馨心居 义学街店 不短租-地铁口近腾讯科技园精致阳光大单间 开间,独栋,馨心居 义学街店 不短租-地铁口近腾讯科技园精致阳光大单间 开间,,28.00,,,,2780,99.3,,,https://sz.lianjia.com/apartment/66880.html,2026-05-03 06:09:28,,
nantou,整租·常丰花园 3室2厅 东南,整租,常丰花园,南山区-南头-常丰花园,85.00,3室2厅,东南,,7500,88.2,,,https://sz.lianjia.com/zufang/SZ2153391706609811456.html,2026-05-03 06:09:28,,
nantou,整租·豪方天际花园 3室2厅 西北,整租,豪方天际花园,南山区-南头-豪方天际花园,78.00,3室2厅,西北,,7700,98.7,,,https://sz.lianjia.com/zufang/SZ2152283727525314560.html,2026-05-03 06:09:28,,
nantou,独栋·富达公馆 中山公园店 不短租！一年租开发商直营无中介！小区高层落地窗 1室1厅,独栋,富达公馆 中山公园店 不短租！一年租开发商直营无中介！小区高层落地窗,,33.00,1室1厅,,,4200,127.3,,,https://sz.lianjia.com/apartment/99240.html,2026-05-03 06:09:28,,
nantou,整租·豪方天际花园 3室2厅 东南,整租,豪方天际花园,南山区-南头-豪方天际花园,89.00,3室2厅,东南,,8800,98.9,,,https://sz.lianjia.com/zufang/SZ2152764688994140160.html,2026-05-03 06:10:37,,
nantou,整租·立润富达广场 3室2厅 西北,整租,立润富达广场,南山区-南头-立润富达广场,53.00,3室2厅,西北,,7200,135.8,,,https://sz.lianjia.com/zufang/SZ2152304084844019712.html,2026-05-03 06:09:28,,
nantou,独栋·馨心居 大新店 不短租！地铁口阳光大单间可养宠物 开间,独栋,馨心居 大新店 不短租！地铁口阳光大单间可养宠物 开间,,32.00,,,,3680,115.0,,,https://sz.lianjia.com/apartment/61388.html,2026-05-03 06:09:31,,
nantou,整租·前海枫叶大厦 2室1厅 南,整租,前海枫叶大厦,南山区-南头-前海枫叶大厦,47.00,2室1厅,南,,6200,131.9,,,https://sz.lianjia.com/zufang/SZ2158165826119663616.html,2026-05-03 06:09:54,,
nantou,独栋·同德阁 前海店 南山豪华轻奢大一房 配备私人健身房 1室1厅,独栋,同德阁 前海店 南山豪华轻奢大一房 配备私人健身房,,52.00,1室1厅,,,7800,150.0,,,https://sz.lianjia.com/apartment/73390.html,2026-05-03 06:09:31,,
nantou,整租·豪方天际花园 3室2厅 南,整租,豪方天际花园,南山区-南头-豪方天际花园,74.62,3室2厅,南,,7800,104.5,,,https://sz.lianjia.com/zufang/SZ2159938795183538176.html,2026-05-03 06:11:40,,
