region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
qianhai,整租·颐湾府 3室2厅 南,整租,颐湾府,南山区-前海-颐湾府,118.95,3室2厅,南,,11500,96.7,,,https://sz.lianjia.com/zufang/SZ2159690003121176576.html,2026-05-03 06:20:07,22.503942,113.892153
qianhai,整租·中海阳光玫瑰园 3室1厅 东南,整租,中海阳光玫瑰园,南山区-前海-中海阳光玫瑰园,66.00,3室1厅,东南,,6100,92.4,,,https://sz.lianjia.com/zufang/SZ1815228459677384704.html,2026-05-03 06:20:07,22.50538,113.89215
qianhai,独栋·龙湖冠寓 深圳前海店 近铁路公园 近桂湾 地铁站公寓 年轻白领单身公寓 1室1厅,独栋,龙湖冠寓 深圳前海店 近铁路公园 近桂湾 地铁站公寓 年轻白领单身公寓,,45.00,1室1厅,,,4443,98.7,,,https://sz.lianjia.com/apartment/18567.html,2026-05-03 06:16:42,22.67678,113.80754
qianhai,整租·前海花园 3室2厅 北,整租,前海花园,南山区-前海-前海花园,92.00,3室2厅,北,,6400,69.6,,,https://sz.lianjia.com/zufang/SZ2008934544056516608.html,2026-05-03 06:16:42,22.537745,113.907817
qianhai,独栋·龙湖冠寓 深圳前海二期店 两房可合租 家庭居住 步行顺丰雷霆泰康 近铁路公园桂湾地铁 2室1厅,独栋,龙湖冠寓 深圳前海二期店 两房可合租 家庭居住 步行顺丰雷霆泰康 近铁路公园桂湾地铁,,60.00,2室1厅,,,5632-5906,,,,https://sz.lianjia.com/apartment/18568.html,2026-05-03 06:16:42,22.67678,113.80754
qianhai,整租·招商领玺 4室2厅 东南,整租,招商领玺,南山区-前海-招商领玺,150.00,4室2厅,东南,,21000,140.0,,,https://sz.lianjia.com/zufang/SZ2153000402155470848.html,2026-05-03 06:18:53,22.505926,113.889971
qianhai,整租·前海天境花园 3室2厅 南,整租,前海天境花园,南山区-前海-前海天境花园,123.00,3室2厅,南,,15000,122.0,,,https://sz.lianjia.com/zufang/SZ2152655191038492672.html,2026-05-03 06:18:05,22.54349,113.90897
qianhai,整租·远洋滨海大厦 1室1厅 南,整租,远洋滨海大厦,南山区-前海-远洋滨海大厦,39.00,1室1厅,南,,4500,115.4,,,https://sz.lianjia.com/zufang/SZ2154614683728871424.html,2026-05-03 06:16:42,22.512342,113.909474
qianhai,独栋·蓝钻物业 前海悦玺 270度落地窗轻奢大平层 5室2厅,独栋,蓝钻物业 前海悦玺 270度落地窗轻奢大平层,,338.00,5室2厅,,,55000,162.7,,,https://sz.lianjia.com/apartment/105448.html,2026-05-03 06:16:42,22.700447,114.311334
qianhai,整租·前海天境花园 4室2厅 东南,整租,前海天境花园,南山区-前海-前海天境花园,145.96,4室2厅,东南,,18000,123.3,,,https://sz.lianjia.com/zufang/SZ2158127938292154368.html,2026-05-03 06:17:09,22.54349,113.90897
qianhai,整租·颐湾府 3室2厅 西北,整租,颐湾府,南山区-前海-颐湾府,123.66,3室2厅,西北,,12000,97.0,,,https://sz.lianjia.com/zufang/SZ2158565022542856192.html,2026-05-03 06:19:04,22.503942,113.892153
qianhai,独栋·曼乔公寓 前海店 南向煦光·山海景观阳台·毗邻铁路公园地铁站·精装全配 1室1厅,独栋,曼乔公寓 前海店 南向煦光·山海景观阳台·毗邻铁路公园地铁站·精装全配,,48.00,1室1厅,,,4080,85.0,,,https://sz.lianjia.com/apartment/102319.html,2026-05-03 06:16:42,22.488911,113.907129
qianhai,整租·泛海城市广场 2室1厅 东南,整租,泛海城市广场,南山区-前海-泛海城市广场,55.00,2室1厅,东南,,5500,100.0,,,https://sz.lianjia.com/zufang/SZ2158828313609502720.html,2026-05-03 06:17:09,22.49687,113.88767
