region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shangtang,整租·特发和平里二期 3室2厅 北/东北,整租,特发和平里二期,龙华区-上塘-特发和平里二期,86.88,3室2厅,北/东北,,5800,66.8,,,https://sz.lianjia.com/zufang/SZ1973033706314530816.html,2026-05-03 07:48:01,,
shangtang,整租·潜龙曼海宁花园北区 1室1厅 东南,整租,潜龙曼海宁花园北区,龙华区-上塘-潜龙曼海宁花园北区,47.00,1室1厅,东南,,4100,87.2,,,https://sz.lianjia.com/zufang/SZ2025231600182099968.html,2026-05-03 07:48:01,,
shangtang,独栋·HOMEROY鸿寓 上塘地铁店 【超大落地窗】秋韵-LOFT小区两房！宅家看日落 2室2厅,独栋,HOMEROY鸿寓 上塘地铁店 【超大落地窗】秋韵-LOFT小区两房！宅家看日落,,82.00,2室2厅,,,6666,81.3,,,https://sz.lianjia.com/apartment/78507.html,2026-05-03 07:47:47,,
shangtang,整租·鸿荣源尚峻御园 3室2厅 东南,整租,鸿荣源尚峻御园,龙华区-上塘-鸿荣源尚峻御园,94.41,3室2厅,东南,,6800,72.0,,,https://sz.lianjia.com/zufang/SZ2029535804304392192.html,2026-05-03 07:48:01,,
shangtang,整租·鸿荣源尚峻御园 4室2厅 东南,整租,鸿荣源尚峻御园,龙华区-上塘-鸿荣源尚峻御园,107.41,4室2厅,东南,,8500,79.1,,,https://sz.lianjia.com/zufang/SZ2155949070709948416.html,2026-05-03 07:47:43,,
shangtang,整租·鸿荣源尚峻御园 3室2厅 东南,整租,鸿荣源尚峻御园,龙华区-上塘-鸿荣源尚峻御园,94.00,3室2厅,东南,,7500,79.8,,,https://sz.lianjia.com/zufang/SZ2156055079885471744.html,2026-05-03 07:47:43,,
shangtang,独栋·鑫茂鑫海公寓 海宁二店 曼海宁花园 物业直租3房 带家私家电 车位充足 3室2厅,独栋,鑫茂鑫海公寓 海宁二店 曼海宁花园 物业直租3房 带家私家电 车位充足,,84.00,3室2厅,,,5800,69.0,,,https://sz.lianjia.com/apartment/24056.html,2026-05-03 07:47:43,,
shangtang,整租·潜龙曼海宁花园南区 2室2厅 东南,整租,潜龙曼海宁花园南区,龙华区-上塘-潜龙曼海宁花园南区,69.20,2室2厅,东南,,5200,75.1,,,https://sz.lianjia.com/zufang/SZ1963588539073429504.html,2026-05-03 07:48:01,,
shangtang,独栋·寓见 汇德理 3室2厅2卫齐95平 3室2厅,独栋,寓见 汇德理 3室2厅2卫齐95平,,95.00,3室2厅,,,8600,90.5,,,https://sz.lianjia.com/apartment/94421.html,2026-05-03 07:47:43,,
shangtang,整租·港铁天颂 3室2厅 南,整租,港铁天颂,龙华区-上塘-港铁天颂,88.58,3室2厅,南,,6200,70.0,,,https://sz.lianjia.com/zufang/SZ2146144885143502848.html,2026-05-03 07:47:43,,
shangtang,整租·中海汇德理 4室2厅 东南,整租,中海汇德理,龙华区-上塘-中海汇德理,112.00,4室2厅,东南,,10000,89.3,,,https://sz.lianjia.com/zufang/SZ2153373657353682944.html,2026-05-03 07:47:43,,
shangtang,独栋·寓见 柏奕府 4室2厅2卫117平齐全 4室2厅,独栋,寓见 柏奕府 4室2厅2卫117平齐全,,117.00,4室2厅,,,13000,111.1,,,https://sz.lianjia.com/apartment/99768.html,2026-05-03 07:47:43,,
shangtang,整租·港铁天颂 8室3厅 东南,整租,港铁天颂,龙华区-上塘-港铁天颂,219.23,8室3厅,东南,,42000,191.6,,,https://sz.lianjia.com/zufang/SZ1958011858728255488.html,2026-05-03 07:48:01,,
shangtang,整租·港铁天颂 3室2厅 南,整租,港铁天颂,龙华区-上塘-港铁天颂,89.00,3室2厅,南,,6000,67.4,,,https://sz.lianjia.com/zufang/SZ2138873632246464512.html,2026-05-03 07:47:50,,
shangtang,独栋·寓见 上麟府 3室2厅2卫89平横厅 3室2厅,独栋,寓见 上麟府 3室2厅2卫89平横厅,,89.00,3室2厅,,,8000,89.9,,,https://sz.lianjia.com/apartment/94370.html,2026-05-03 07:47:43,,
shangtang,整租·中海锦城 3室2厅 南,整租,中海锦城,龙华区-上塘-中海锦城,89.00,3室2厅,南,,7200,80.9,,,https://sz.lianjia.com/zufang/SZ2138962667082088448.html,2026-05-03 07:47:50,,
shangtang,整租·特发和平里二期 3室2厅 南,整租,特发和平里二期,龙华区-上塘-特发和平里二期,142.00,3室2厅,南,,10000,70.4,,,https://sz.lianjia.com/zufang/SZ2139679057975967744.html,2026-05-03 07:47:50,,
shangtang,整租·特发和平里二期 3室2厅 西北,整租,特发和平里二期,龙华区-上塘-特发和平里二期,89.02,3室2厅,西北,,6200,69.6,,,https://sz.lianjia.com/zufang/SZ2141742140605071360.html,2026-05-03 07:47:50,,
shangtang,整租·中海锦城 3室2厅 东南,整租,中海锦城,龙华区-上塘-中海锦城,86.96,3室2厅,东南,,7300,83.9,,,https://sz.lianjia.com/zufang/SZ2142509114234765312.html,2026-05-03 07:47:50,,
shangtang,整租·特发和平里 1室1厅 东南,整租,特发和平里,龙华区-上塘-特发和平里,47.00,1室1厅,东南,,3800,80.9,,,https://sz.lianjia.com/zufang/SZ1839525925885050880.html,2026-05-03 07:48:01,,
shangtang,整租·特发和平里 1室0厅 西北,整租,特发和平里,龙华区-上塘-特发和平里,39.23,1室0厅,西北,,3300,84.1,,,https://sz.lianjia.com/zufang/SZ2023004030237671424.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里 1室0厅 西北,整租,特发和平里,龙华区-上塘-特发和平里,39.79,1室0厅,西北,,3600,90.5,,,https://sz.lianjia.com/zufang/SZ1912899586041577472.html,2026-05-03 07:47:47,,
shangtang,整租·鸿荣源尚峻花园一期 4室2厅 东南,整租,鸿荣源尚峻花园一期,龙华区-上塘-鸿荣源尚峻花园一期,107.00,4室2厅,东南,,7900,73.8,,,https://sz.lianjia.com/zufang/SZ2119345683482804224.html,2026-05-03 07:47:50,,
shangtang,整租·特发和平里 3室2厅 东南,整租,特发和平里,龙华区-上塘-特发和平里,89.00,3室2厅,东南,,6500,73.0,,,https://sz.lianjia.com/zufang/SZ2119408355507175424.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里 1室0厅 西北,整租,特发和平里,龙华区-上塘-特发和平里,39.88,1室0厅,西北,,3500,87.8,,,https://sz.lianjia.com/zufang/SZ1905439690715037696.html,2026-05-03 07:47:47,,
shangtang,整租·鸿荣源尚峻花园一期 3室2厅 东南,整租,鸿荣源尚峻花园一期,龙华区-上塘-鸿荣源尚峻花园一期,80.64,3室2厅,东南,,5700,70.7,,,https://sz.lianjia.com/zufang/SZ2064661801185837056.html,2026-05-03 07:47:47,,
shangtang,整租·中海锦城 2室2厅 东南,整租,中海锦城,龙华区-上塘-中海锦城,68.62,2室2厅,东南,,5100,74.3,,,https://sz.lianjia.com/zufang/SZ2161783434014359552.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里 2室1厅 东南,整租,特发和平里,龙华区-上塘-特发和平里,68.37,2室1厅,东南,,5300,77.5,,,https://sz.lianjia.com/zufang/SZ2120102077161013248.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里二期 2室2厅 东南,整租,特发和平里二期,龙华区-上塘-特发和平里二期,66.00,2室2厅,东南,,5000,75.8,,,https://sz.lianjia.com/zufang/SZ2121130557390716928.html,2026-05-03 07:47:47,,
shangtang,整租·鸿荣源尚峻御园 3室2厅 东南,整租,鸿荣源尚峻御园,龙华区-上塘-鸿荣源尚峻御园,80.07,3室2厅,东南,,6300,78.7,,,https://sz.lianjia.com/zufang/SZ2027702734970421248.html,2026-05-03 07:48:01,,
shangtang,整租·港铁天颂 3室2厅 西南,整租,港铁天颂,龙华区-上塘-港铁天颂,89.00,3室2厅,西南,,7000,78.7,,,https://sz.lianjia.com/zufang/SZ2122202488068112384.html,2026-05-03 07:47:47,,
shangtang,整租·潜龙曼海宁花园北区 2室1厅 东南/南,整租,潜龙曼海宁花园北区,龙华区-上塘-潜龙曼海宁花园北区,70.00,2室1厅,东南/南,,5200,74.3,,,https://sz.lianjia.com/zufang/SZ2127266774498934784.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里二期 2室1厅 西南,整租,特发和平里二期,龙华区-上塘-特发和平里二期,68.00,2室1厅,西南,,4600,67.6,,,https://sz.lianjia.com/zufang/SZ2143566094521073664.html,2026-05-03 07:47:50,,
shangtang,整租·中海锦城 3室2厅 东南,整租,中海锦城,龙华区-上塘-中海锦城,89.00,3室2厅,东南,,7600,85.4,,,https://sz.lianjia.com/zufang/SZ2126270456586567680.html,2026-05-03 07:47:47,,
shangtang,整租·中海锦城 3室2厅 东南,整租,中海锦城,龙华区-上塘-中海锦城,86.80,3室2厅,东南,,7200,82.9,,,https://sz.lianjia.com/zufang/SZ2127707815874134016.html,2026-05-03 07:47:47,,
shangtang,整租·潜龙曼海宁花园南区 3室2厅 南/西北,整租,潜龙曼海宁花园南区,龙华区-上塘-潜龙曼海宁花园南区,87.80,3室2厅,南/西北,,6200,70.6,,,https://sz.lianjia.com/zufang/SZ2104813243733114880.html,2026-05-03 07:47:50,,
shangtang,整租·港铁天颂 3室2厅 南,整租,港铁天颂,龙华区-上塘-港铁天颂,88.00,3室2厅,南,,6000,68.2,,,https://sz.lianjia.com/zufang/SZ2104938047505170432.html,2026-05-03 07:47:50,,
shangtang,整租·潜龙曼海宁花园南区 3室2厅 东南/西北,整租,潜龙曼海宁花园南区,龙华区-上塘-潜龙曼海宁花园南区,89.89,3室2厅,东南/西北,,6400,71.2,,,https://sz.lianjia.com/zufang/SZ2112850733886865408.html,2026-05-03 07:47:47,,
shangtang,整租·港铁天颂 3室2厅 南,整租,港铁天颂,龙华区-上塘-港铁天颂,88.86,3室2厅,南,,5800,65.3,,,https://sz.lianjia.com/zufang/SZ2115362012782395392.html,2026-05-03 07:47:47,,
shangtang,整租·中海锦城 3室2厅 东南,整租,中海锦城,龙华区-上塘-中海锦城,77.81,3室2厅,东南,,6500,83.5,,,https://sz.lianjia.com/zufang/SZ2150838523211546624.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里 2室2厅 东南,整租,特发和平里,龙华区-上塘-特发和平里,68.40,2室2厅,东南,,5200,76.0,,,https://sz.lianjia.com/zufang/SZ2150908202886103040.html,2026-05-03 07:47:47,,
shangtang,整租·中海汇德理 3室1厅 南,整租,中海汇德理,龙华区-上塘-中海汇德理,82.00,3室1厅,南,,7800,95.1,,,https://sz.lianjia.com/zufang/SZ2150925254887735296.html,2026-05-03 07:47:47,,
shangtang,整租·港铁天颂 3室2厅 东南,整租,港铁天颂,龙华区-上塘-港铁天颂,89.00,3室2厅,东南,,6200,69.7,,,https://sz.lianjia.com/zufang/SZ2150947221166620672.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里二期 3室2厅 东北,整租,特发和平里二期,龙华区-上塘-特发和平里二期,89.00,3室2厅,东北,,6000,67.4,,,https://sz.lianjia.com/zufang/SZ2150945970894929920.html,2026-05-03 07:48:01,,
shangtang,整租·特发和平里 3室2厅 东南,整租,特发和平里,龙华区-上塘-特发和平里,89.00,3室2厅,东南,,6500,73.0,,,https://sz.lianjia.com/zufang/SZ2152335628480544768.html,2026-05-03 07:48:01,,
shangtang,整租·鸿荣源尚峻御园 3室2厅 东,整租,鸿荣源尚峻御园,龙华区-上塘-鸿荣源尚峻御园,80.00,3室2厅,东,,6500,81.2,,,https://sz.lianjia.com/zufang/SZ2152978036520124416.html,2026-05-03 07:47:47,,
shangtang,整租·特发和平里二期 3室2厅 东北,整租,特发和平里二期,龙华区-上塘-特发和平里二期,88.00,3室2厅,东北,,6600,75.0,,,https://sz.lianjia.com/zufang/SZ2138481617876811776.html,2026-05-03 07:47:50,,
shangtang,整租·特发和平里二期 4室2厅 南,整租,特发和平里二期,龙华区-上塘-特发和平里二期,145.43,4室2厅,南,,7200,49.5,,,https://sz.lianjia.com/zufang/SZ2102641751457005568.html,2026-05-03 07:47:50,,
shangtang,整租·港铁天颂 5室2厅 南,整租,港铁天颂,龙华区-上塘-港铁天颂,187.44,5室2厅,南,,14800,79.0,,,https://sz.lianjia.com/zufang/SZ2142836365673365504.html,2026-05-03 07:47:50,,
shangtang,整租·潜龙曼海宁花园北区 3室2厅 南,整租,潜龙曼海宁花园北区,龙华区-上塘-潜龙曼海宁花园北区,89.00,3室2厅,南,,6500,73.0,,,https://sz.lianjia.com/zufang/SZ2144995692085510144.html,2026-05-03 07:47:50,,
shangtang,整租·中海汇德理 3室2厅 东南,整租,中海汇德理,龙华区-上塘-中海汇德理,81.63,3室2厅,东南,,7800,95.6,,,https://sz.lianjia.com/zufang/SZ2145357386393583616.html,2026-05-03 07:47:50,,
shangtang,整租·特发和平里 3室2厅 西南,整租,特发和平里,龙华区-上塘-特发和平里,81.00,3室2厅,西南,,6000,74.1,,,https://sz.lianjia.com/zufang/SZ2154460975430893568.html,2026-05-03 07:47:50,,
shangtang,整租·港铁天颂 3室2厅 南/北,整租,港铁天颂,龙华区-上塘-港铁天颂,89.10,3室2厅,南/北,,6500,73.0,,,https://sz.lianjia.com/zufang/SZ2159179323066548224.html,2026-05-03 07:47:50,,
shangtang,整租·潜龙曼海宁花园南区 3室2厅 东南,整租,潜龙曼海宁花园南区,龙华区-上塘-潜龙曼海宁花园南区,87.13,3室2厅,东南,,6200,71.2,,,https://sz.lianjia.com/zufang/SZ2146630639116353536.html,2026-05-03 07:47:50,,
shangtang,整租·港铁天颂 3室2厅 东南,整租,港铁天颂,龙华区-上塘-港铁天颂,81.00,3室2厅,东南,,5500,67.9,,,https://sz.lianjia.com/zufang/SZ2148087198916804608.html,2026-05-03 07:47:50,,
shangtang,整租·长城里程家园 3室2厅 东南,整租,长城里程家园,龙华区-上塘-长城里程家园,89.00,3室2厅,东南,,6000,67.4,,,https://sz.lianjia.com/zufang/SZ2148772361824894976.html,2026-05-03 07:47:50,,
shangtang,整租·中海汇德理 3室2厅 西南,整租,中海汇德理,龙华区-上塘-中海汇德理,95.00,3室2厅,西南,,8800,92.6,,,https://sz.lianjia.com/zufang/SZ2139207159529865216.html,2026-05-03 07:47:50,,
