region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shatoujiao,整租·碧桐湾 1室1厅 东,整租,碧桐湾,盐田区-沙头角-碧桐湾,28.85,1室1厅,东,,2000,69.3,,,https://sz.lianjia.com/zufang/SZ2151110086989185024.html,2026-05-03 06:30:12,,
shatoujiao,整租·鹏瑞尚府 3室2厅 东南,整租,鹏瑞尚府,盐田区-沙头角-鹏瑞尚府,91.81,3室2厅,东南,,6600,71.9,,,https://sz.lianjia.com/zufang/SZ2150536074642849792.html,2026-05-03 06:30:12,,
shatoujiao,独栋·安居乐寓 精茂花园店 【海景房】民用水电 可停车可开发票 壹海城海山地铁口01F 开间,独栋,安居乐寓 精茂花园店 【海景房】民用水电 可停车可开发票 壹海城海山地铁口01F 开间,,28.00,,,,2628,93.9,,,https://sz.lianjia.com/apartment/88285.html,2026-05-03 06:27:37,,
shatoujiao,整租·君临海域 3室1厅 东南,整租,君临海域,盐田区-沙头角-君临海域,74.30,3室1厅,东南,,5100,68.6,,,https://sz.lianjia.com/zufang/SZ2069722154680713216.html,2026-05-03 06:30:12,,
shatoujiao,独栋·上寓 盐田区政府店 盐田沙头角上寓精装大两房可对接企业客户 押一付一免费维修 2室1厅,独栋,上寓 盐田区政府店 盐田沙头角上寓精装大两房可对接企业客户 押一付一免费维修,,58.00,2室1厅,,,3160-3660,,,,https://sz.lianjia.com/apartment/1309.html,2026-05-03 06:27:37,,
shatoujiao,整租·卓越荣津瀚海湾名庭 2室1厅 东南,整租,卓越荣津瀚海湾名庭,盐田区-沙头角-卓越荣津瀚海湾名庭,65.00,2室1厅,东南,,4000,61.5,,,https://sz.lianjia.com/zufang/SZ2141151097396396032.html,2026-05-03 06:28:39,,
shatoujiao,整租·君临海域 4室2厅 西北/北,整租,君临海域,盐田区-沙头角-君临海域,160.00,4室2厅,西北/北,,8800,55.0,,,https://sz.lianjia.com/zufang/SZ2100552750025670656.html,2026-05-03 06:30:00,,
shatoujiao,整租·昊海君悦 2室2厅 复式 北,整租,昊海君悦,盐田区-沙头角-昊海君悦,57.21,2室2厅,,,3300,57.7,,,https://sz.lianjia.com/zufang/SZ2150199953056595968.html,2026-05-03 06:30:12,,
shatoujiao,整租·蓝郡广场 6室2厅 东南,整租,蓝郡广场,盐田区-沙头角-蓝郡广场,189.00,6室2厅,东南,,18000,95.2,,,https://sz.lianjia.com/zufang/SZ2103421821821911040.html,2026-05-03 06:27:37,,
shatoujiao,整租·蓝郡公馆 2室2厅 东南,整租,蓝郡公馆,盐田区-沙头角-蓝郡公馆,85.54,2室2厅,东南,,6100,71.3,,,https://sz.lianjia.com/zufang/SZ2139030541712752640.html,2026-05-03 06:28:39,,
shatoujiao,独栋·振业和寓 海智云谷店 盐田港西地铁口 精装两房一厅出租 押一付一 拎包入住 2室1厅,独栋,振业和寓 海智云谷店 盐田港西地铁口 精装两房一厅出租 押一付一 拎包入住,,73.00,2室1厅,,,4278,58.6,,,https://sz.lianjia.com/apartment/94927.html,2026-05-03 06:27:40,,
shatoujiao,整租·瀚海翠庭 3室2厅 西南,整租,瀚海翠庭,盐田区-沙头角-瀚海翠庭,92.00,3室2厅,西南,,4500,48.9,,,https://sz.lianjia.com/zufang/SZ2138003209946398720.html,2026-05-03 06:28:39,,
shatoujiao,整租·东埔海景花园一期 4室2厅 复式 东南/南,整租,东埔海景花园一期,盐田区-沙头角-东埔海景花园一期,130.22,4室2厅,,,7500,57.6,,,https://sz.lianjia.com/zufang/SZ2141793706179559424.html,2026-05-03 06:28:39,,
shatoujiao,独栋·城家公寓 城家高级公寓深圳沙头角地铁站店 免费公区！可养宠物 ！蓝郡公馆精装公寓户型！ 3室1厅,独栋,城家公寓 城家高级公寓深圳沙头角地铁站店 免费公区！可养宠物 ！蓝郡公馆精装公寓户型！,,125.00,3室1厅,,,11400-11500,,,,https://sz.lianjia.com/apartment/46193.html,2026-05-03 06:27:40,,
shatoujiao,整租·中英街壹号 4室2厅 南,整租,中英街壹号,盐田区-沙头角-中英街壹号,164.00,4室2厅,南,,13800,84.1,,,https://sz.lianjia.com/zufang/SZ2097167330558607360.html,2026-05-03 06:27:37,,
shatoujiao,整租·梧桐山花园住宅 3室2厅 东,整租,梧桐山花园住宅,盐田区-沙头角-梧桐山花园住宅,96.92,3室2厅,东,,3700,38.2,,,https://sz.lianjia.com/zufang/SZ2104499038580637696.html,2026-05-03 06:30:00,,
shatoujiao,整租·桐林半山花园 5室2厅 东南,整租,桐林半山花园,盐田区-沙头角-桐林半山花园,222.00,5室2厅,东南,,9000,40.5,,,https://sz.lianjia.com/zufang/SZ2102635939590307840.html,2026-05-03 06:30:00,,
shatoujiao,整租·合景同创广场 3室2厅 东南,整租,合景同创广场,盐田区-沙头角-合景同创广场,98.00,3室2厅,东南,,6000,61.2,,,https://sz.lianjia.com/zufang/SZ2103105915174518784.html,2026-05-03 06:27:37,,
shatoujiao,独栋·云享家 沙头角店 劲爆特价，仅此一套，豪华电梯公寓，拎包即住。手快有，手慢没。 开间,独栋,云享家 沙头角店 劲爆特价，仅此一套，豪华电梯公寓，拎包即住。手快有，手慢没。 开间,,48.00,,,,2498,52.0,,,https://sz.lianjia.com/apartment/96275.html,2026-05-03 06:27:40,,
shatoujiao,整租·壹海城四区 1室2厅 北,整租,壹海城四区,盐田区-沙头角-壹海城四区,51.21,1室2厅,北,,4400,85.9,,,https://sz.lianjia.com/zufang/SZ2161340754092359680.html,2026-05-03 06:30:23,,
shatoujiao,整租·上东湾 2室2厅 西北,整租,上东湾,盐田区-沙头角-上东湾,46.00,2室2厅,西北,,3600,78.3,,,https://sz.lianjia.com/zufang/SZ1958199360986546176.html,2026-05-03 06:30:23,,
shatoujiao,整租·中信海滨花园 3室2厅 东南,整租,中信海滨花园,盐田区-沙头角-中信海滨花园,114.12,3室2厅,东南,,5200,45.6,,,https://sz.lianjia.com/zufang/SZ2119391471458058240.html,2026-05-03 06:30:12,,
shatoujiao,整租·碧海蓝天明苑 2室1厅 东南,整租,碧海蓝天明苑,盐田区-沙头角-碧海蓝天明苑,60.00,2室1厅,东南,,3000,50.0,,,https://sz.lianjia.com/zufang/SZ2114329610022813696.html,2026-05-03 06:29:07,,
