region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
taoyuanju,整租·桃源居十七区 3室2厅 东南,整租,桃源居十七区,宝安区-桃源居-桃源居十七区,104.35,3室2厅,东南,,5250,50.3,,,https://sz.lianjia.com/zufang/SZ2089705608663007232.html,2026-05-03 06:38:29,22.62306,113.85807
taoyuanju,整租·臣田开元广场 1室1厅 东南,整租,臣田开元广场,宝安区-桃源居-臣田开元广场,37.19,1室1厅,东南,,3308,88.9,,,https://sz.lianjia.com/zufang/SZ2129965338643660800.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,独栋·招商品牌公寓 壹间▪鸿鹏 性价比超高 民水民电 开间,独栋,招商品牌公寓 壹间▪鸿鹏 性价比超高 民水民电 开间,,36.00,,,,2887,80.2,,,https://sz.lianjia.com/apartment/62667.html,2026-05-03 06:38:29,22.599716,113.88977
taoyuanju,整租·桃源居十四区 3室2厅 南,整租,桃源居十四区,宝安区-桃源居-桃源居十四区,122.62,3室2厅,南,,6100,49.7,,,https://sz.lianjia.com/zufang/SZ2079580880329768960.html,2026-05-03 06:38:29,22.620298,113.855557
taoyuanju,整租·佳兆业樾伴山 4室2厅 西北,整租,佳兆业樾伴山,宝安区-桃源居-佳兆业樾伴山,127.00,4室2厅,西北,,6500,51.2,,,https://sz.lianjia.com/zufang/SZ2150626429413359616.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·桃源居十四区 2室2厅 南,整租,桃源居十四区,宝安区-桃源居-桃源居十四区,65.08,2室2厅,南,,3000,46.1,,,https://sz.lianjia.com/zufang/SZ2120879191279796224.html,2026-05-03 06:38:29,22.620298,113.855557
taoyuanju,整租·桃源居十五区 5室2厅 南,整租,桃源居十五区,宝安区-桃源居-桃源居十五区,230.00,5室2厅,南,,13800,60.0,,,https://sz.lianjia.com/zufang/SZ2121881157514559488.html,2026-05-03 06:38:29,22.621796,113.859142
taoyuanju,整租·桃源居九区 3室2厅 南,整租,桃源居九区,宝安区-桃源居-桃源居九区,120.25,3室2厅,南,,5800,48.2,,,https://sz.lianjia.com/zufang/SZ2157082278541393920.html,2026-05-03 06:38:29,22.616915,113.854968
taoyuanju,整租·佳兆业樾伴山 3室2厅 西南,整租,佳兆业樾伴山,宝安区-桃源居-佳兆业樾伴山,87.78,3室2厅,西南,,4800,54.7,,,https://sz.lianjia.com/zufang/SZ2158210698881007616.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·佳兆业樾伴山 3室2厅 东南,整租,佳兆业樾伴山,宝安区-桃源居-佳兆业樾伴山,88.92,3室2厅,东南,,5000,56.2,,,https://sz.lianjia.com/zufang/SZ2159222668891521024.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·臣田开元广场 3室2厅 西南,整租,臣田开元广场,宝安区-桃源居-臣田开元广场,89.00,3室2厅,西南,,6300,70.8,,,https://sz.lianjia.com/zufang/SZ2154055156591755264.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·臣田开元广场 3室2厅 南,整租,臣田开元广场,宝安区-桃源居-臣田开元广场,88.00,3室2厅,南,,6500,73.9,,,https://sz.lianjia.com/zufang/SZ2155225041606803456.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·臣田开元广场 1室1厅 东南,整租,臣田开元广场,宝安区-桃源居-臣田开元广场,40.00,1室1厅,东南,,3600,90.0,,,https://sz.lianjia.com/zufang/SZ2149838883175530496.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·臣田开元广场 1室1厅 东南,整租,臣田开元广场,宝安区-桃源居-臣田开元广场,40.00,1室1厅,东南,,3600,90.0,,,https://sz.lianjia.com/zufang/SZ2149839004999090176.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·桃源居五区 2室2厅 南,整租,桃源居五区,宝安区-桃源居-桃源居五区,60.00,2室2厅,南,,4000,66.7,,,https://sz.lianjia.com/zufang/SZ2157788042524360704.html,2026-05-03 06:38:29,22.617299,113.861329
taoyuanju,整租·佳兆业樾伴山 3室2厅 南,整租,佳兆业樾伴山,宝安区-桃源居-佳兆业樾伴山,89.00,3室2厅,南,,5300,59.6,,,https://sz.lianjia.com/zufang/SZ2148421896138391552.html,2026-05-03 06:38:29,22.62079,113.85573
taoyuanju,整租·桃源大厦 3室2厅 西南,整租,桃源大厦,宝安区-桃源居-桃源大厦,57.75,3室2厅,西南,,5000,86.6,,,https://sz.lianjia.com/zufang/SZ2158926049755267072.html,2026-05-03 06:38:29,22.618685,113.855937
