region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xiangmeibei,整租·深房传麒景苑 2室1厅 东,整租,深房传麒景苑,福田区-香梅北-深房传麒景苑,73.09,2室1厅,东,,7200,98.5,,,https://sz.lianjia.com/zufang/SZ2153706668372787200.html,2026-05-03 05:55:00,,
xiangmeibei,整租·七街公馆 1室0厅 南,整租,七街公馆,福田区-香梅北-七街公馆,29.99,1室0厅,南,,3500,116.7,,,https://sz.lianjia.com/zufang/SZ1936386454041133056.html,2026-05-03 05:55:00,,
xiangmeibei,独栋·金地草莓社区 景田旗舰店 梅景地铁口100米 福田中心区 押一付一 拎包入住 长租限时特惠 大阳台单间 开间,独栋,金地草莓社区 景田旗舰店 梅景地铁口100米 福田中心区 押一付一 拎包入住 长租限时特惠 大阳台单间 开间,,28.00,,,,4265,152.3,,,https://sz.lianjia.com/apartment/77135.html,2026-05-03 05:55:00,,
xiangmeibei,整租·七街公馆 2室1厅 南/西南,整租,七街公馆,福田区-香梅北-七街公馆,53.00,2室1厅,南/西南,,5800,109.4,,,https://sz.lianjia.com/zufang/SZ1909976721738694656.html,2026-05-03 05:55:00,,
xiangmeibei,整租·特发小区 4室2厅 南/北,整租,特发小区,福田区-香梅北-特发小区,150.00,4室2厅,南/北,,10000,66.7,,,https://sz.lianjia.com/zufang/SZ2156238555607728128.html,2026-05-03 05:55:00,,
xiangmeibei,整租·深房传麒景苑 1室1厅 南,整租,深房传麒景苑,福田区-香梅北-深房传麒景苑,44.58,1室1厅,南,,5200,116.6,,,https://sz.lianjia.com/zufang/SZ2123788807382761472.html,2026-05-03 05:55:00,,
xiangmeibei,整租·景尚雅苑 1室1厅 北,整租,景尚雅苑,福田区-香梅北-景尚雅苑,30.89,1室1厅,北,,3500,113.3,,,https://sz.lianjia.com/zufang/SZ1932852197167464448.html,2026-05-03 05:55:00,,
xiangmeibei,整租·青海大厦 1室1厅 南,整租,青海大厦,福田区-香梅北-青海大厦,92.08,1室1厅,南,,5888,63.9,,,https://sz.lianjia.com/zufang/SZ2118308872094482432.html,2026-05-03 05:55:55,,
xiangmeibei,整租·七街公馆 1室0厅 北,整租,七街公馆,福田区-香梅北-七街公馆,31.00,1室0厅,北,,3800,122.6,,,https://sz.lianjia.com/zufang/SZ2117213725680205824.html,2026-05-03 05:55:00,,
xiangmeibei,整租·七街公馆 1室1厅 北,整租,七街公馆,福田区-香梅北-七街公馆,43.56,1室1厅,北,,4500,103.3,,,https://sz.lianjia.com/zufang/SZ1812154897529831424.html,2026-05-03 05:55:00,,
