region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xicheng1,整租·润科华府 4室2厅 南,整租,润科华府,宝安区-曦城-润科华府,140.00,4室2厅,南,,6700,47.9,,,https://sz.lianjia.com/zufang/SZ1878422557472849920.html,2026-05-03 06:40:37,22.625857,113.862571
xicheng1,整租·恒丰工业城 2室1厅 南,整租,恒丰工业城,宝安区-曦城-恒丰工业城,46.32,2室1厅,南,,1900,41.0,,,https://sz.lianjia.com/zufang/SZ2063146605552336896.html,2026-05-03 06:40:37,22.628995,113.867026
xicheng1,独栋·深业有居 U中心店 【特价房 限时特惠】国企品质 深业U中心有居 轻奢一房一厅 1室1厅,独栋,深业有居 U中心店 【特价房 限时特惠】国企品质 深业U中心有居 轻奢一房一厅,,59.00,1室1厅,,,3700,62.7,,,https://sz.lianjia.com/apartment/9681.html,2026-05-03 06:40:37,22.54345,113.96393
xicheng1,整租·恒丰工业城 1室1厅 东南,整租,恒丰工业城,宝安区-曦城-恒丰工业城,35.00,1室1厅,东南,,2300,65.7,,,https://sz.lianjia.com/zufang/SZ1889252242817548288.html,2026-05-03 06:40:37,22.628995,113.867026
xicheng1,整租·中海九号公馆二期 5室2厅 南/北,整租,中海九号公馆二期,宝安区-曦城-中海九号公馆二期,184.00,5室2厅,南/北,,13000,70.7,,,https://sz.lianjia.com/zufang/SZ2143740364857540608.html,2026-05-03 06:40:37,22.60471,113.891
xicheng1,整租·润科华府 3室2厅 南,整租,润科华府,宝安区-曦城-润科华府,89.00,3室2厅,南,,6000,67.4,,,https://sz.lianjia.com/zufang/SZ2154151974705037312.html,2026-05-03 06:40:37,22.625857,113.862571
xicheng1,独栋·安居乐寓 航城鹤洲东店（鹤洲西区） 国企公寓 特惠单间 钟屋南地铁 应届生96折 实拍价 6-2 开间,独栋,安居乐寓 航城鹤洲东店（鹤洲西区） 国企公寓 特惠单间 钟屋南地铁 应届生96折 实拍价 6-2 开间,,12.00,,,,730,60.8,,,https://sz.lianjia.com/apartment/80865.html,2026-05-03 06:40:37,22.538507,114.096798
xicheng1,整租·润科华府 3室2厅 南/北,整租,润科华府,宝安区-曦城-润科华府,89.00,3室2厅,南/北,,5700,64.0,,,https://sz.lianjia.com/zufang/SZ2154536531321159680.html,2026-05-03 06:40:37,22.625857,113.862571
xicheng1,整租·润科华府 3室2厅 东南/南/西南,整租,润科华府,宝安区-曦城-润科华府,89.00,3室2厅,东南/南/西南,,5600,62.9,,,https://sz.lianjia.com/zufang/SZ2156404651233116160.html,2026-05-03 06:40:37,22.625857,113.862571
xicheng1,整租·润科华府 3室2厅 南,整租,润科华府,宝安区-曦城-润科华府,90.00,3室2厅,南,,5700,63.3,,,https://sz.lianjia.com/zufang/SZ2156584674657304576.html,2026-05-03 06:40:37,22.625857,113.862571
xicheng1,整租·中海九号公馆二期 4室2厅 南,整租,中海九号公馆二期,宝安区-曦城-中海九号公馆二期,138.00,4室2厅,南,,10999,79.7,,,https://sz.lianjia.com/zufang/SZ2065324530917703680.html,2026-05-03 06:40:37,22.60471,113.891
xicheng1,整租·中海九号公馆二期 4室2厅 南,整租,中海九号公馆二期,宝安区-曦城-中海九号公馆二期,165.25,4室2厅,南,,13800,83.5,,,https://sz.lianjia.com/zufang/SZ2115075098309296128.html,2026-05-03 06:40:37,22.60471,113.891
xicheng1,整租·润科华府 4室2厅 南,整租,润科华府,宝安区-曦城-润科华府,130.86,4室2厅,南,,7800,59.6,,,https://sz.lianjia.com/zufang/SZ2143752890605371392.html,2026-05-03 06:40:37,22.625857,113.862571
xicheng1,独栋·安居乐寓 航城鹤洲南店（鹤洲新村） 近12号线钟屋鹤洲拎包入住通风舒适国企直租单间 安全有保障民水民电 押一付一特价房便宜实惠8-2 开间,独栋,安居乐寓 航城鹤洲南店（鹤洲新村） 近12号线钟屋鹤洲拎包入住通风舒适国企直租单间 安全有保障民水民电 押一付一特价房便宜实惠8-2 开间,,15.22,,,,880-980,,,,https://sz.lianjia.com/apartment/82562.html,2026-05-03 06:40:37,22.627143,113.85954
xicheng1,整租·润科华府 4室2厅 南,整租,润科华府,宝安区-曦城-润科华府,143.42,4室2厅,南,,8500,59.3,,,https://sz.lianjia.com/zufang/SZ2155245666740207616.html,2026-05-03 06:40:37,22.625857,113.862571
xicheng1,独栋·安居乐寓 航城鹤洲南店（鹤洲旧村） 近恒丰工业城 阳光透亮大单间 押一付一民水民电 开间,独栋,安居乐寓 航城鹤洲南店（鹤洲旧村） 近恒丰工业城 阳光透亮大单间 押一付一民水民电 开间,,18.00,,,,1112-1250,,,,https://sz.lianjia.com/apartment/82577.html,2026-05-03 06:40:37,22.629163,113.865595
xicheng1,整租·万科未来之光 4室2厅 东南,整租,万科未来之光,宝安区-曦城-万科未来之光,98.60,4室2厅,东南,,9500,96.3,,,https://sz.lianjia.com/zufang/SZ2153691941559074816.html,2026-05-03 06:40:37,22.589195,113.910874
xicheng1,整租·中海九号公馆二期 4室2厅 南/北,整租,中海九号公馆二期,宝安区-曦城-中海九号公馆二期,127.00,4室2厅,南/北,,10800,85.0,,,https://sz.lianjia.com/zufang/SZ2154176656569270272.html,2026-05-03 06:40:37,22.60471,113.891
xicheng1,独栋·安居乐寓 航城鹤洲东店（鹤洲东区） 国企直租二房一厅 押一付一 民水电 可短租 3-7 2室1厅,独栋,安居乐寓 航城鹤洲东店（鹤洲东区） 国企直租二房一厅 押一付一 民水电 可短租 3-7,,38.00,2室1厅,,,2054,54.1,,,https://sz.lianjia.com/apartment/80688.html,2026-05-03 06:40:37,22.628071,113.858448
xicheng1,独栋·安居乐寓 航城鹤洲东店（鹤洲旧村） 国企公寓 舒适阳光大单间 近地铁 押一付一 可短租 7-1 开间,独栋,安居乐寓 航城鹤洲东店（鹤洲旧村） 国企公寓 舒适阳光大单间 近地铁 押一付一 可短租 7-1 开间,,22.80,,,,1080,47.4,,,https://sz.lianjia.com/apartment/80609.html,2026-05-03 06:40:37,22.628482,113.855743
