region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xinxiu,整租·华清园 1室0厅 西,整租,华清园,罗湖区-新秀-华清园,28.46,1室0厅,西,,2300,80.8,,,https://sz.lianjia.com/zufang/SZ2029047932681977856.html,2026-05-03 05:33:05,22.553834,114.151888
xinxiu,整租·京基东方都会 1室1厅 东,整租,京基东方都会,罗湖区-新秀-京基东方都会,35.00,1室1厅,东,,3600,102.9,,,https://sz.lianjia.com/zufang/SZ2020726071787257856.html,2026-05-03 05:33:05,22.548238,114.142904
xinxiu,独栋·合泰公寓 罗湖店 精装修温馨单间(酒店同一大厦） 开间,独栋,合泰公寓 罗湖店 精装修温馨单间(酒店同一大厦） 开间,,20.00,,,,2000,100.0,,,https://sz.lianjia.com/apartment/39571.html,2026-05-03 05:33:05,22.52963,114.033474
xinxiu,整租·华清园 2室2厅 南,整租,华清园,罗湖区-新秀-华清园,74.00,2室2厅,南,,3800,51.4,,,https://sz.lianjia.com/zufang/SZ1989173908049231872.html,2026-05-03 05:33:05,22.553834,114.151888
xinxiu,整租·新秀村南区 3室1厅 南,整租,新秀村南区,罗湖区-新秀-新秀村南区,76.53,3室1厅,南,,4000,52.3,,,https://sz.lianjia.com/zufang/SZ2146134040766316544.html,2026-05-03 05:33:05,22.54778,114.13845
xinxiu,整租·曦龙山庄 4室2厅 南,整租,曦龙山庄,罗湖区-新秀-曦龙山庄,198.44,4室2厅,南,,12000,60.5,,,https://sz.lianjia.com/zufang/SZ2155546253209894912.html,2026-05-03 05:33:05,22.550316,114.143391
xinxiu,整租·峰度天下 5室2厅 南,整租,峰度天下,罗湖区-新秀-峰度天下,160.00,5室2厅,南,,8500,53.1,,,https://sz.lianjia.com/zufang/SZ2155152194431614976.html,2026-05-03 05:33:05,22.542634,114.153897
xinxiu,整租·锦缘里嘉园 2室1厅 南,整租,锦缘里嘉园,罗湖区-新秀-锦缘里嘉园,70.00,2室1厅,南,,6800,97.1,,,https://sz.lianjia.com/zufang/SZ2154433045719941120.html,2026-05-03 05:33:05,22.544339,114.14026
xinxiu,整租·京基东方都会 1室1厅 南,整租,京基东方都会,罗湖区-新秀-京基东方都会,35.00,1室1厅,南,,3380,96.6,,,https://sz.lianjia.com/zufang/SZ2158880620388810752.html,2026-05-03 05:33:05,22.548238,114.142904
xinxiu,整租·曦龙山庄 4室2厅 南,整租,曦龙山庄,罗湖区-新秀-曦龙山庄,157.00,4室2厅,南,,8500,54.1,,,https://sz.lianjia.com/zufang/SZ2153804516661657600.html,2026-05-03 05:33:05,22.550316,114.143391
xinxiu,整租·兴华苑 3室2厅 南,整租,兴华苑,罗湖区-新秀-兴华苑,118.00,3室2厅,南,,5200,44.1,,,https://sz.lianjia.com/zufang/SZ2146294055191969792.html,2026-05-03 05:33:05,22.55024,114.1412
xinxiu,整租·深港新村 2室2厅 南,整租,深港新村,罗湖区-新秀-深港新村,79.00,2室2厅,南,,3510,44.4,,,https://sz.lianjia.com/zufang/SZ2148230481286529024.html,2026-05-03 05:33:05,22.545992,114.138393
xinxiu,独栋·星窝青年公寓 新秀店二期 年底特价房，近黄贝岭 朝南温馨阳光单间 拎包入住 开间,独栋,星窝青年公寓 新秀店二期 年底特价房，近黄贝岭 朝南温馨阳光单间 拎包入住 开间,,25.00,,,,2200,88.0,,,https://sz.lianjia.com/apartment/26096.html,2026-05-03 05:33:05,22.543941,114.143465
xinxiu,整租·华清园 3室1厅 复式 南,整租,华清园,罗湖区-新秀-华清园,74.00,3室1厅,,,4200,56.8,,,https://sz.lianjia.com/zufang/SZ2115437672800452608.html,2026-05-03 05:33:05,22.553834,114.151888
xinxiu,整租·锦缘里嘉园 2室1厅 南,整租,锦缘里嘉园,罗湖区-新秀-锦缘里嘉园,59.00,2室1厅,南,,6300,106.8,,,https://sz.lianjia.com/zufang/SZ2152342321209802752.html,2026-05-03 05:33:05,22.544339,114.14026
xinxiu,整租·芳春花园 2室1厅 南,整租,芳春花园,罗湖区-新秀-芳春花园,78.00,2室1厅,南,,4000,51.3,,,https://sz.lianjia.com/zufang/SZ2118653788133785600.html,2026-05-03 05:33:05,22.548414,114.142117
xinxiu,整租·锦缘里嘉园 1室1厅 南,整租,锦缘里嘉园,罗湖区-新秀-锦缘里嘉园,49.00,1室1厅,南,,5000,102.0,,,https://sz.lianjia.com/zufang/SZ2142602532340367360.html,2026-05-03 05:33:05,22.544339,114.14026
