region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yinhu,整租·银田花园 2室1厅 东南,整租,银田花园,罗湖区-银湖-银田花园,71.68,2室1厅,东南,,5100,71.1,,,https://sz.lianjia.com/zufang/SZ2141108432910942208.html,2026-05-03 05:33:09,22.585571,114.077782
yinhu,整租·缙山府 3室2厅 西南,整租,缙山府,罗湖区-银湖-缙山府,85.00,3室2厅,西南,,9680,113.9,,,https://sz.lianjia.com/zufang/SZ2139994584900435968.html,2026-05-03 05:33:09,22.567301,114.091844
yinhu,独栋·觅家社区 银湖店 缙山府地铁小区 双阳台看花园 学校 3室1厅,独栋,觅家社区 银湖店 缙山府地铁小区 双阳台看花园 学校,,85.00,3室1厅,,,9080,106.8,,,https://sz.lianjia.com/apartment/99518.html,2026-05-03 05:33:09,22.61677,114.03216
yinhu,整租·缙山府 3室2厅 西南,整租,缙山府,罗湖区-银湖-缙山府,84.11,3室2厅,西南,,9680,115.1,,,https://sz.lianjia.com/zufang/SZ2139994280821784576.html,2026-05-03 05:33:09,22.567301,114.091844
yinhu,整租·缙山府 3室2厅 西南,整租,缙山府,罗湖区-银湖-缙山府,84.11,3室2厅,西南,,9380,111.5,,,https://sz.lianjia.com/zufang/SZ2139993627139506176.html,2026-05-03 05:33:09,22.567301,114.091844
yinhu,整租·碧清园 3室2厅 东/北,整租,碧清园,罗湖区-银湖-碧清园,91.18,3室2厅,东/北,,6800,74.6,,,https://sz.lianjia.com/zufang/SZ2137482004625620992.html,2026-05-03 05:33:09,22.570607,114.086664
yinhu,整租·银田花园 3室2厅 东南,整租,银田花园,罗湖区-银湖-银田花园,83.00,3室2厅,东南,,5500,66.3,,,https://sz.lianjia.com/zufang/SZ2157322420053082112.html,2026-05-03 05:33:09,22.585571,114.077782
yinhu,整租·缙山府 3室2厅 东南,整租,缙山府,罗湖区-银湖-缙山府,85.00,3室2厅,东南,,8880,104.5,,,https://sz.lianjia.com/zufang/SZ2149118013138272256.html,2026-05-03 05:33:09,22.567301,114.091844
yinhu,整租·缙山府 3室2厅 东南,整租,缙山府,罗湖区-银湖-缙山府,85.00,3室2厅,东南,,9280,109.2,,,https://sz.lianjia.com/zufang/SZ2149118257582309376.html,2026-05-03 05:33:09,22.567301,114.091844
yinhu,整租·缙山府 3室2厅 东南,整租,缙山府,罗湖区-银湖-缙山府,85.00,3室2厅,东南,,9580,112.7,,,https://sz.lianjia.com/zufang/SZ2149118510930853888.html,2026-05-03 05:33:09,22.567301,114.091844
yinhu,整租·华润银湖蓝山 3室1厅 南/北,整租,华润银湖蓝山,罗湖区-银湖-华润银湖蓝山,112.46,3室1厅,南/北,,13500,120.0,,,https://sz.lianjia.com/zufang/SZ2152706169121013760.html,2026-05-03 05:33:09,22.571642,114.081945
yinhu,整租·华润银湖蓝山 3室2厅 南,整租,华润银湖蓝山,罗湖区-银湖-华润银湖蓝山,90.00,3室2厅,南,,11000,122.2,,,https://sz.lianjia.com/zufang/SZ2146209830258343936.html,2026-05-03 05:33:09,22.571642,114.081945
yinhu,整租·华天公寓 2室1厅 东/西,整租,华天公寓,福田区-银湖-华天公寓,41.63,2室1厅,东/西,,3100,74.5,,,https://sz.lianjia.com/zufang/SZ2143542526395547648.html,2026-05-03 05:33:09,22.571753,114.082658
yinhu,整租·金碧苑 5室2厅 南,整租,金碧苑,罗湖区-银湖-金碧苑,247.00,5室2厅,南,,22000,89.1,,,https://sz.lianjia.com/zufang/SZ2061007841430339584.html,2026-05-03 05:33:09,22.574334,114.084034
yinhu,整租·金碧苑 5室3厅 南,整租,金碧苑,罗湖区-银湖-金碧苑,227.00,5室3厅,南,,22000,96.9,,,https://sz.lianjia.com/zufang/SZ2128713695058984960.html,2026-05-03 05:33:09,22.574334,114.084034
yinhu,整租·鸿颖大厦 1室1厅 东南/南,整租,鸿颖大厦,罗湖区-银湖-鸿颖大厦,37.00,1室1厅,东南/南,,3300,89.2,,,https://sz.lianjia.com/zufang/SZ2120091118971387904.html,2026-05-03 05:33:09,22.566042,114.097979
yinhu,整租·金湖花园A区 4室2厅 东南,整租,金湖花园A区,罗湖区-银湖-金湖花园,128.30,4室2厅,东南,,8000,62.4,,,https://sz.lianjia.com/zufang/SZ2119646518913794048.html,2026-05-03 05:33:09,22.571763,114.088546
